"Date & Time","use [kW]","gen [kW]","25:CounterOutlets2 [kW]","25:CounterOutlets2* [kVA]","24:CounterOutlets1 [kW]","24:CounterOutlets1* [kVA]","26:KitchenOutlets [kW]","26:KitchenOutlets* [kVA]"
2014-06-28 23:19:00,-0.000000000,-0.000000000,-0.002766667,0.009716667,-0.003666667,0.006700000,-0.006316667,0.007583333
2014-06-28 23:18:00,-0.000000000,-0.000000000,-0.002783333,0.009766667,-0.003633333,0.006683333,-0.006316667,0.007600000
2014-06-28 23:17:00,-0.000000000,-0.000000000,-0.002783333,0.009766667,-0.003650000,0.006650000,-0.006350000,0.007633333
2014-06-28 23:16:00,-0.000000000,-0.000000000,-0.002766667,0.009766667,-0.003650000,0.006666667,-0.006350000,0.007633333
2014-06-28 23:15:00,-0.000000000,-0.000000000,-0.002783333,0.009783333,-0.003650000,0.006666667,-0.006333333,0.007633333
2014-06-28 23:14:00,-0.000000000,-0.000000000,-0.002783333,0.009783333,-0.003650000,0.006666667,-0.006350000,0.007633333
2014-06-28 23:13:00,-0.000000000,-0.000000000,-0.002783333,0.009766667,-0.003650000,0.006650000,-0.006333333,0.007616667
2014-06-28 23:12:00,-0.000000000,-0.000000000,-0.002766667,0.009750000,-0.003650000,0.006650000,-0.006333333,0.007600000
2014-06-28 23:11:00,-0.000000000,-0.000000000,-0.002766667,0.009750000,-0.003650000,0.006650000,-0.006316667,0.007600000
2014-06-28 23:10:00,-0.000000000,-0.000000000,-0.002766667,0.009766667,-0.003666667,0.006666667,-0.006350000,0.007633333
2014-06-28 23:09:00,-0.000000000,-0.000000000,-0.002783333,0.009766667,-0.003650000,0.006650000,-0.006333333,0.007633333
2014-06-28 23:08:00,-0.000000000,-0.000000000,-0.002766667,0.009750000,-0.003650000,0.006666667,-0.006333333,0.007616667
2014-06-28 23:07:00,-0.000000000,-0.000000000,-0.002766667,0.009733333,-0.003666667,0.006683333,-0.006333333,0.007616667
2014-06-28 23:06:00,-0.000000000,-0.000000000,-0.002766667,0.009733333,-0.003650000,0.006666667,-0.006333333,0.007600000
2014-06-28 23:05:00,-0.000000000,-0.000000000,-0.002766667,0.009733333,-0.003650000,0.006683333,-0.006316667,0.007600000
2014-06-28 23:04:00,-0.000000000,-0.000000000,-0.002766667,0.009800000,-0.003683333,0.006650000,-0.006333333,0.007616667
2014-06-28 23:03:00,-0.000000000,-0.000000000,-0.002733333,0.009783333,-0.003750000,0.006683333,-0.006316667,0.007583333
2014-06-28 23:02:00,-0.000000000,-0.000000000,-0.002750000,0.009816667,-0.003733333,0.006650000,-0.006300000,0.007583333
2014-06-28 23:01:00,-0.000000000,-0.000000000,-0.002750000,0.009816667,-0.003733333,0.006683333,-0.006300000,0.007566667
2014-06-28 23:00:00,-0.000000000,-0.000000000,-0.002750000,0.009800000,-0.003733333,0.006683333,-0.006283333,0.007566667
2014-06-28 22:59:00,-0.000000000,-0.000000000,-0.002750000,0.009800000,-0.003750000,0.006700000,-0.006300000,0.007566667
2014-06-28 22:58:00,-0.000000000,-0.000000000,-0.002750000,0.009800000,-0.003733333,0.006716667,-0.006283333,0.007550000
2014-06-28 22:57:00,-0.000000000,-0.000000000,-0.002750000,0.009783333,-0.003733333,0.006716667,-0.006283333,0.007550000
2014-06-28 22:56:00,-0.000000000,-0.000000000,-0.002750000,0.009800000,-0.003733333,0.006700000,-0.006300000,0.007566667
2014-06-28 22:55:00,-0.000000000,-0.000000000,-0.002733333,0.009800000,-0.003750000,0.006716667,-0.006283333,0.007550000
2014-06-28 22:54:00,-0.000000000,-0.000000000,-0.002733333,0.009783333,-0.003766667,0.006733333,-0.006316667,0.007583333
2014-06-28 22:53:00,-0.000000000,-0.000000000,-0.002700000,0.009766667,-0.003766667,0.006750000,-0.006316667,0.007583333
2014-06-28 22:52:00,-0.000000000,-0.000000000,-0.002716667,0.009766667,-0.003783333,0.006733333,-0.006333333,0.007583333
2014-06-28 22:51:00,-0.000000000,-0.000000000,-0.002700000,0.009783333,-0.003783333,0.006733333,-0.006333333,0.007600000
2014-06-28 22:50:00,-0.000000000,-0.000000000,-0.002716667,0.009783333,-0.003783333,0.006733333,-0.006333333,0.007600000
2014-06-28 22:49:00,-0.000000000,-0.000000000,-0.003366667,0.009966667,-0.003150000,0.006550000,-0.005633333,0.007066667
2014-06-28 22:48:00,-0.000000000,-0.000000000,-0.003483333,0.009983333,-0.003050000,0.006500000,-0.005483333,0.006933333
2014-06-28 22:47:00,-0.000000000,-0.000000000,-0.003500000,0.009966667,-0.003050000,0.006516667,-0.005450000,0.006900000
2014-06-28 22:46:00,-0.000000000,-0.000000000,-0.003450000,0.009950000,-0.003050000,0.006516667,-0.005500000,0.006933333
2014-06-28 22:45:00,-0.000000000,-0.000000000,-0.003500000,0.009966667,-0.003033333,0.006500000,-0.005450000,0.006916667
2014-06-28 22:44:00,-0.000000000,-0.000000000,-0.003450000,0.009933333,-0.003066667,0.006516667,-0.005483333,0.006933333
2014-06-28 22:43:00,-0.000000000,-0.000000000,-0.003516667,0.009950000,-0.003000000,0.006516667,-0.005433333,0.006866667
2014-06-28 22:42:00,-0.000000000,-0.000000000,-0.003466667,0.009916667,-0.003033333,0.006516667,-0.005450000,0.006883333
2014-06-28 22:41:00,-0.000000000,-0.000000000,-0.003500000,0.009950000,-0.003016667,0.006516667,-0.005433333,0.006866667
2014-06-28 22:40:00,-0.000000000,-0.000000000,-0.003466667,0.009916667,-0.003050000,0.006516667,-0.005466667,0.006916667
2014-06-28 22:39:00,-0.000000000,-0.000000000,-0.003450000,0.009916667,-0.003033333,0.006533333,-0.005450000,0.006883333
2014-06-28 22:38:00,-0.000000000,-0.000000000,-0.003483333,0.009933333,-0.003016667,0.006533333,-0.005450000,0.006883333
2014-06-28 22:37:00,-0.000000000,-0.000000000,-0.003500000,0.009916667,-0.003016667,0.006516667,-0.005416667,0.006866667
2014-06-28 22:36:00,-0.000000000,-0.000000000,-0.003466667,0.009900000,-0.003016667,0.006533333,-0.005433333,0.006866667
2014-06-28 22:35:00,-0.000000000,-0.000000000,-0.003550000,0.009850000,-0.002900000,0.006533333,-0.005416667,0.006850000
2014-06-28 22:34:00,-0.000000000,-0.000000000,-0.003516667,0.009850000,-0.002916667,0.006550000,-0.005416667,0.006866667
2014-06-28 22:33:00,-0.000000000,-0.000000000,-0.003516667,0.009866667,-0.002916667,0.006533333,-0.005433333,0.006883333
2014-06-28 22:32:00,-0.000000000,-0.000000000,-0.003566667,0.009850000,-0.002866667,0.006533333,-0.005366667,0.006816667
2014-06-28 22:31:00,-0.000000000,-0.000000000,-0.003600000,0.009883333,-0.002850000,0.006533333,-0.005366667,0.006816667
2014-06-28 22:30:00,-0.000000000,-0.000000000,-0.003666667,0.009916667,-0.002766667,0.006500000,-0.005283333,0.006766667
2014-06-28 22:29:00,-0.000000000,-0.000000000,-0.003783333,0.009950000,-0.002683333,0.006466667,-0.005166667,0.006666667
2014-06-28 22:28:00,-0.000000000,-0.000000000,-0.003283333,0.009816667,-0.003150000,0.006616667,-0.005700000,0.007100000
2014-06-28 22:27:00,-0.000000000,-0.000000000,-0.002766667,0.009683333,-0.003633333,0.006733333,-0.006300000,0.007566667
2014-06-28 22:26:00,-0.000000000,-0.000000000,-0.002783333,0.009716667,-0.003650000,0.006750000,-0.006283333,0.007600000
2014-06-28 22:25:00,-0.000000000,-0.000000000,-0.002766667,0.009716667,-0.003650000,0.006733333,-0.006316667,0.007583333
2014-06-28 22:24:00,-0.000000000,-0.000000000,-0.002783333,0.009733333,-0.003666667,0.006750000,-0.006300000,0.007600000
2014-06-28 22:23:00,-0.000000000,-0.000000000,-0.002766667,0.009700000,-0.003633333,0.006733333,-0.006300000,0.007583333
2014-06-28 22:22:00,-0.000000000,-0.000000000,-0.002766667,0.009683333,-0.003650000,0.006750000,-0.006283333,0.007550000
2014-06-28 22:21:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003633333,0.006733333,-0.006266667,0.007533333
2014-06-28 22:20:00,-0.000000000,-0.000000000,-0.002766667,0.009666667,-0.003633333,0.006750000,-0.006283333,0.007550000
2014-06-28 22:19:00,-0.000000000,-0.000000000,-0.002783333,0.009683333,-0.003650000,0.006750000,-0.006283333,0.007566667
2014-06-28 22:18:00,-0.000000000,-0.000000000,-0.002766667,0.009666667,-0.003633333,0.006733333,-0.006283333,0.007566667
2014-06-28 22:17:00,-0.000000000,-0.000000000,-0.002766667,0.009683333,-0.003633333,0.006750000,-0.006283333,0.007566667
2014-06-28 22:16:00,-0.000000000,-0.000000000,-0.002783333,0.009666667,-0.003633333,0.006733333,-0.006283333,0.007533333
2014-06-28 22:15:00,-0.000000000,-0.000000000,-0.002766667,0.009683333,-0.003633333,0.006750000,-0.006266667,0.007566667
2014-06-28 22:14:00,-0.000000000,-0.000000000,-0.002766667,0.009700000,-0.003633333,0.006733333,-0.006300000,0.007566667
2014-06-28 22:13:00,-0.000000000,-0.000000000,-0.002783333,0.009683333,-0.003650000,0.006733333,-0.006283333,0.007583333
2014-06-28 22:12:00,-0.000000000,-0.000000000,-0.002766667,0.009700000,-0.003650000,0.006750000,-0.006300000,0.007583333
2014-06-28 22:11:00,-0.000000000,-0.000000000,-0.002766667,0.009700000,-0.003650000,0.006750000,-0.006283333,0.007566667
2014-06-28 22:10:00,-0.000000000,-0.000000000,-0.002766667,0.009700000,-0.003633333,0.006750000,-0.006283333,0.007566667
2014-06-28 22:09:00,-0.000000000,-0.000000000,-0.002783333,0.009683333,-0.003650000,0.006733333,-0.006283333,0.007533333
2014-06-28 22:08:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003616667,0.006750000,-0.006250000,0.007533333
2014-06-28 22:07:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003616667,0.006733333,-0.006250000,0.007516667
2014-06-28 22:06:00,-0.000000000,-0.000000000,-0.002766667,0.009666667,-0.003633333,0.006733333,-0.006266667,0.007550000
2014-06-28 22:05:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003616667,0.006750000,-0.006266667,0.007550000
2014-06-28 22:04:00,-0.000000000,-0.000000000,-0.002766667,0.009616667,-0.003616667,0.006733333,-0.006250000,0.007516667
2014-06-28 22:03:00,-0.000000000,-0.000000000,-0.002783333,0.009666667,-0.003616667,0.006750000,-0.006266667,0.007550000
2014-06-28 22:02:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003616667,0.006733333,-0.006250000,0.007533333
2014-06-28 22:01:00,-0.000000000,-0.000000000,-0.002766667,0.009633333,-0.003616667,0.006750000,-0.006266667,0.007516667
2014-06-28 22:00:00,-0.000000000,-0.000000000,-0.002766667,0.009666667,-0.003616667,0.006733333,-0.006250000,0.007533333
2014-06-28 21:59:00,-0.000000000,-0.000000000,-0.002766667,0.009616667,-0.003616667,0.006716667,-0.006250000,0.007500000
2014-06-28 21:58:00,-0.000000000,-0.000000000,-0.002783333,0.009700000,-0.003650000,0.006733333,-0.006300000,0.007566667
2014-06-28 21:57:00,-0.000000000,-0.000000000,-0.002766667,0.009683333,-0.003633333,0.006733333,-0.006266667,0.007566667
2014-06-28 21:56:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003633333,0.006716667,-0.006266667,0.007516667
2014-06-28 21:55:00,-0.000000000,-0.000000000,-0.002766667,0.009650000,-0.003633333,0.006733333,-0.006266667,0.007550000
2014-06-28 21:54:00,-0.000000000,-0.000000000,-0.002766667,0.009633333,-0.003633333,0.006766667,-0.006266667,0.007533333
