@relation A-6-train-weka.filters.unsupervised.attribute.Remove-R5

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
1.58038,6,0,16020,cluster17
0.503767,4,1,18230,cluster6
0.4951,4,1,18220,cluster6
0,2,1,2560,cluster11
0,2,1,2560,cluster11
0,2,1,2560,cluster11
0,2,1,2560,cluster11
0,2,1,2560,cluster11
0.96993,6,0,16010,cluster6
1.4959,4,1,14440,cluster6
0,2,1,2550,cluster11
0,2,1,2550,cluster11
0,2,1,2550,cluster11
0,2,1,2550,cluster11
0,2,1,2550,cluster11
0.132807,6,0,3120,cluster6
1.7377,4,1,14410,cluster6
0.250538,4,1,14200,cluster6
0.360936,4,1,14150,cluster6
0.242227,4,1,14140,cluster6
0,0,1,4130,cluster11
0,0,1,4130,cluster11
0,0,1,4130,cluster11
0,0,1,4130,cluster11
0,0,1,4130,cluster11
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
1.71382,4,1,14260,cluster16
