Day,' Time','use [kW]',Cluster
0,235900,2.53272,cluster3
0,235800,2.52357,cluster3
0,235700,2.52583,cluster3
0,235600,2.69608,cluster3
0,235500,2.79227,cluster3
0,235400,2.79813,cluster3
0,235300,2.79935,cluster3
0,235200,2.81073,cluster3
0,235100,2.81043,cluster3
0,235000,2.82643,cluster3
0,234900,2.61968,cluster191
0,234800,1.26753,cluster259
0,234700,1.14518,cluster259
0,234600,1.15867,cluster259
0,234500,1.2832,cluster259
0,234400,1.28223,cluster259
0,234300,1.27962,cluster259
0,234200,1.2771,cluster191
0,234100,1.16837,cluster259
0,234000,1.11905,cluster259
0,233900,1.13163,cluster259
0,233800,1.2756,cluster259
0,233700,1.28307,cluster259
0,233600,1.56262,cluster259
0,233500,1.72872,cluster259
0,233400,3.0578,cluster3
0,233300,3.06708,cluster3
0,233200,3.05628,cluster191
0,233100,1.61145,cluster260
0,233000,1.5315,cluster191
0,232900,1.55572,cluster72
0,232800,1.72473,cluster259
0,232700,1.89758,cluster259
0,232600,1.93123,cluster259
0,232500,1.86318,cluster259
0,232400,1.77397,cluster259
0,232300,1.75107,cluster259
0,232200,1.67383,cluster259
0,232100,1.68528,cluster259
0,232000,1.68768,cluster259
0,231900,1.69357,cluster259
0,231800,1.71038,cluster259
0,231700,1.75002,cluster259
0,231600,1.81853,cluster72
0,231500,1.5349,cluster72
0,231400,1.2156,cluster72
0,231300,1.14155,cluster259
0,231200,1.13463,cluster259
0,231100,1.12053,cluster259
0,231000,1.07357,cluster259
0,230900,0.69765,cluster259
0,230800,0.695317,cluster259
0,230700,0.66915,cluster259
0,230600,0.599133,cluster259
0,230500,0.610867,cluster259
0,230400,0.71785,cluster259
0,230300,0.631267,cluster259
0,230200,0.54065,cluster259
0,230100,0.595667,cluster259
0,230000,0.593533,cluster259
0,225900,0.59425,cluster259
0,225800,0.5952,cluster259
0,225700,0.59465,cluster259
0,225600,0.617417,cluster259
0,225500,0.6259,cluster259
0,225400,0.6316,cluster259
0,225300,0.68985,cluster259
0,225200,0.705583,cluster259
0,225100,0.7067,cluster259
0,225000,0.696017,cluster259
0,224900,0.689467,cluster259
0,224800,0.6851,cluster259
0,224700,0.679617,cluster259
0,224600,0.690883,cluster259
0,224500,0.6957,cluster259
0,224400,0.689067,cluster259
0,224300,0.70935,cluster259
0,224200,0.7098,cluster259
0,224100,0.705317,cluster259
0,224000,0.693333,cluster259
0,223900,0.69275,cluster259
0,223800,0.693067,cluster259
0,223700,0.69305,cluster259
0,223600,0.691683,cluster259
