refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.058466,6,0,2250,cluster11,cluster11
0.222053,4,1,8220,cluster11,cluster11
0.007984,1,1,3490,cluster11,cluster11
0.009149,5,1,22140,cluster11,cluster11
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0.35112,3,1,5320,cluster11,cluster7
0,2,1,11500,cluster11,cluster11
0.131967,0,0,7240,cluster11,cluster11
0.058217,6,0,2240,cluster11,cluster11
0.030831,0,0,17560,cluster11,cluster11
0.012366,6,0,4590,cluster11,cluster11
0.00965,5,1,22130,cluster11,cluster11
0.219601,5,1,1300,cluster11,cluster11
0.247633,5,1,1360,cluster11,cluster11
0.096133,0,0,7230,cluster11,cluster11
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
0.737333,2,1,4150,cluster11,cluster18
