@relation mrgD3train-weka.filters.unsupervised.attribute.Remove-R2

@attribute refinedUse numeric
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster3,cluster4,cluster5,cluster6,cluster7,cluster9,cluster11,cluster12,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1.32975,1,3580,cluster18
1.75885,1,8290,cluster4
1.77832,1,6550,cluster19
1.75885,1,8290,cluster4
1.95687,1,4350,cluster19
0.43255,1,11570,cluster16
1.09268,1,12400,cluster6
1.09268,1,12400,cluster6
0.43255,1,11570,cluster16
0.5035,0,260,cluster7
0.35732,1,11480,cluster15
2.51655,1,13110,cluster19
1.79478,1,6590,cluster19
0.35732,1,11480,cluster15
0.43255,1,11570,cluster16
1.78867,1,7510,cluster4
0.43255,1,11570,cluster16
0.43255,1,11570,cluster16
1.67652,1,14170,cluster19
1.96588,0,16530,cluster17
0.497637,0,8490,cluster7
1.10389,1,23260,cluster3
1.42148,1,13390,cluster19
0.834217,0,230,cluster7
1.83665,1,9260,cluster4
0.834217,0,230,cluster7
1.12917,1,3410,cluster12
0.116349,1,3350,cluster16
1.12917,1,3410,cluster12
0.435682,1,15520,cluster3
0.218686,1,320,cluster6
1.67652,1,14170,cluster19
1.23842,1,310,cluster17
0,1,18110,cluster6
0.134583,1,3520,cluster11
1.53592,0,18310,cluster17
1.9536,1,12580,cluster5
1.35172,1,330,cluster17
0.134983,1,22020,cluster11
1.94532,1,12570,cluster5
1.94532,1,12570,cluster5
1.11838,1,3370,cluster12
0.128217,1,3360,cluster16
1.11838,1,3370,cluster12
0.128217,1,3360,cluster16
0.43255,1,11570,cluster16
0.565116,1,23330,cluster6
0.855467,1,23470,cluster9
0.133134,1,3370,cluster16
0,1,19340,cluster11
2.3589,1,370,cluster17
0.425051,0,450,cluster7
0.425051,0,450,cluster7
0.102067,1,380,cluster16
2.3589,1,370,cluster17
0,0,9360,cluster15
0.31248,0,9310,cluster15
0.31248,0,9310,cluster15
0.482468,1,4200,cluster3
0.566441,0,9010,cluster15
1.82953,1,9380,cluster4
0.971017,1,4080,cluster3
0.60195,1,3270,cluster18
0.60818,1,11580,cluster9
1.78753,1,3450,cluster12
0.60818,1,11580,cluster9
1.06068,1,23140,cluster6
0.452516,1,23330,cluster3
1.06068,1,23140,cluster6
1.06068,1,23140,cluster6
0.021499,1,8580,cluster6
0,1,21330,cluster11
0,1,21330,cluster11
1.91586,1,3330,cluster12
1.84003,1,9250,cluster4
0.537917,1,17310,cluster6
0.537917,1,17310,cluster6
0.43255,1,11570,cluster16
0.488367,0,580,cluster7
0.400584,1,12490,cluster9
2.63278,1,14330,cluster5
1.53042,1,4350,cluster18
1.51135,1,13330,cluster19
0,0,9570,cluster11
1.91586,1,3330,cluster12
0.521102,1,4090,cluster9
0,0,9570,cluster11
2.58587,1,13120,cluster19
0.711533,0,470,cluster7
0.602934,1,3050,cluster11
2.63147,1,14320,cluster5
2.14442,0,8130,cluster9
2.63147,1,14320,cluster5
2.02532,1,12360,cluster5
0.31747,0,10060,cluster15
3.02752,0,8310,cluster5
0.476583,1,12350,cluster9
0,1,17580,cluster6
0.476583,1,12350,cluster9
0.116349,1,3350,cluster16
0.03315,0,22120,cluster11
0.512267,1,4150,cluster3
0.03315,0,22120,cluster11
0.261553,0,9260,cluster15
1.64085,1,12450,cluster5
0.584584,0,1070,cluster7
0.261553,0,9260,cluster15
0,1,3560,cluster11
0.128217,1,3360,cluster16
0,1,3560,cluster11
0.435682,1,15520,cluster3
2.06218,1,12590,cluster5
0.480683,1,16130,cluster3
2.06218,1,12590,cluster5
0.463568,0,1030,cluster7
2.55276,1,13190,cluster5
0.855467,1,23470,cluster9
0.810333,1,3440,cluster18
0.54945,0,410,cluster7
0.54945,0,410,cluster7
1.74507,1,7540,cluster4
0.504966,1,15450,cluster3
1.9059,1,10350,cluster19
1.629,1,10050,cluster4
0.05385,1,8170,cluster11
0.504966,1,15450,cluster3
0.181516,1,9470,cluster11
1.30885,1,3420,cluster12
0.182591,1,23220,cluster3
1.84752,1,9210,cluster4
1.94532,1,12570,cluster5
0.116349,1,3350,cluster16
1.629,1,10050,cluster4
1.9059,1,10350,cluster19
0.230433,0,23030,cluster11
0.123283,1,3340,cluster16
1.51422,1,4370,cluster18
0,1,9030,cluster11
1.35172,1,330,cluster17
2.0998,1,3300,cluster18
1.1684,1,7050,cluster19
0.019836,0,10100,cluster15
0.509257,0,9050,cluster15
2.6412,1,3530,cluster12
1.63492,1,14180,cluster19
1.04983,1,1090,cluster3
1.08721,1,23250,cluster3
2.0998,1,3300,cluster18
0.194201,0,3060,cluster11
1.86765,1,3290,cluster12
0.340223,0,9320,cluster15
0.340223,0,9320,cluster15
0.65375,0,18150,cluster17
0.133134,1,3370,cluster16
1.45292,1,6520,cluster5
0.123699,1,3380,cluster16
3.08212,1,13210,cluster5
