@relation mrgB-3train

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
1.46217,4,1,8370,cluster14
0.64813,0,0,23300,cluster15
1.46217,4,1,8370,cluster14
0,2,1,3270,cluster11
0.64813,0,0,23300,cluster15
1.46217,4,1,8370,cluster14
0.041283,5,1,9090,cluster11
0.64813,0,0,23300,cluster15
1.46217,4,1,8370,cluster14
1.13812,3,1,300,cluster6
0.64813,0,0,23300,cluster15
1.46217,4,1,8370,cluster14
1.13812,3,1,300,cluster6
0.041283,5,1,9090,cluster11
0.64813,0,0,23300,cluster15
1.46217,4,1,8370,cluster14
0.318863,5,1,370,cluster6
0.677167,1,1,12300,cluster6
0.020267,4,1,9460,cluster11
1.46217,4,1,8370,cluster14
0.318863,5,1,370,cluster6
0.677167,1,1,12300,cluster6
1.46217,4,1,8370,cluster14
0.377899,4,1,18490,cluster8
1.46217,4,1,8370,cluster14
0.668399,5,0,420,cluster7
1.42347,5,1,350,cluster6
0.668399,5,0,420,cluster7
1.68222,5,1,340,cluster6
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
1.5839,6,0,13230,cluster6
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
0.056316,2,1,4300,cluster11
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
0.056316,2,1,4300,cluster11
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
0.1538,2,1,20190,cluster8
0,0,0,17340,cluster8
0,0,0,17340,cluster8
2.06857,2,1,7380,cluster4
2.06857,2,1,7380,cluster4
2.06857,2,1,7380,cluster4
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
1.84422,2,1,7340,cluster4
1.73577,2,1,8590,cluster4
1.41323,0,0,13590,cluster6
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
1.84422,2,1,7340,cluster4
1.14898,1,1,13500,cluster19
1.84422,2,1,7340,cluster4
0,5,0,4370,cluster8
1.14898,1,1,13500,cluster19
2.06857,2,1,7380,cluster4
0.24265,1,1,4560,cluster8
1.14898,1,1,13500,cluster19
1.14057,1,1,18270,cluster8
1.14898,1,1,13500,cluster19
0,0,0,3270,cluster11
0,2,1,9240,cluster11
0,5,0,4360,cluster8
0.465816,5,0,5150,cluster14
0,5,0,4360,cluster8
0.465816,5,0,5150,cluster14
0.465816,5,0,5150,cluster14
2.14235,0,0,8030,cluster9
0.465816,5,0,5150,cluster14
1.17997,3,1,80,cluster6
2.14235,0,0,8030,cluster9
0.465816,5,0,5150,cluster14
1.97398,3,1,13540,cluster19
1.17997,3,1,80,cluster6
2.14235,0,0,8030,cluster9
0.465816,5,0,5150,cluster14
1.97398,3,1,13540,cluster19
2.14235,0,0,8030,cluster9
0.465816,5,0,5150,cluster14
1.97398,3,1,13540,cluster19
0,5,1,13010,cluster11
0.465816,5,0,5150,cluster14
1.97398,3,1,13540,cluster19
0,5,1,13010,cluster11
0.465816,5,0,5150,cluster14
1.97398,3,1,13540,cluster19
0.034483,0,0,22150,cluster8
0.465816,5,0,5150,cluster14
1.97398,3,1,13540,cluster19
1.97398,3,1,13540,cluster19
0.211184,0,0,4050,cluster11
1.97398,3,1,13540,cluster19
1.97398,3,1,13540,cluster19
1.97398,3,1,13540,cluster19
0.044816,4,1,14180,cluster11
1.37965,4,1,2470,cluster14
1.37965,4,1,2470,cluster14
1.37965,4,1,2470,cluster14
1.37965,4,1,2470,cluster14
0,5,1,8460,cluster11
1.37965,4,1,2470,cluster14
0,5,1,8460,cluster11
1.37965,4,1,2470,cluster14
0.108982,4,1,8570,cluster11
1.37965,4,1,2470,cluster14
0.096283,6,0,22330,cluster8
1.37965,4,1,2470,cluster14
2.45708,4,1,9270,cluster6
1.37965,4,1,2470,cluster14
0,3,1,18190,cluster8
0,4,1,21220,cluster8
0,4,1,21220,cluster8
0.235251,1,1,22470,cluster8
1.46217,4,1,8370,cluster14
0.668399,5,0,420,cluster7
0.459834,4,1,17400,cluster6
0.668399,5,0,420,cluster7
1.68222,5,1,340,cluster6
0.668399,5,0,420,cluster7
0,1,1,18440,cluster6
0.668399,5,0,420,cluster7
0.668399,5,0,420,cluster7
0,1,1,18440,cluster6
0.218686,5,1,320,cluster6
0.668399,5,0,420,cluster7
0.668399,5,0,420,cluster7
0.063307,5,1,4560,cluster11
0.26197,1,1,14310,cluster6
0.668399,5,0,420,cluster7
0.668399,5,0,420,cluster7
1.7518,2,1,8080,cluster4
0.668399,5,0,420,cluster7
1.7518,2,1,8080,cluster4
1.7518,2,1,8080,cluster4
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
2.62177,2,1,3500,cluster12
2.6412,2,1,3530,cluster12
0.056516,2,1,4290,cluster11
0,5,1,8420,cluster11
0,0,1,21020,cluster11
0,5,1,8420,cluster11
0,0,1,21020,cluster11
1.03527,1,1,3480,cluster9
0.469117,1,1,3300,cluster11
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0,2,1,9230,cluster11
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0.320883,5,0,4350,cluster14
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0.320883,5,0,4350,cluster14
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0.320883,5,0,4350,cluster14
0.768117,5,0,560,cluster7
0.449883,1,1,3290,cluster11
0.320883,5,0,4350,cluster14
0.768117,5,0,560,cluster7
1.9536,3,1,12580,cluster5
0.320883,5,0,4350,cluster14
1.9536,3,1,12580,cluster5
0.320883,5,0,4350,cluster14
1.35572,3,1,70,cluster6
1.97398,3,1,13540,cluster19
0.459683,4,1,13120,cluster6
1.97398,3,1,13540,cluster19
1.97398,3,1,13540,cluster19
0,2,1,9100,cluster11
0.325733,6,0,15070,cluster6
0.797867,5,0,5140,cluster14
0.033016,0,0,22140,cluster8
0.325733,6,0,15070,cluster6
0.797867,5,0,5140,cluster14
0.797867,5,0,5140,cluster14
0.033016,0,0,22140,cluster8
0.797867,5,0,5140,cluster14
1.16112,3,1,60,cluster6
1.79088,2,1,7590,cluster4
1.79088,2,1,7590,cluster4
0.797867,5,0,5140,cluster14
0.797867,5,0,5140,cluster14
0.797867,5,0,5140,cluster14
0.341216,3,1,11500,cluster6
1.34412,4,1,2460,cluster14
1.34412,4,1,2460,cluster14
1.34412,4,1,2460,cluster14
0.097234,6,0,22320,cluster8
1.34412,4,1,2460,cluster14
1.34412,4,1,2460,cluster14
0.89495,5,0,5530,cluster14
1.34412,4,1,2460,cluster14
0.89495,5,0,5530,cluster14
1.34412,4,1,2460,cluster14
0.89495,5,0,5530,cluster14
1.34412,4,1,2460,cluster14
0.89495,5,0,5530,cluster14
0.89495,5,0,5530,cluster14
0.89495,5,0,5530,cluster14
0.89495,5,0,5530,cluster14
0.89495,5,0,5530,cluster14
0,1,1,18430,cluster6
0,1,1,18430,cluster6
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
0.151474,5,1,4550,cluster11
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
0,1,1,18420,cluster6
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
0,1,1,18420,cluster6
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
2.6412,2,1,3530,cluster12
2.6412,2,1,3530,cluster12
2.35227,3,1,4210,cluster19
2.6412,2,1,3530,cluster12
2.35227,3,1,4210,cluster19
2.6412,2,1,3530,cluster12
2.35227,3,1,4210,cluster19
2.6412,2,1,3530,cluster12
2.35227,3,1,4210,cluster19
2.6412,2,1,3530,cluster12
2.35227,3,1,4210,cluster19
2.6412,2,1,3530,cluster12
2.6412,2,1,3530,cluster12
2.6412,2,1,3530,cluster12
1.20118,2,1,13240,cluster6
2.6412,2,1,3530,cluster12
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
1.03527,1,1,3480,cluster9
1.03527,1,1,3480,cluster9
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
1.03527,1,1,3480,cluster9
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
1.1248,1,1,13490,cluster19
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
1.1248,1,1,13490,cluster19
1.9536,3,1,12580,cluster5
0.768117,5,0,560,cluster7
0.768117,5,0,560,cluster7
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.79088,2,1,7590,cluster4
1.79088,2,1,7590,cluster4
1.79088,2,1,7590,cluster4
0.277617,1,1,14230,cluster6
0.797867,5,0,5140,cluster14
1.79088,2,1,7590,cluster4
0.797867,5,0,5140,cluster14
0.020967,0,0,20380,cluster8
1.79088,2,1,7590,cluster4
0.797867,5,0,5140,cluster14
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
0.797867,5,0,5140,cluster14
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
0.217517,0,0,4040,cluster11
0.490049,1,1,4300,cluster11
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
0.490049,1,1,4300,cluster11
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
1.79088,2,1,7590,cluster4
2.076,3,1,10500,cluster2
0.113566,4,1,23200,cluster8
1.34412,4,1,2460,cluster14
1.34412,4,1,2460,cluster14
1.34412,4,1,2460,cluster14
1.34412,4,1,2460,cluster14
0.89495,5,0,5530,cluster14
0.89495,5,0,5530,cluster14
0.611767,4,1,2450,cluster8
0.89495,5,0,5530,cluster14
0.611767,4,1,2450,cluster8
0.89495,5,0,5530,cluster14
0.037617,4,1,22200,cluster8
0.037617,4,1,22200,cluster8
0.037617,4,1,22200,cluster8
0.2169,5,1,4540,cluster11
0.211874,5,1,4530,cluster11
1.66322,2,1,8500,cluster4
1.7518,2,1,8080,cluster4
1.63198,2,1,8490,cluster4
0.209338,5,1,4520,cluster11
1.63198,2,1,8490,cluster4
0.209338,5,1,4520,cluster11
1.13978,3,1,13500,cluster19
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
0,2,1,18500,cluster8
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
0.63342,6,0,15150,cluster6
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
1.63198,2,1,8490,cluster4
1.13978,3,1,13500,cluster19
1.13978,3,1,13500,cluster19
1.13978,3,1,13500,cluster19
1.13978,3,1,13500,cluster19
2.6412,2,1,3530,cluster12
2.6412,2,1,3530,cluster12
1.60207,2,1,8320,cluster4
2.6412,2,1,3530,cluster12
1.60207,2,1,8320,cluster4
2.6412,2,1,3530,cluster12
1.60207,2,1,8320,cluster4
2.6412,2,1,3530,cluster12
1.60207,2,1,8320,cluster4
1.60207,2,1,8320,cluster4
2.05878,2,1,12490,cluster5
1.60207,2,1,8320,cluster4
0.187967,0,0,3130,cluster11
2.05878,2,1,12490,cluster5
1.60207,2,1,8320,cluster4
0.088233,2,1,23080,cluster8
2.05878,2,1,12490,cluster5
1.60207,2,1,8320,cluster4
0.431183,5,0,4220,cluster14
2.05878,2,1,12490,cluster5
1.60207,2,1,8320,cluster4
2.05878,2,1,12490,cluster5
1.60207,2,1,8320,cluster4
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
1.1248,1,1,13490,cluster19
1.1248,1,1,13490,cluster19
0.768117,5,0,560,cluster7
1.1248,1,1,13490,cluster19
0.768117,5,0,560,cluster7
1.1248,1,1,13490,cluster19
1.9536,3,1,12580,cluster5
1.1248,1,1,13490,cluster19
1.9536,3,1,12580,cluster5
1.1248,1,1,13490,cluster19
1.9536,3,1,12580,cluster5
1.1248,1,1,13490,cluster19
1.9536,3,1,12580,cluster5
0.400434,6,0,14010,cluster6
1.1248,1,1,13490,cluster19
0.65959,4,1,23410,cluster2
0.187916,6,0,6050,cluster11
1.1248,1,1,13490,cluster19
0.65959,4,1,23410,cluster2
1.1248,1,1,13490,cluster19
