@relation c1train-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R3

@attribute 'refinedUse ' numeric
@attribute ' dow ' {0,1,2,3,4,5,6}
@attribute Day {0,1}
@attribute ' Time' numeric
@attribute Cluster {cluster13,cluster9,cluster3,cluster5,cluster15,cluster17,cluster4,cluster12,cluster55,cluster11,cluster10,cluster42,cluster19,cluster30,cluster33,cluster36,cluster34,cluster39,cluster54,cluster47,cluster26,cluster25,cluster50,cluster52,cluster28}

@data
0.493133,1,1,11180,cluster9
0.493133,1,1,11180,cluster9
0.493133,1,1,11180,cluster9
0.493133,1,1,11180,cluster9
0.493133,1,1,11180,cluster9
0.493133,1,1,11180,cluster9
0.347884,0,0,4430,cluster15
1.16807,3,1,1500,cluster17
1.16807,3,1,1500,cluster17
1.16807,3,1,1500,cluster17
1.16807,3,1,1500,cluster17
0.135566,5,1,5520,cluster5
0.135566,5,1,5520,cluster5
0.385284,4,1,20220,cluster13
0.364334,4,1,14550,cluster15
0.026867,0,1,17290,cluster5
0.026867,0,1,17290,cluster5
0,3,1,5240,cluster13
0.385383,4,1,20210,cluster13
0.016651,0,1,17280,cluster5
0.016651,0,1,17280,cluster5
0.192966,3,1,5230,cluster13
0.212683,6,0,4320,cluster13
0.016551,0,1,17270,cluster5
0.016551,0,1,17270,cluster5
0.992204,3,1,12240,cluster15
0.99992,3,1,12230,cluster15
0.99707,3,1,12220,cluster15
0.994413,3,1,12210,cluster15
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
0.356353,6,0,10410,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
1.26806,6,0,10400,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.91867,6,0,10390,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.344912,6,0,10380,cluster11
0.63985,0,0,100,cluster13
0,5,1,16160,cluster5
0,5,1,16160,cluster5
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.659084,5,1,1190,cluster10
0.638583,0,0,90,cluster13
0,5,1,16150,cluster5
0,5,1,16150,cluster5
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.652451,5,1,1180,cluster10
0.670284,0,0,80,cluster13
0,5,1,16140,cluster5
0,5,1,16140,cluster5
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.673651,5,1,1170,cluster10
0.00065,4,1,10200,cluster12
0.00065,4,1,10200,cluster12
0.00065,4,1,10200,cluster12
0.00065,4,1,10200,cluster12
0.203333,6,0,9350,cluster13
0.671517,1,1,8240,cluster13
0,4,1,17270,cluster3
0,4,1,17270,cluster3
0.0407,3,1,5420,cluster12
0.0407,3,1,5420,cluster12
0.0407,3,1,5420,cluster12
0.0407,3,1,5420,cluster12
0.202466,6,0,9340,cluster13
1.28052,2,1,14450,cluster17
1.28052,2,1,14450,cluster17
1.28052,2,1,14450,cluster17
1.28052,2,1,14450,cluster17
0.670617,1,1,8230,cluster13
1.1905,1,1,1390,cluster13
0,4,1,17260,cluster3
0,4,1,17260,cluster3
0.047267,3,1,5410,cluster12
0.047267,3,1,5410,cluster12
0.047267,3,1,5410,cluster12
0.047267,3,1,5410,cluster12
0.199534,6,0,9330,cluster13
1.59727,2,1,14440,cluster17
1.59727,2,1,14440,cluster17
1.59727,2,1,14440,cluster17
1.59727,2,1,14440,cluster17
1.61243,4,1,5300,cluster13
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
0.475683,5,1,100,cluster10
1.18847,1,1,1380,cluster13
0.643916,1,1,8220,cluster13
0.467351,0,0,23000,cluster13
1.18918,2,1,14430,cluster17
1.18918,2,1,14430,cluster17
1.18918,2,1,14430,cluster17
1.18918,2,1,14430,cluster17
0.026284,4,1,17250,cluster3
0.026284,4,1,17250,cluster3
0,5,1,15060,cluster5
0,5,1,15060,cluster5
1.1867,1,1,1370,cluster13
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.68305,5,1,90,cluster10
0.402967,5,0,11500,cluster15
0.273718,0,0,22590,cluster13
0.787134,0,0,10400,cluster15
0,5,1,15050,cluster5
0,5,1,15050,cluster5
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.484516,5,1,80,cluster10
0.184817,0,0,22580,cluster13
0,5,1,15040,cluster5
0,5,1,15040,cluster5
0.334216,0,0,4420,cluster15
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
0.48775,5,1,70,cluster10
1.19647,3,1,1490,cluster17
1.19647,3,1,1490,cluster17
1.19647,3,1,1490,cluster17
1.19647,3,1,1490,cluster17
0.065201,5,1,5510,cluster5
0.065201,5,1,5510,cluster5
0.3782,4,1,14540,cluster15
0.346298,0,0,4410,cluster15
1.1806,3,1,1480,cluster17
1.1806,3,1,1480,cluster17
1.1806,3,1,1480,cluster17
1.1806,3,1,1480,cluster17
1.17932,3,1,1470,cluster17
1.17932,3,1,1470,cluster17
1.17932,3,1,1470,cluster17
1.17932,3,1,1470,cluster17
1.24023,1,1,16170,cluster13
0.378933,4,1,14520,cluster15
0.2051,6,0,2300,cluster12
0.2051,6,0,2300,cluster12
0.2051,6,0,2300,cluster12
0.2051,6,0,2300,cluster12
0.054083,2,1,10500,cluster5
0.054083,2,1,10500,cluster5
0.1107,1,1,1200,cluster5
0.1107,1,1,1200,cluster5
0.010849,0,1,17260,cluster5
0.010849,0,1,17260,cluster5
0.178084,6,0,2290,cluster12
0.178084,6,0,2290,cluster12
0.178084,6,0,2290,cluster12
0.178084,6,0,2290,cluster12
0.41035,3,1,5210,cluster13
0.295567,1,1,1190,cluster5
0.295567,1,1,1190,cluster5
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.372533,6,0,10370,cluster11
0.029134,0,1,17250,cluster5
0.029134,0,1,17250,cluster5
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
0.922737,6,0,10360,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
1.93296,6,0,10350,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.07414,6,0,10340,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
2.16755,6,0,10330,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
1.4206,6,0,10320,cluster11
0.03127,2,1,3390,cluster13
0,2,1,3380,cluster13
0.108907,4,1,21410,cluster3
0.108907,4,1,21410,cluster3
0.715316,0,0,70,cluster13
0,5,1,16130,cluster5
0,5,1,16130,cluster5
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.681283,5,1,1160,cluster10
0.006049,4,1,10190,cluster12
0.006049,4,1,10190,cluster12
0.006049,4,1,10190,cluster12
0.006049,4,1,10190,cluster12
0,5,1,16120,cluster5
0,5,1,16120,cluster5
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.681617,5,1,1150,cluster10
0.007835,4,1,10180,cluster12
0.007835,4,1,10180,cluster12
0.007835,4,1,10180,cluster12
0.007835,4,1,10180,cluster12
0,5,1,16110,cluster5
0,5,1,16110,cluster5
0.209684,6,0,9320,cluster13
0.845384,2,1,14420,cluster15
0.055451,4,1,17240,cluster3
0.055451,4,1,17240,cluster3
0.309199,6,0,9310,cluster13
0.411567,5,0,11490,cluster15
