@relation 1train-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R3

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
0.523566,4,1,1320,cluster15
0.34655,4,1,21540,cluster1
0.052506,0,0,15110,cluster0
0.718099,5,1,1110,cluster7
0.523566,4,1,1320,cluster15
0.34655,4,1,21540,cluster1
0.052506,0,0,15110,cluster0
0.718099,5,1,1110,cluster7
0.364117,1,1,6210,cluster10
0.718099,5,1,1110,cluster7
0.364117,1,1,6210,cluster10
0.718099,5,1,1110,cluster7
0.364117,1,1,6210,cluster10
0.718099,5,1,1110,cluster7
0.718099,5,1,1110,cluster7
0.091195,6,0,4580,cluster10
0.091195,6,0,4580,cluster10
0.95645,5,0,12070,cluster9
0.091195,6,0,4580,cluster10
0.95645,5,0,12070,cluster9
0.436867,2,1,400,cluster1
0.95645,5,0,12070,cluster9
0.436867,2,1,400,cluster1
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0,1,1,19240,cluster0
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0,1,1,19240,cluster0
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0.345449,4,1,20390,cluster8
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0,4,1,19540,cluster1
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0.656867,4,1,14280,cluster3
0.95645,5,0,12070,cluster9
0.656867,4,1,14280,cluster3
0.656867,4,1,14280,cluster3
1.42123,4,1,5340,cluster14
0.002117,0,0,4360,cluster11
0.173834,6,0,16540,cluster11
0.940667,1,1,14420,cluster1
0.173834,6,0,16540,cluster11
0.940667,1,1,14420,cluster1
0.692033,3,1,14360,cluster6
2.42558,0,1,16190,cluster6
0.692033,3,1,14360,cluster6
2.42558,0,1,16190,cluster6
0.692033,3,1,14360,cluster6
2.42558,0,1,16190,cluster6
0.77415,6,0,1570,cluster2
0,3,1,20070,cluster8
0.691566,3,1,14330,cluster6
0.77415,6,0,1570,cluster2
0.691566,3,1,14330,cluster6
0.77415,6,0,1570,cluster2
2.4207,0,1,16180,cluster6
0.691566,3,1,14330,cluster6
0.77415,6,0,1570,cluster2
2.4207,0,1,16180,cluster6
0.322866,6,0,5010,cluster8
0.029983,6,0,23360,cluster10
0.029983,6,0,23360,cluster10
0.029983,6,0,23360,cluster10
0.45045,5,1,14030,cluster1
0.856066,4,1,1100,cluster15
0.45045,5,1,14030,cluster1
0.856066,4,1,1100,cluster15
0.18682,6,0,16220,cluster6
0.856066,4,1,1100,cluster15
1.59608,3,1,7040,cluster4
1.76782,3,1,7380,cluster4
0.427368,5,1,10520,cluster7
1.76782,3,1,7380,cluster4
0.704999,1,1,1200,cluster2
0.427368,5,1,10520,cluster7
1.76782,3,1,7380,cluster4
0.704999,1,1,1200,cluster2
0.427368,5,1,10520,cluster7
1.76782,3,1,7380,cluster4
0.149433,6,0,19470,cluster8
0.704999,1,1,1200,cluster2
0.427368,5,1,10520,cluster7
1.76782,3,1,7380,cluster4
0.178136,2,1,1260,cluster8
0.704999,1,1,1200,cluster2
0.427368,5,1,10520,cluster7
1.76782,3,1,7380,cluster4
0.890416,1,1,9340,cluster1
0.704999,1,1,1200,cluster2
0.427368,5,1,10520,cluster7
1.76782,3,1,7380,cluster4
0.890416,1,1,9340,cluster1
0.704999,1,1,1200,cluster2
0.427368,5,1,10520,cluster7
0.140666,3,1,15520,cluster10
0,6,0,20440,cluster11
2.19252,3,1,7030,cluster4
0.140666,3,1,15520,cluster10
2.19252,3,1,7030,cluster4
0.140666,3,1,15520,cluster10
0.836583,6,0,2300,cluster2
0.236933,1,1,4490,cluster8
0.836583,6,0,2300,cluster2
0.330283,1,1,50,cluster15
0.172287,2,1,1250,cluster8
0.330283,1,1,50,cluster15
0,4,1,18370,cluster13
0.547836,3,1,13530,cluster10
1.09053,5,0,6200,cluster16
0.547836,3,1,13530,cluster10
1.09053,5,0,6200,cluster16
0,0,1,17500,cluster11
0.547836,3,1,13530,cluster10
2.35315,1,1,10260,cluster16
1.09053,5,0,6200,cluster16
0.781317,1,1,19400,cluster8
0.697616,5,1,15020,cluster1
2.35315,1,1,10260,cluster16
1.09053,5,0,6200,cluster16
0.514267,1,1,16400,cluster1
0.697616,5,1,15020,cluster1
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
1.09053,5,0,6200,cluster16
0.514267,1,1,16400,cluster1
0.288671,1,1,40,cluster15
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
1.11875,0,0,5100,cluster8
0.288671,1,1,40,cluster15
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
0.101887,0,0,14420,cluster10
2.15905,6,0,11460,cluster2
0.288671,1,1,40,cluster15
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
0.101887,0,0,14420,cluster10
2.15905,6,0,11460,cluster2
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
0.101887,0,0,14420,cluster10
2.15905,6,0,11460,cluster2
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
2.15905,6,0,11460,cluster2
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
2.35315,1,1,10260,cluster16
1.37293,4,1,5230,cluster14
1.37293,4,1,5230,cluster14
1.37293,4,1,5230,cluster14
0.523566,4,1,1320,cluster15
0.523566,4,1,1320,cluster15
0.523566,4,1,1320,cluster15
0.610483,1,1,15470,cluster6
0.053667,0,0,15100,cluster0
0.610483,1,1,15470,cluster6
0,4,1,10140,cluster0
0.053667,0,0,15100,cluster0
0,4,1,10140,cluster0
0,0,1,22390,cluster11
0.038887,0,0,15090,cluster0
0,4,1,10140,cluster0
0,0,1,22390,cluster11
0.038887,0,0,15090,cluster0
0.6335,0,0,10,cluster8
0.194884,2,1,21290,cluster1
0.038887,0,0,15090,cluster0
0.225833,0,0,19160,cluster13
0.039683,5,1,1210,cluster13
0.225833,0,0,19160,cluster13
0.039683,5,1,1210,cluster13
0.225833,0,0,19160,cluster13
0.039683,5,1,1210,cluster13
