refinedUse,' dow',' dType',' Time',' Cluster'
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
2.05878,2,1,12490,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.9536,3,1,12580,cluster5
1.94532,3,1,12570,cluster5
2.56198,0,0,8230,cluster5
2.56198,0,0,8230,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
1.94532,3,1,12570,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.93227,0,1,14260,cluster5
2.93227,0,1,14260,cluster5
2.93227,0,1,14260,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
2.93227,0,1,14260,cluster5
1.94532,3,1,12570,cluster5
2.93227,0,1,14260,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.03822,2,1,12480,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.93227,0,1,14260,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.0363,2,1,12470,cluster5
2.19095,2,1,12580,cluster5
2.0363,2,1,12470,cluster5
2.19095,2,1,12580,cluster5
2.0363,2,1,12470,cluster5
2.19095,2,1,12580,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
2.0363,2,1,12470,cluster5
1.92552,3,1,12560,cluster5
1.92552,3,1,12560,cluster5
2.93692,0,1,14250,cluster5
1.98857,3,1,12550,cluster5
2.93692,0,1,14250,cluster5
1.98857,3,1,12550,cluster5
2.93692,0,1,14250,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.0363,2,1,12470,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
2.19095,2,1,12580,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
1.98857,3,1,12550,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
2.18735,2,1,12310,cluster5
1.66325,2,1,12460,cluster5
1.66325,2,1,12460,cluster5
1.66325,2,1,12460,cluster5
1.66325,2,1,12460,cluster5
1.66325,2,1,12460,cluster5
