@relation 1train-c-weka.filters.unsupervised.attribute.Remove-R6-7

@attribute refinedUse numeric
@attribute ' dow' {0,1,2,3,4,5,6}
@attribute ' phase' {0,1,2,3}
@attribute ' dType' {0,1}
@attribute ' Time' numeric
@attribute ' Cluster' {cluster8,cluster13,cluster7,cluster11,cluster6,cluster4,cluster1,cluster19,cluster10,cluster0,cluster16,cluster2,cluster3,cluster5,cluster15,cluster17,cluster18,cluster9,cluster14,cluster12}

@data
1.54045,3,2,1,6430,cluster4
1.07642,5,1,0,2150,cluster3
0.122233,3,3,1,9110,cluster8
0.644817,4,0,1,14340,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
1.54045,3,2,1,6430,cluster4
0.103134,5,0,1,19110,cluster8
1.16848,5,1,0,2320,cluster3
1.07642,5,1,0,2150,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
1.16848,5,1,0,2320,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
0,6,0,0,20570,cluster11
0.4454,1,2,1,5040,cluster11
0.63055,4,0,1,14450,cluster8
1.64653,2,3,1,9010,cluster4
1.76993,2,3,1,9410,cluster4
0,3,1,1,500,cluster3
0.845949,1,2,1,6090,cluster11
1.07642,5,1,0,2150,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
1.64653,2,3,1,9010,cluster4
1.03173,5,1,0,2280,cluster3
0,3,1,1,500,cluster3
1.64653,2,3,1,9010,cluster4
1.76993,2,3,1,9410,cluster4
1.03173,5,1,0,2280,cluster3
0.302483,2,0,1,20010,cluster8
1.76993,2,3,1,9410,cluster4
1.65565,2,3,1,9070,cluster4
0.687251,6,3,0,11510,cluster8
0.819667,6,3,0,11450,cluster2
0.819667,6,3,0,11450,cluster2
1.14142,3,1,1,2010,cluster5
1.92093,3,2,1,6040,cluster19
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
2.37847,1,3,1,10030,cluster8
2.22528,3,3,1,7120,cluster19
1.65565,2,3,1,9070,cluster4
1.28808,4,1,1,2140,cluster19
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
0.687251,6,3,0,11510,cluster8
1.14142,3,1,1,2010,cluster5
2.41467,3,2,1,6480,cluster4
1.92093,3,2,1,6040,cluster19
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
2.22528,3,3,1,7120,cluster19
1.28808,4,1,1,2140,cluster19
0.767363,6,1,0,80,cluster7
0.767363,6,1,0,80,cluster7
1.11363,5,1,0,2330,cluster3
1.11363,5,1,0,2330,cluster3
1.8442,3,2,1,6420,cluster4
0.673651,5,1,1,1170,cluster7
0.673651,5,1,1,1170,cluster7
0.366801,4,0,1,15540,cluster17
1.07642,5,1,0,2150,cluster3
1.11363,5,1,0,2330,cluster3
1.3133,1,0,1,15390,cluster8
0.00065,4,3,1,10200,cluster11
1.12402,5,1,0,2380,cluster3
1.8442,3,2,1,6420,cluster4
0,5,0,1,16070,cluster11
1.07642,5,1,0,2150,cluster3
1.8442,3,2,1,6420,cluster4
0.157357,4,1,1,1140,cluster11
1.07642,5,1,0,2150,cluster3
0.230784,1,1,1,1530,cluster11
0.376901,1,2,1,6290,cluster11
0.230784,1,1,1,1530,cluster11
0,4,3,1,10000,cluster11
2.36638,1,3,1,10270,cluster16
0.38149,6,0,0,16140,cluster3
2.36638,1,3,1,10270,cluster16
0.376901,1,2,1,6290,cluster11
1.1537,3,1,1,2150,cluster19
1.04357,1,1,1,390,cluster2
1.04357,1,1,1,390,cluster2
2.32008,4,2,1,6390,cluster4
1.38233,0,0,1,16410,cluster17
0.2454,6,0,0,19040,cluster17
1.65447,4,1,1,2190,cluster19
0.022134,0,0,1,22210,cluster11
0.375283,6,1,0,1150,cluster16
2.5915,1,0,1,16230,cluster17
0,5,0,1,20000,cluster11
1.66908,4,1,1,1270,cluster15
1.66908,4,1,1,1270,cluster15
0.270849,6,3,0,11330,cluster2
0.270849,6,3,0,11330,cluster2
0,1,2,1,4250,cluster8
1.71938,4,1,1,2370,cluster5
0.38149,6,0,0,16140,cluster3
1.1537,3,1,1,2150,cluster19
1.04357,1,1,1,390,cluster2
1.04357,1,1,1,390,cluster2
2.32008,4,2,1,6390,cluster4
0.375283,6,1,0,1150,cluster16
2.5915,1,0,1,16230,cluster17
0.270849,6,3,0,11330,cluster2
0.270849,6,3,0,11330,cluster2
0.026877,4,1,1,560,cluster11
1.1537,3,1,1,2150,cluster19
1.71938,4,1,1,2370,cluster5
0.37745,3,2,1,5310,cluster8
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
0.46997,1,3,1,10410,cluster7
1.07642,5,1,0,2150,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
0.928965,4,1,1,1180,cluster8
1.00868,2,0,1,15460,cluster8
1.64653,2,3,1,9010,cluster4
1.07642,5,1,0,2150,cluster3
0,3,1,1,500,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
1.64653,2,3,1,9010,cluster4
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
1.03173,5,1,0,2280,cluster3
1.07642,5,1,0,2150,cluster3
0,3,1,1,500,cluster3
0.081766,1,2,1,5030,cluster11
0.431586,2,0,1,15320,cluster8
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
0.71265,1,0,1,19550,cluster8
1.76993,2,3,1,9410,cluster4
0,0,1,0,3530,cluster11
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
0.840483,5,2,0,6080,cluster9
0.840483,5,2,0,6080,cluster9
1.03173,5,1,0,2280,cluster3
1.76993,2,3,1,9410,cluster4
0.487433,4,0,1,14120,cluster8
0.628467,3,1,1,30,cluster8
2.41467,3,2,1,6480,cluster4
1.14142,3,1,1,2010,cluster5
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
0.487433,4,0,1,14120,cluster8
2.22528,3,3,1,7120,cluster19
1.28808,4,1,1,2140,cluster19
0.767363,6,1,0,80,cluster7
0.767363,6,1,0,80,cluster7
0.418017,4,0,1,15320,cluster8
0.231534,0,3,0,11110,cluster8
0,6,0,0,18290,cluster11
2.41467,3,2,1,6480,cluster4
1.14142,3,1,1,2010,cluster5
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
2.22528,3,3,1,7120,cluster19
1.28808,4,1,1,2140,cluster19
0.767363,6,1,0,80,cluster7
0.767363,6,1,0,80,cluster7
2.22528,3,3,1,7120,cluster19
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
1.28808,4,1,1,2140,cluster19
0.366801,4,0,1,15540,cluster17
1.11363,5,1,0,2330,cluster3
0.656867,4,0,1,14280,cluster3
0.366801,4,0,1,15540,cluster17
1.11363,5,1,0,2330,cluster3
0.656867,4,0,1,14280,cluster3
0.366801,4,0,1,15540,cluster17
0.270917,1,1,1,490,cluster11
1.11363,5,1,0,2330,cluster3
0.656867,4,0,1,14280,cluster3
1.8442,3,2,1,6420,cluster4
0.366801,4,0,1,15540,cluster17
1.07642,5,1,0,2150,cluster3
2.72059,2,3,1,9590,cluster8
0.947433,2,2,1,4040,cluster18
0.421018,0,1,0,1050,cluster2
0.421018,0,1,0,1050,cluster2
0.051599,5,1,1,1070,cluster3
0,4,2,1,6180,cluster11
0.05007,5,2,1,6460,cluster11
0.022967,0,0,1,22110,cluster11
0,6,0,0,19080,cluster11
0.187234,2,0,1,21110,cluster8
0.38149,6,0,0,16140,cluster3
2.32008,4,2,1,6390,cluster4
0.37935,1,2,1,6140,cluster11
2.02002,4,1,1,3010,cluster5
0.375283,6,1,0,1150,cluster16
1.04357,1,1,1,390,cluster2
1.04357,1,1,1,390,cluster2
2.5915,1,0,1,16230,cluster17
0.328704,4,1,1,1390,cluster11
0,4,0,1,20490,cluster11
0.38149,6,0,0,16140,cluster3
0.683233,5,1,1,10,cluster7
0.683233,5,1,1,10,cluster7
0.020733,0,0,1,22170,cluster11
2.32008,4,2,1,6390,cluster4
0.058299,6,0,0,18550,cluster11
0.375283,6,1,0,1150,cluster16
1.71938,4,1,1,2370,cluster5
2.5915,1,0,1,16230,cluster17
0.290416,4,0,1,21530,cluster8
0.375283,6,1,0,1150,cluster16
0.077015,6,0,0,20010,cluster8
0.404983,5,3,0,11450,cluster2
0.404983,5,3,0,11450,cluster2
0.683233,5,1,1,10,cluster7
0.683233,5,1,1,10,cluster7
1.71938,4,1,1,2370,cluster5
0.142301,6,0,0,19440,cluster8
0.375283,6,1,0,1150,cluster16
0.404983,5,3,0,11450,cluster2
0.404983,5,3,0,11450,cluster2
0.151616,5,0,1,22470,cluster11
1.02372,5,2,0,6250,cluster16
1.02372,5,2,0,6250,cluster16
1.02372,5,2,0,6250,cluster16
1.02372,5,2,0,6250,cluster16
1.02372,5,2,0,6250,cluster16
1.02372,5,2,0,6250,cluster16
0.53245,0,3,0,11120,cluster2
0.53245,0,3,0,11120,cluster2
1.02372,5,2,0,6250,cluster16
0.15,0,2,0,4110,cluster11
0,3,1,1,500,cluster3
1.5107,4,2,1,5110,cluster14
1.5107,4,2,1,5110,cluster14
0,3,1,1,500,cluster3
0.840483,5,2,0,6080,cluster9
0.840483,5,2,0,6080,cluster9
0,0,1,0,3520,cluster11
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
0,3,1,1,500,cluster3
0.840483,5,2,0,6080,cluster9
0.840483,5,2,0,6080,cluster9
0.081766,1,2,1,5030,cluster11
0,0,0,1,22540,cluster11
1.76993,2,3,1,9410,cluster4
1.11937,4,1,1,1170,cluster15
1.11937,4,1,1,1170,cluster15
0.840483,5,2,0,6080,cluster9
0.840483,5,2,0,6080,cluster9
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
0.602268,4,1,1,2100,cluster8
0.738584,6,1,0,1530,cluster7
0.738584,6,1,0,1530,cluster7
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
2.41467,3,2,1,6480,cluster4
0.629877,1,3,1,11010,cluster7
0.629877,1,3,1,11010,cluster7
0.767363,6,1,0,80,cluster7
0.767363,6,1,0,80,cluster7
1.28808,4,1,1,2140,cluster19
1.17426,5,3,1,10360,cluster15
1.17426,5,3,1,10360,cluster15
0.731169,5,3,1,10490,cluster7
0.731169,5,3,1,10490,cluster7
0.330417,5,1,0,2160,cluster3
0.935819,3,1,1,460,cluster3
0.629877,1,3,1,11010,cluster7
0.629877,1,3,1,11010,cluster7
1.28808,4,1,1,2140,cluster19
0.054519,5,0,1,21100,cluster11
0.083404,1,0,1,16490,cluster17
0.935819,3,1,1,460,cluster3
0.629877,1,3,1,11010,cluster7
0.629877,1,3,1,11010,cluster7
2.34605,0,3,0,9440,cluster19
0.407868,0,1,0,1080,cluster2
0.407868,0,1,0,1080,cluster2
0.083404,1,0,1,16490,cluster17
0.673434,5,1,1,110,cluster7
0.673434,5,1,1,110,cluster7
0.656867,4,0,1,14280,cluster3
0.366801,4,0,1,15540,cluster17
0.656867,4,0,1,14280,cluster3
0.366801,4,0,1,15540,cluster17
0.366801,4,0,1,15540,cluster17
0.947433,2,2,1,4040,cluster18
0.656867,4,0,1,14280,cluster3
0.051599,5,1,1,1070,cluster3
0.95645,5,3,0,12070,cluster9
0.95645,5,3,0,12070,cluster9
0,0,3,1,11420,cluster11
0.656867,4,0,1,14280,cluster3
0.758767,6,1,0,1180,cluster7
0.758767,6,1,0,1180,cluster7
0.95645,5,3,0,12070,cluster9
0.95645,5,3,0,12070,cluster9
1.5174,4,1,1,2530,cluster9
1.5174,4,1,1,2530,cluster9
0.947433,2,2,1,4040,cluster18
1.5174,4,1,1,2530,cluster9
1.5174,4,1,1,2530,cluster9
0.051599,5,1,1,1070,cluster3
0.054116,2,0,1,21010,cluster8
0,0,0,0,19410,cluster11
1.5174,4,1,1,2530,cluster9
1.5174,4,1,1,2530,cluster9
0.758767,6,1,0,1180,cluster7
0.758767,6,1,0,1180,cluster7
1.5174,4,1,1,2530,cluster9
1.5174,4,1,1,2530,cluster9
1.5174,4,1,1,2530,cluster9
1.5174,4,1,1,2530,cluster9
0,5,0,1,19590,cluster11
0.37935,1,2,1,6140,cluster11
1.9175,1,3,1,10280,cluster15
1.9175,1,3,1,10280,cluster15
0,5,0,1,19580,cluster11
1.9175,1,3,1,10280,cluster15
1.9175,1,3,1,10280,cluster15
0.683233,5,1,1,10,cluster7
0.683233,5,1,1,10,cluster7
0.40857,4,1,1,180,cluster11
1.9175,1,3,1,10280,cluster15
1.9175,1,3,1,10280,cluster15
0.527884,6,1,0,2190,cluster2
0.527884,6,1,0,2190,cluster2
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
0.527884,6,1,0,2190,cluster2
0.527884,6,1,0,2190,cluster2
1.9175,1,3,1,10280,cluster15
1.9175,1,3,1,10280,cluster15
1.06923,4,1,1,1530,cluster11
0.527884,6,1,0,2190,cluster2
0.527884,6,1,0,2190,cluster2
0.683233,5,1,1,10,cluster7
0.683233,5,1,1,10,cluster7
0.527884,6,1,0,2190,cluster2
0.527884,6,1,0,2190,cluster2
1.9175,1,3,1,10280,cluster15
1.9175,1,3,1,10280,cluster15
0.527884,6,1,0,2190,cluster2
0.527884,6,1,0,2190,cluster2
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
1.73348,3,2,1,6560,cluster5
0.164957,1,0,1,16120,cluster8
1.02372,5,2,0,6250,cluster16
2.36483,0,3,0,9500,cluster19
1.02372,5,2,0,6250,cluster16
2.36483,0,3,0,9500,cluster19
1.02372,5,2,0,6250,cluster16
1.06838,5,3,0,12210,cluster9
1.06838,5,3,0,12210,cluster9
2.36483,0,3,0,9500,cluster19
1.06838,5,3,0,12210,cluster9
1.06838,5,3,0,12210,cluster9
2.36483,0,3,0,9500,cluster19
1.11937,4,1,1,1170,cluster15
1.11937,4,1,1,1170,cluster15
0.6353,6,1,0,1200,cluster16
1.11937,4,1,1,1170,cluster15
1.11937,4,1,1,1170,cluster15
2.20515,3,2,1,6140,cluster19
1.02698,1,0,1,16140,cluster17
3.00602,1,0,1,23590,cluster15
3.00602,1,0,1,23590,cluster15
1.02698,1,0,1,16140,cluster17
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
1.00788,5,3,0,12150,cluster9
1.00788,5,3,0,12150,cluster9
1.02698,1,0,1,16140,cluster17
0.071501,1,2,1,5020,cluster11
1.02698,1,0,1,16140,cluster17
0.597999,5,1,1,450,cluster7
0.597999,5,1,1,450,cluster7
0.359254,2,1,1,530,cluster2
0.359254,2,1,1,530,cluster2
0.904099,5,1,1,1080,cluster7
0.904099,5,1,1,1080,cluster7
1.09193,1,1,1,370,cluster15
1.09193,1,1,1,370,cluster15
2.20515,3,2,1,6140,cluster19
1.02698,1,0,1,16140,cluster17
0.359254,2,1,1,530,cluster2
0.359254,2,1,1,530,cluster2
3.00602,1,0,1,23590,cluster15
3.00602,1,0,1,23590,cluster15
0.5824,1,3,1,8500,cluster8
1.00788,5,3,0,12150,cluster9
1.00788,5,3,0,12150,cluster9
0.347637,2,1,1,520,cluster2
0.347637,2,1,1,520,cluster2
0.133817,2,0,1,20360,cluster8
0.081317,6,2,0,5170,cluster11
1.0894,2,2,1,4020,cluster18
0.629877,1,3,1,11010,cluster7
0.629877,1,3,1,11010,cluster7
0.081317,6,2,0,5170,cluster11
0.935819,3,1,1,460,cluster3
0.132316,1,1,1,1460,cluster11
1.11197,3,1,1,2190,cluster19
2.34605,0,3,0,9440,cluster19
0.083404,1,0,1,16490,cluster17
0.46606,6,3,0,10570,cluster7
0.46606,6,3,0,10570,cluster7
0.407868,0,1,0,1080,cluster2
0.407868,0,1,0,1080,cluster2
1.07427,2,2,1,4010,cluster18
1.0894,2,2,1,4020,cluster18
0.673434,5,1,1,110,cluster7
0.673434,5,1,1,110,cluster7
0.110556,0,0,0,14340,cluster11
1.07427,2,2,1,4010,cluster18
1.11197,3,1,1,2190,cluster19
0.935819,3,1,1,460,cluster3
1.07427,2,2,1,4010,cluster18
0.46606,6,3,0,10570,cluster7
0.46606,6,3,0,10570,cluster7
2.34605,0,3,0,9440,cluster19
1.0894,2,2,1,4020,cluster18
0.407868,0,1,0,1080,cluster2
0.407868,0,1,0,1080,cluster2
0.716304,2,1,1,280,cluster8
0,2,2,1,5340,cluster8
1.35903,2,1,1,2580,cluster14
1.35903,2,1,1,2580,cluster14
1.0894,2,2,1,4020,cluster18
0.935819,3,1,1,460,cluster3
2.34605,0,3,0,9440,cluster19
0.656867,4,0,1,14280,cluster3
0.656867,4,0,1,14280,cluster3
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.82363,3,2,1,6430,cluster5
0,0,2,0,4380,cluster11
0.947433,2,2,1,4040,cluster18
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
0.051599,5,1,1,1070,cluster3
1.71562,3,2,1,6510,cluster5
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
0.758767,6,1,0,1180,cluster7
0.758767,6,1,0,1180,cluster7
1.82363,3,2,1,6430,cluster5
0,0,0,1,21470,cluster11
0.947433,2,2,1,4040,cluster18
1.82363,3,2,1,6430,cluster5
0.051599,5,1,1,1070,cluster3
0.758767,6,1,0,1180,cluster7
0.758767,6,1,0,1180,cluster7
0.947433,2,2,1,4040,cluster18
0.982816,0,3,0,10350,cluster8
0.5028,3,0,1,19580,cluster8
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
0,0,0,0,19430,cluster11
1.73348,3,2,1,6560,cluster5
2.00202,3,3,1,7160,cluster19
0.060966,2,3,1,10460,cluster11
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
0,0,0,0,19430,cluster11
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
2.00202,3,3,1,7160,cluster19
1.07034,6,3,0,11090,cluster7
1.07034,6,3,0,11090,cluster7
1.28138,2,1,1,2070,cluster14
1.28138,2,1,1,2070,cluster14
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
2.00202,3,3,1,7160,cluster19
1.07034,6,3,0,11090,cluster7
1.07034,6,3,0,11090,cluster7
1.28138,2,1,1,2070,cluster14
1.28138,2,1,1,2070,cluster14
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
2.00202,3,3,1,7160,cluster19
1.44938,3,3,1,7100,cluster4
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
1.06838,5,3,0,12210,cluster9
1.06838,5,3,0,12210,cluster9
2.36483,0,3,0,9500,cluster19
1.06838,5,3,0,12210,cluster9
1.06838,5,3,0,12210,cluster9
1.3586,4,1,1,2510,cluster5
2.36483,0,3,0,9500,cluster19
1.06838,5,3,0,12210,cluster9
1.06838,5,3,0,12210,cluster9
1.3586,4,1,1,2510,cluster5
2.36483,0,3,0,9500,cluster19
0.915633,5,3,0,12140,cluster9
0.915633,5,3,0,12140,cluster9
2.36483,0,3,0,9500,cluster19
1.3586,4,1,1,2510,cluster5
0.915633,5,3,0,12140,cluster9
0.915633,5,3,0,12140,cluster9
1.3586,4,1,1,2510,cluster5
2.36483,0,3,0,9500,cluster19
0.597999,5,1,1,450,cluster7
0.597999,5,1,1,450,cluster7
0.904099,5,1,1,1080,cluster7
0.904099,5,1,1,1080,cluster7
1.02698,1,0,1,16140,cluster17
0.597999,5,1,1,450,cluster7
0.597999,5,1,1,450,cluster7
0.904099,5,1,1,1080,cluster7
0.904099,5,1,1,1080,cluster7
1.64405,4,2,1,5010,cluster4
2.20515,3,2,1,6140,cluster19
1.02698,1,0,1,16140,cluster17
0.067549,3,2,1,6010,cluster11
3.00602,1,0,1,23590,cluster15
3.00602,1,0,1,23590,cluster15
1.82516,5,3,1,10410,cluster15
1.82516,5,3,1,10410,cluster15
0.904099,5,1,1,1080,cluster7
0.904099,5,1,1,1080,cluster7
1.64405,4,2,1,5010,cluster4
1.00788,5,3,0,12150,cluster9
1.00788,5,3,0,12150,cluster9
1.82516,5,3,1,10410,cluster15
1.82516,5,3,1,10410,cluster15
0.347637,2,1,1,520,cluster2
0.347637,2,1,1,520,cluster2
1.02698,1,0,1,16140,cluster17
1.64405,4,2,1,5010,cluster4
0.389551,0,0,0,23430,cluster8
0.347637,2,1,1,520,cluster2
0.347637,2,1,1,520,cluster2
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
2.20515,3,2,1,6140,cluster19
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
0.854133,2,0,1,15040,cluster8
3.00602,1,0,1,23590,cluster15
3.00602,1,0,1,23590,cluster15
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
1.64405,4,2,1,5010,cluster4
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
0.347637,2,1,1,520,cluster2
0.347637,2,1,1,520,cluster2
1.07427,2,2,1,4010,cluster18
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
1.07427,2,2,1,4010,cluster18
0.540799,1,2,1,5560,cluster2
0.540799,1,2,1,5560,cluster2
1.35903,2,1,1,2580,cluster14
1.35903,2,1,1,2580,cluster14
2.2095,4,2,1,5570,cluster4
0.676383,6,1,0,1180,cluster16
0.935819,3,1,1,460,cluster3
1.07427,2,2,1,4010,cluster18
2.34605,0,3,0,9440,cluster19
2.19028,3,3,1,7270,cluster19
0.540799,1,2,1,5560,cluster2
0.540799,1,2,1,5560,cluster2
0.676383,6,1,0,1180,cluster16
2.2095,4,2,1,5570,cluster4
1.35903,2,1,1,2580,cluster14
1.35903,2,1,1,2580,cluster14
1.32012,5,1,0,2030,cluster3
0.021234,6,0,0,17510,cluster11
1.07427,2,2,1,4010,cluster18
0.676383,6,1,0,1180,cluster16
0.935819,3,1,1,460,cluster3
1.63222,4,2,1,6140,cluster4
0.540799,1,2,1,5560,cluster2
0.540799,1,2,1,5560,cluster2
2.34605,0,3,0,9440,cluster19
2.19028,3,3,1,7270,cluster19
0.676383,6,1,0,1180,cluster16
1.35903,2,1,1,2580,cluster14
1.35903,2,1,1,2580,cluster14
1.32012,5,1,0,2030,cluster3
0.086063,6,0,0,16440,cluster11
0.935819,3,1,1,460,cluster3
2.19028,3,3,1,7270,cluster19
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
0.478582,0,3,0,10440,cluster8
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.82363,3,2,1,6430,cluster5
1.82363,3,2,1,6430,cluster5
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.1806,3,1,1,1480,cluster5
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
0.051599,5,1,1,1070,cluster3
1.1806,3,1,1,1480,cluster5
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.1806,3,1,1,1480,cluster5
0.758767,6,1,0,1180,cluster7
0.758767,6,1,0,1180,cluster7
1.1806,3,1,1,1480,cluster5
1.42123,4,2,1,5340,cluster14
1.42123,4,2,1,5340,cluster14
1.46147,2,1,1,2290,cluster14
1.46147,2,1,1,2290,cluster14
0.497301,5,1,1,500,cluster7
0.497301,5,1,1,500,cluster7
0.947433,2,2,1,4040,cluster18
1.1806,3,1,1,1480,cluster5
0.497301,5,1,1,500,cluster7
0.497301,5,1,1,500,cluster7
0.633667,5,3,0,12010,cluster2
0.633667,5,3,0,12010,cluster2
1.46147,2,1,1,2290,cluster14
1.46147,2,1,1,2290,cluster14
0.947433,2,2,1,4040,cluster18
2.00202,3,3,1,7160,cluster19
2.00202,3,3,1,7160,cluster19
0.916485,5,3,0,12090,cluster9
0.916485,5,3,0,12090,cluster9
1.44938,3,3,1,7100,cluster4
2.00202,3,3,1,7160,cluster19
0.111758,0,0,0,14320,cluster11
1.24912,2,1,1,1570,cluster14
1.24912,2,1,1,1570,cluster14
2.00202,3,3,1,7160,cluster19
0,4,0,1,18390,cluster11
1.44938,3,3,1,7100,cluster4
0.97395,2,2,1,4030,cluster18
0.916485,5,3,0,12090,cluster9
0.916485,5,3,0,12090,cluster9
1.44938,3,3,1,7100,cluster4
2.00202,3,3,1,7160,cluster19
0.627783,5,1,1,270,cluster7
0.627783,5,1,1,270,cluster7
1.44938,3,3,1,7100,cluster4
0.97395,2,2,1,4030,cluster18
0.364437,6,3,0,11150,cluster15
0.364437,6,3,0,11150,cluster15
1.44938,3,3,1,7100,cluster4
2.00202,3,3,1,7160,cluster19
1.44938,3,3,1,7100,cluster4
0.97395,2,2,1,4030,cluster18
1.44938,3,3,1,7100,cluster4
0.780783,3,1,1,450,cluster7
0.780783,3,1,1,450,cluster7
1.0354,5,3,0,12280,cluster9
1.0354,5,3,0,12280,cluster9
1.0354,5,3,0,12280,cluster9
1.0354,5,3,0,12280,cluster9
0.915633,5,3,0,12140,cluster9
0.915633,5,3,0,12140,cluster9
1.3586,4,1,1,2510,cluster5
0.714884,6,3,0,11490,cluster8
2.36483,0,3,0,9500,cluster19
1.3586,4,1,1,2510,cluster5
1.3586,4,1,1,2510,cluster5
0.915633,5,3,0,12140,cluster9
0.915633,5,3,0,12140,cluster9
0.0003,5,2,1,6130,cluster11
1.3586,4,1,1,2510,cluster5
1.32948,4,2,1,4220,cluster14
1.32948,4,2,1,4220,cluster14
0.31975,1,1,1,530,cluster2
0.31975,1,1,1,530,cluster2
1.32948,4,2,1,4220,cluster14
1.32948,4,2,1,4220,cluster14
1.30377,6,1,0,2460,cluster11
1.3586,4,1,1,2510,cluster5
1.32948,4,2,1,4220,cluster14
1.32948,4,2,1,4220,cluster14
1.19717,0,3,0,11040,cluster8
0.31975,1,1,1,530,cluster2
0.31975,1,1,1,530,cluster2
0.413099,1,0,1,23340,cluster15
0.413099,1,0,1,23340,cluster15
0.31975,1,1,1,530,cluster2
0.31975,1,1,1,530,cluster2
0.947433,2,2,1,4040,cluster18
1.02698,1,0,1,16140,cluster17
1.00788,5,3,0,12150,cluster9
1.00788,5,3,0,12150,cluster9
0,4,3,1,9480,cluster11
2.20515,3,2,1,6140,cluster19
0,5,0,1,16040,cluster11
0.088783,1,2,1,4540,cluster11
1.88523,2,3,1,10260,cluster4
0.854133,2,0,1,15040,cluster8
0.337,4,1,1,240,cluster11
0.395083,4,0,1,21060,cluster8
1.02698,1,0,1,16140,cluster17
0,3,1,1,2210,cluster11
0.111257,5,1,1,1030,cluster11
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
0.347637,2,1,1,520,cluster2
0.347637,2,1,1,520,cluster2
0.130466,1,0,1,20540,cluster11
1.88523,2,3,1,10260,cluster4
0,5,0,1,16040,cluster11
0.337,4,1,1,240,cluster11
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
2.2095,4,2,1,5570,cluster4
1.46627,2,1,1,2190,cluster14
1.46627,2,1,1,2190,cluster14
1.07427,2,2,1,4010,cluster18
0.540799,1,2,1,5560,cluster2
0.540799,1,2,1,5560,cluster2
0.829367,6,1,0,1050,cluster7
0.829367,6,1,0,1050,cluster7
0.674217,4,0,1,22100,cluster8
