refinedUse,' dow',' dType',' Time',' Cluster'
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
1.74672,2,1,3250,cluster18
1.74672,2,1,3250,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
2.07227,2,1,3350,cluster18
1.74672,2,1,3250,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
2.07227,2,1,3350,cluster18
1.98493,2,1,3330,cluster18
2.07227,2,1,3350,cluster18
1.98493,2,1,3330,cluster18
2.07227,2,1,3350,cluster18
1.98493,2,1,3330,cluster18
2.07227,2,1,3350,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.97828,2,1,3260,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
2.07227,2,1,3350,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.99612,2,1,3340,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
1.98493,2,1,3330,cluster18
