refinedUse,' dow',' dType',' Time',' Cluster'
0,3,1,310,cluster6
0,3,1,310,cluster6
2.43197,2,1,14460,cluster6
2.0221,3,1,4540,cluster6
0.281483,1,1,23170,cluster6
1.22342,5,0,23540,cluster6
1.13812,3,1,300,cluster6
1.13812,3,1,300,cluster6
0.318863,5,1,370,cluster6
0.318863,5,1,370,cluster6
1.42347,5,1,350,cluster6
1.68222,5,1,340,cluster6
1.41323,0,0,13590,cluster6
1.17997,3,1,80,cluster6
1.17997,3,1,80,cluster6
0.235251,1,1,22470,cluster6
0.459834,4,1,17400,cluster6
1.68222,5,1,340,cluster6
0,1,1,18440,cluster6
0.218686,5,1,320,cluster6
0.26197,1,1,14310,cluster6
1.35572,3,1,70,cluster6
0.325733,6,0,15070,cluster6
1.16112,3,1,60,cluster6
0.341216,3,1,11500,cluster6
0,1,1,18430,cluster6
0,1,1,18430,cluster6
0,1,1,18420,cluster6
0.277617,1,1,14230,cluster6
2.076,3,1,10500,cluster6
2.076,3,1,10500,cluster6
0.113566,4,1,23200,cluster6
0.088233,2,1,23080,cluster6
0.400434,6,0,14010,cluster6
2.076,3,1,10500,cluster6
2.51493,3,1,10490,cluster6
2.08177,3,1,5300,cluster6
1.31172,3,1,0,cluster6
0.827183,5,1,13020,cluster6
0.15655,1,1,2540,cluster6
0.112117,0,0,2520,cluster6
1.19788,2,1,13230,cluster6
1.65528,2,1,13570,cluster6
0.116249,1,1,7310,cluster6
0.020783,0,0,20330,cluster6
1.93118,3,1,4590,cluster6
0.5257,6,0,23560,cluster6
0.245084,5,1,12260,cluster6
0.245084,5,1,12260,cluster6
0.2552,5,1,12250,cluster6
0.380887,6,0,14100,cluster6
0.380887,6,0,14100,cluster6
1.57212,6,0,15100,cluster6
0,5,1,17900,cluster6
0,5,1,17900,cluster6
0.160884,4,1,18020,cluster6
0.491817,3,1,7510,cluster6
0.327673,6,0,15130,cluster6
0.327673,6,0,15130,cluster6
0.2287,6,0,14400,cluster6
0.2287,6,0,14400,cluster6
1.89543,3,1,4580,cluster6
0.71806,0,0,9510,cluster6
0.569584,1,1,18100,cluster6
0.351933,0,0,9500,cluster6
0.964056,2,1,7350,cluster6
1.40799,1,1,13430,cluster6
0.2552,5,1,12250,cluster6
2.54218,2,1,14420,cluster6
0.194316,1,1,21270,cluster6
1.75838,0,0,8550,cluster6
0.35775,6,0,14050,cluster6
2.00354,5,1,12500,cluster6
0.837683,4,1,1240,cluster6
1.59275,6,0,15090,cluster6
1.82687,3,1,4570,cluster6
1.59341,2,1,7320,cluster6
0.559266,1,1,18090,cluster6
0.162704,2,1,20160,cluster6
0.675237,4,1,12120,cluster6
0.46287,5,1,13100,cluster6
1.7746,2,1,12590,cluster6
0.964466,5,1,12290,cluster6
0.964466,5,1,12290,cluster6
0.964466,5,1,12290,cluster6
2.34975,4,1,9230,cluster6
1.56118,1,1,13410,cluster6
0.371783,3,1,18370,cluster6
0.279366,6,0,10150,cluster6
2.07558,2,1,12560,cluster6
1.6836,5,0,10040,cluster6
1.6836,5,0,10040,cluster6
1.76182,0,0,8540,cluster6
1.76182,0,0,8540,cluster6
0.583751,2,1,19200,cluster6
0.534723,4,1,23400,cluster6
0.979118,4,1,23530,cluster6
0.336573,6,0,15120,cluster6
0.754117,3,1,22280,cluster6
1.94572,2,1,12550,cluster6
3.3719,3,1,10480,cluster6
3.3719,3,1,10480,cluster6
1.45005,0,0,14010,cluster6
0.862083,0,0,13560,cluster6
1.45005,0,0,14010,cluster6
0.996183,1,1,23480,cluster6
1.69428,5,0,10030,cluster6
0.971217,6,0,23250,cluster6
0.971217,6,0,23250,cluster6
0.636116,2,1,23440,cluster6
1.76798,0,0,8530,cluster6
0,1,1,19150,cluster6
0,5,1,17300,cluster6
2.29907,2,1,14080,cluster6
2.24937,3,1,10470,cluster6
2.29907,2,1,14080,cluster6
1.77978,5,0,10570,cluster6
2.2294,3,1,5040,cluster6
1.77978,5,0,10570,cluster6
2.2294,3,1,5040,cluster6
3.5191,3,1,10380,cluster6
0.22342,2,1,23300,cluster6
0.329136,6,0,15010,cluster6
1.10802,4,1,1340,cluster6
0.290074,2,1,23290,cluster6
0.329136,6,0,15010,cluster6
