refinedUse,' dow',' dType',' Time',' Cluster'
0.01397,6,0,9460,cluster11
0.115101,6,0,6060,cluster11
0,4,1,19470,cluster11
0,5,1,13040,cluster11
0,5,1,13030,cluster11
0,5,1,13030,cluster11
0.033503,6,0,9450,cluster11
0.100684,6,0,9440,cluster11
0,5,1,8460,cluster11
0.14525,6,0,9430,cluster11
0.163018,5,1,9230,cluster11
0,2,1,3270,cluster11
0.041283,5,1,9090,cluster11
0.056316,2,1,4300,cluster11
0.056316,2,1,4300,cluster11
0,0,0,17340,cluster11
0,0,0,3270,cluster11
0,2,1,9240,cluster11
0,5,0,4360,cluster11
0,5,1,13010,cluster11
0,5,1,13010,cluster11
0.034483,0,0,22150,cluster11
0.211184,0,0,4050,cluster11
0,5,1,8460,cluster11
0.108982,4,1,8570,cluster11
0,4,1,21220,cluster11
0,4,1,21220,cluster11
0.056516,2,1,4290,cluster11
0,0,1,21020,cluster11
0,5,1,8420,cluster11
0.469117,1,1,3300,cluster11
0,2,1,9230,cluster11
0,2,1,9100,cluster11
0.033016,0,0,22140,cluster11
0.033016,0,0,22140,cluster11
0.151474,5,1,4550,cluster11
0.217517,0,0,4040,cluster11
0.490049,1,1,4300,cluster11
0.490049,1,1,4300,cluster11
0.611767,4,1,2450,cluster11
0.037617,4,1,22200,cluster11
0.037617,4,1,22200,cluster11
0.211874,5,1,4530,cluster11
0.209338,5,1,4520,cluster11
0.187967,0,0,3130,cluster11
0.187916,6,0,6050,cluster11
0.777933,1,1,4280,cluster11
0.1908,5,1,9320,cluster11
0.0506,6,0,14530,cluster11
0.607432,4,1,2430,cluster11
0,0,0,22080,cluster11
0,5,1,4020,cluster11
0.123432,0,0,22540,cluster11
0.159718,6,0,14510,cluster11
0.83825,1,1,4270,cluster11
0.180399,0,0,4030,cluster11
0.11055,4,1,14160,cluster11
0.11055,4,1,14160,cluster11
0.071008,5,1,9180,cluster11
0.194201,6,0,3060,cluster11
0.194201,6,0,3060,cluster11
0.194201,6,0,3060,cluster11
0.607432,4,1,2430,cluster11
0,4,1,19540,cluster11
0.445517,5,0,1000,cluster11
0.133834,2,1,9490,cluster11
0.30815,6,0,23320,cluster11
0.090783,4,1,9410,cluster11
0,4,1,19520,cluster11
0,4,1,19520,cluster11
0.139817,5,1,9470,cluster11
0,4,1,21210,cluster11
0,4,1,10010,cluster11
0.112133,2,1,9480,cluster11
0.117783,0,0,22520,cluster11
0.03315,6,0,22120,cluster11
0.02617,4,1,19290,cluster11
0,3,1,3550,cluster11
0.221517,4,1,19090,cluster11
0.221517,4,1,19090,cluster11
0.221517,4,1,19090,cluster11
0.128802,4,1,19080,cluster11
0.128802,4,1,19080,cluster11
0.076517,6,0,3040,cluster11
0.032835,6,0,22110,cluster11
0,3,1,3430,cluster11
0,4,1,23080,cluster11
0,5,1,8540,cluster11
0,5,1,8540,cluster11
0.503499,4,1,3290,cluster11
0.503499,4,1,3290,cluster11
0,3,1,3510,cluster11
0,4,1,19260,cluster11
0,4,1,19260,cluster11
0,0,1,20290,cluster11
0,0,1,20290,cluster11
0.217853,4,1,19060,cluster11
0.217853,4,1,19060,cluster11
0,4,1,23070,cluster11
0,0,1,20280,cluster11
0,5,1,18480,cluster11
0,5,1,18480,cluster11
0,3,1,4330,cluster11
0.212566,0,0,2100,cluster11
0,5,1,8530,cluster11
0.205991,4,1,19050,cluster11
0,5,1,20000,cluster11
0,5,1,18470,cluster11
0.562167,3,1,4260,cluster11
0.378316,6,0,5380,cluster11
0,4,1,9190,cluster11
0,4,1,19240,cluster11
0,5,1,19060,cluster11
0,3,1,3290,cluster11
0,5,1,19060,cluster11
0,4,1,19230,cluster11
0,4,1,19230,cluster11
0.495616,5,1,23590,cluster11
0,5,1,18460,cluster11
0,5,1,18460,cluster11
0.407867,4,1,23350,cluster11
0.112984,4,1,22140,cluster11
