refinedUse,' dow',' dType',' Time',' Cluster'
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
0.123699,1,1,3380,cluster16
