@relation 'week1_v4_clustered-weka.filters.unsupervised.attribute.Remove-R4-6,8-30-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Day numeric
@attribute Time numeric
@attribute 'use [kW]_y' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0,162700,1.002433,cluster7
1,193600,1.34485,cluster4
1,163300,0.580817,cluster11
0,44600,0.427733,cluster15
0,5000,1.707433,cluster18
0,134500,0.557367,cluster8
1,230400,0.6049,cluster3
1,153300,0.51535,cluster11
1,84200,1.65495,cluster2
1,24400,1.290733,cluster19
0,175000,1.6285,cluster7
1,210200,0.755017,cluster3
1,221500,1.019033,cluster0
1,223500,0.904067,cluster4
1,175600,1.0738,cluster2
1,53000,0.530083,cluster11
1,92800,1.29015,cluster19
1,92400,0.655583,cluster11
0,34200,0.940833,cluster15
0,233800,1.2756,cluster7
0,190200,2.039117,cluster10
1,93000,0.714967,cluster11
1,145100,0.943967,cluster0
1,1900,0.60675,cluster11
1,45600,0.3698,cluster11
1,160400,1.676983,cluster5
1,102900,1.777983,cluster2
0,10900,1.2718,cluster18
1,25800,1.107833,cluster13
1,31100,0.942383,cluster19
0,41400,0.43045,cluster15
1,134000,1.1249,cluster0
0,91400,1.458267,cluster18
1,105900,0.910383,cluster11
1,212200,1.167433,cluster4
0,10400,3.035267,cluster1
0,55000,0.96215,cluster15
1,43000,1.05195,cluster6
1,123700,1.454767,cluster12
1,33700,0.417367,cluster11
1,214500,1.337967,cluster4
1,210300,0.707467,cluster3
0,192000,0.788967,cluster8
1,73900,1.98965,cluster2
1,10600,1.11825,cluster13
1,155800,1.02105,cluster2
1,205500,0.7291,cluster9
1,62400,1.075517,cluster19
0,132800,0.551433,cluster8
1,120300,0.9899,cluster19
1,232900,1.233433,cluster2
1,192200,1.112567,cluster0
0,210700,1.076283,cluster14
0,84800,1.07095,cluster18
1,153200,1.594417,cluster2
1,102900,1.891217,cluster16
0,123000,0.69545,cluster8
0,132900,0.334817,cluster8
1,65600,1.173367,cluster11
1,5200,1.856567,cluster13
0,172600,1.8643,cluster17
1,203500,2.487567,cluster4
1,171700,1.300317,cluster2
1,1000,1.2974,cluster13
1,25600,0.957383,cluster13
0,220200,0.932917,cluster14
0,101000,1.96345,cluster17
1,11600,1.515,cluster13
1,42700,1.0564,cluster19
1,33700,0.6299,cluster6
1,23700,0.94335,cluster13
0,233500,1.1704,cluster7
1,54000,0.506717,cluster19
0,134200,0.5441,cluster8
1,165500,1.155933,cluster2
0,15900,1.088317,cluster18
0,230200,0.54065,cluster8
0,73800,1.858567,cluster7
1,83100,1.141967,cluster13
1,115500,1.177367,cluster11
1,165100,0.67085,cluster3
1,135100,0.4611,cluster11
1,32400,0.64625,cluster6
1,133800,0.53365,cluster11
1,13100,1.575983,cluster13
1,42100,0.940933,cluster19
0,230700,1.3523,cluster14
1,111500,0.572467,cluster11
0,145300,2.220583,cluster8
1,23300,1.469183,cluster13
1,62100,1.007017,cluster6
0,235700,2.525833,cluster1
1,165500,0.682183,cluster3
1,12700,1.581367,cluster13
1,130900,1.13815,cluster12
0,220100,0.501217,cluster8
1,221300,1.029033,cluster0
0,203200,0.940267,cluster8
1,63300,1.32025,cluster19
0,184500,1.237783,cluster7
1,62100,0.657167,cluster11
0,15200,0.842133,cluster18
1,52400,0.6321,cluster6
1,112300,0.348717,cluster11
1,43300,0.537633,cluster6
1,105700,1.469717,cluster13
0,182100,1.427533,cluster7
1,170800,0.9242,cluster19
1,90800,1.065017,cluster13
1,50400,0.3216,cluster11
1,181300,1.65125,cluster2
1,35300,0.42695,cluster11
1,150400,0.7774,cluster9
1,171000,1.7699,cluster5
0,194800,0.974083,cluster8
1,182800,1.464617,cluster5
1,210100,0.7208,cluster9
0,121000,1.587783,cluster14
0,194800,0.578617,cluster8
1,162400,1.196183,cluster2
0,223400,0.6084,cluster8
1,190500,1.428233,cluster2
1,52100,0.944017,cluster19
0,110400,1.977617,cluster17
1,185800,1.4649,cluster2
1,105700,0.832967,cluster13
0,125900,0.89675,cluster14
1,233000,1.752283,cluster2
1,82800,1.70455,cluster13
1,44600,0.554633,cluster6
1,12300,1.686433,cluster13
1,162200,1.198467,cluster2
1,114300,0.450883,cluster11
1,202800,0.5787,cluster0
1,190200,1.391333,cluster2
1,125500,0.325633,cluster11
1,74400,1.894783,cluster9
1,41400,0.971767,cluster19
1,40400,0.417583,cluster6
1,210600,0.664367,cluster3
1,135800,0.975717,cluster11
1,21700,1.543483,cluster13
0,130800,0.8399,cluster14
0,4700,1.756033,cluster18
1,125900,0.869517,cluster9
0,190900,1.6092,cluster10
0,222500,0.553233,cluster8
1,213200,0.742517,cluster9
0,230600,1.298383,cluster14
0,43500,1.093833,cluster15
