@relation 5.train

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21}

@data
0,120900,0.957167,cluster1
0,120800,0.957267,cluster1
0,120500,0.957983,cluster1
0,120300,0.958983,cluster1
0,120000,0.972717,cluster1
0,115700,0.966367,cluster1
0,115600,0.9623,cluster1
0,114800,0.86555,cluster1
0,114700,0.861433,cluster1
0,114100,0.9577,cluster1
0,113900,0.94615,cluster1
0,113500,0.942967,cluster1
0,113400,1.096717,cluster1
0,112900,1.26595,cluster1
0,111600,1.583867,cluster1
0,111500,1.610167,cluster1
0,111200,1.211717,cluster1
0,111100,1.057383,cluster1
0,110700,1.058233,cluster1
0,110200,0.962717,cluster1
0,105300,0.95595,cluster1
0,105000,0.950733,cluster1
0,104400,0.950483,cluster1
0,104200,0.950583,cluster1
0,103900,0.95145,cluster1
0,103800,0.966367,cluster1
0,103200,1.197783,cluster1
0,103100,1.199033,cluster1
0,102800,1.3101,cluster1
0,102000,1.319,cluster1
0,101800,1.291117,cluster1
0,100600,0.9552,cluster1
0,100400,1.050967,cluster1
0,100000,1.054,cluster1
0,95500,1.07345,cluster1
0,94700,0.951583,cluster1
0,94400,0.956333,cluster1
0,94000,0.955467,cluster1
0,93800,0.9564,cluster1
0,93400,0.938083,cluster1
0,92900,1.3063,cluster1
0,92800,1.3523,cluster1
0,92700,1.32745,cluster1
0,92300,1.3259,cluster1
0,92200,1.33945,cluster1
0,91000,1.281033,cluster1
0,90900,0.96585,cluster1
0,90700,0.963833,cluster1
0,90400,0.971883,cluster1
0,90200,0.96125,cluster1
0,85700,0.920933,cluster1
0,85500,0.51825,cluster1
0,85100,0.394133,cluster1
0,84700,0.5066,cluster1
0,84200,0.508267,cluster1
0,84000,0.507317,cluster1
0,83600,0.505567,cluster1
0,83400,0.486417,cluster1
0,82900,0.790383,cluster1
0,82800,0.780783,cluster1
0,82700,0.789467,cluster1
0,82600,0.783783,cluster1
0,81900,0.776833,cluster1
0,81300,0.831733,cluster1
0,81100,0.858,cluster1
0,81000,0.90315,cluster1
0,80900,0.99085,cluster1
0,80000,0.2899,cluster1
0,75600,0.39415,cluster1
0,75100,0.3981,cluster1
0,74500,0.394167,cluster1
0,74300,0.39935,cluster1
0,73700,0.394917,cluster1
0,73600,0.437767,cluster1
0,72600,0.898967,cluster1
0,72500,0.92135,cluster1
0,72400,0.924883,cluster1
0,71900,0.9125,cluster1
0,70900,0.9124,cluster1
0,70500,0.398933,cluster1
0,65600,0.400717,cluster1
0,65500,0.40115,cluster1
0,64700,0.4113,cluster1
0,64600,0.337633,cluster1
0,64500,0.293117,cluster1
0,64400,0.292467,cluster1
0,63500,0.399967,cluster1
0,63000,0.378333,cluster1
0,62600,0.795967,cluster1
0,62000,0.789233,cluster1
0,61500,0.929833,cluster1
0,61100,0.939083,cluster1
0,61000,0.949533,cluster1
0,60900,0.955333,cluster1
0,60600,1.0284,cluster1
0,60400,0.512617,cluster1
0,60200,0.53835,cluster1
0,60000,0.400817,cluster1
0,55900,0.401117,cluster1
0,55700,0.401883,cluster1
0,55500,0.402483,cluster1
0,55300,0.402083,cluster1
0,54800,0.401833,cluster1
0,54700,0.402383,cluster1
0,54500,0.40275,cluster1
0,53900,0.404383,cluster1
0,53800,0.40465,cluster1
0,53700,0.404767,cluster1
0,53500,0.4095,cluster1
0,53300,0.291967,cluster1
0,52400,0.78865,cluster1
0,52100,0.786533,cluster1
0,51900,0.794733,cluster1
0,51800,0.766917,cluster1
0,51600,0.792483,cluster1
0,51500,0.785317,cluster1
0,51300,0.7934,cluster1
0,51100,0.804233,cluster1
0,50200,0.50845,cluster1
0,45800,0.516017,cluster1
0,45500,0.51465,cluster1
0,45300,1.083133,cluster1
0,44100,0.967483,cluster1
0,43600,0.96885,cluster1
0,43500,0.968967,cluster1
0,43400,0.96855,cluster1
0,43300,0.967967,cluster1
0,43200,0.968233,cluster1
0,43100,0.969067,cluster1
0,43000,0.964833,cluster1
0,42800,0.946217,cluster1
0,42700,0.946067,cluster1
0,42600,0.946567,cluster1
0,42000,1.32015,cluster1
0,41800,1.314083,cluster1
0,41500,1.3235,cluster1
0,40900,1.318,cluster1
0,40800,1.358567,cluster1
0,40600,1.35675,cluster1
0,40100,0.963583,cluster1
0,35900,0.965733,cluster1
0,35400,0.971,cluster1
0,35100,0.968267,cluster1
0,35000,0.967017,cluster1
0,34600,0.97545,cluster1
0,34400,0.977467,cluster1
0,34000,1.078317,cluster1
0,32800,0.958733,cluster1
0,32700,0.9649,cluster1
0,32500,0.94285,cluster1
0,32200,1.317333,cluster1
