Day,' Time','use [kW]',Cluster
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235900,3.06022,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235800,2.92567,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235700,2.93335,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235600,2.91262,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235500,2.94078,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235400,2.96678,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235300,2.99145,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
1,235200,3.02233,cluster21
