@relation 'c3_cl-weka.filters.unsupervised.attribute.Remove-R1,5-25'

@attribute Day numeric
@attribute ' Time' numeric
@attribute 'use [kW]' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
0,210700,1.398217,cluster14
0,210600,1.374367,cluster14
0,210500,1.38465,cluster14
0,210400,1.289067,cluster14
0,210300,1.394267,cluster3
0,210200,1.430083,cluster14
0,210100,1.446167,cluster14
0,210000,1.682067,cluster14
0,205900,1.762333,cluster14
0,205800,1.757267,cluster14
0,205700,2.519133,cluster5
0,205600,3.127583,cluster5
0,205500,2.88245,cluster5
0,205400,2.665067,cluster5
0,205300,1.844083,cluster14
0,205200,1.19045,cluster2
0,205100,1.384033,cluster2
0,205000,1.307517,cluster14
0,204900,1.357617,cluster2
0,204800,1.899767,cluster2
0,204700,1.345467,cluster2
0,204600,1.278567,cluster2
0,204500,1.401367,cluster2
0,204400,1.39445,cluster2
0,204300,1.411817,cluster2
0,204200,1.400617,cluster2
0,204100,1.397917,cluster2
0,204000,1.409967,cluster2
0,203900,1.285533,cluster2
0,203800,1.2907,cluster2
0,203700,1.295033,cluster2
0,203600,1.394717,cluster2
0,203500,1.466817,cluster2
0,203400,1.468833,cluster2
0,203300,1.464317,cluster2
0,203200,1.449517,cluster2
0,203100,2.344183,cluster2
0,203000,2.643217,cluster2
0,202900,2.639317,cluster2
0,202800,2.646917,cluster2
0,202700,2.6386,cluster2
0,202600,2.6393,cluster2
0,202500,2.7014,cluster2
0,202400,2.630333,cluster5
0,202300,2.628367,cluster5
0,202200,2.61165,cluster5
0,202100,2.599933,cluster5
0,202000,2.591883,cluster5
0,201900,2.497967,cluster5
0,201800,1.122333,cluster14
0,201700,1.401817,cluster14
0,201600,1.8246,cluster3
0,201500,1.981883,cluster3
0,201400,1.9708,cluster3
0,201300,1.995867,cluster3
0,201200,1.982817,cluster3
0,201100,1.8991,cluster3
0,201000,1.7961,cluster6
0,200900,1.217383,cluster14
0,200800,1.3185,cluster14
0,200700,1.782583,cluster14
0,200600,1.809417,cluster14
0,200500,1.72665,cluster14
0,200400,3.962017,cluster5
0,200300,4.63275,cluster5
0,200200,4.642567,cluster5
0,200100,3.268283,cluster14
0,200000,3.297033,cluster14
0,195900,3.271417,cluster9
0,195800,3.301233,cluster9
0,195700,3.422033,cluster9
0,195600,3.685283,cluster14
0,195500,3.68845,cluster14
