refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.246482,3,3,1,9410,cluster13
0,5,0,1,20310,cluster13
0,5,0,1,20300,cluster13
0,5,0,1,20290,cluster13
0,5,0,1,20280,cluster13
0.06794,5,0,1,20270,cluster13
0.01529,5,0,1,20260,cluster13
0,5,0,1,20250,cluster13
0,5,0,1,20240,cluster13
0,5,0,1,20230,cluster13
0,5,0,1,20220,cluster13
0.02405,0,0,0,19490,cluster13
0.02625,0,0,0,19480,cluster13
0.0368,0,0,0,19470,cluster13
0.059267,0,0,0,19460,cluster13
0.126867,0,0,0,19450,cluster13
0.10255,2,2,1,6400,cluster13
0.1162,0,0,0,19440,cluster13
0.10945,2,2,1,6390,cluster13
0.111883,0,0,0,19430,cluster13
0.102533,2,2,1,6380,cluster13
0,0,0,0,19420,cluster13
0.102966,2,2,1,6370,cluster13
0,0,0,0,19410,cluster13
0.116368,2,2,1,6360,cluster13
0,0,0,0,19400,cluster13
0.096666,2,2,1,6350,cluster13
0.1119,2,2,1,6340,cluster13
0.129867,2,2,1,6330,cluster13
0.246567,3,3,1,9400,cluster13
0.246917,3,3,1,9390,cluster13
0.246567,3,3,1,9380,cluster13
0.246367,3,3,1,9370,cluster13
0.2466,3,3,1,9360,cluster13
0.188632,3,3,1,9350,cluster13
0.066767,3,3,1,9340,cluster13
0.054166,3,3,1,9330,cluster13
0.053082,3,3,1,9320,cluster13
0.059566,3,3,1,9310,cluster13
0,5,0,1,20210,cluster13
0,5,0,1,20200,cluster13
0,5,0,1,20190,cluster13
0,5,0,1,20180,cluster13
0.029046,5,0,1,20170,cluster13
0.78599,5,0,1,20160,cluster13
0.312617,5,0,1,20150,cluster13
0.05532,5,0,1,20140,cluster13
0.066086,5,0,1,20130,cluster13
0.065834,5,0,1,20120,cluster13
0,0,0,0,19390,cluster13
0,0,0,0,19380,cluster13
0,0,0,0,19370,cluster13
0,0,0,0,19360,cluster13
0.044383,0,0,0,19350,cluster13
0.159633,2,2,1,6300,cluster13
0.025583,0,0,0,19340,cluster13
0.159183,2,2,1,6290,cluster13
0,0,0,0,19330,cluster13
0.158933,2,2,1,6280,cluster13
0,0,0,0,19320,cluster13
0.160318,2,2,1,6270,cluster13
0,0,0,0,19310,cluster13
0.169001,2,2,1,6260,cluster13
0,0,0,0,19300,cluster13
0.059383,3,3,1,9300,cluster13
0.060051,3,3,1,9290,cluster13
0.0672,3,3,1,9280,cluster13
0.05825,3,3,1,9270,cluster13
0.063117,3,3,1,9260,cluster13
0.048467,3,3,1,9250,cluster13
0.058182,3,3,1,9240,cluster13
0.048917,3,3,1,9230,cluster13
0.054766,3,3,1,9220,cluster13
0.065351,3,3,1,9210,cluster13
0.051403,5,0,1,20110,cluster13
0.057286,5,0,1,20100,cluster13
0.103203,5,0,1,20090,cluster13
0,5,0,1,20080,cluster13
0,5,0,1,20070,cluster13
0,5,0,1,20060,cluster13
0,5,0,1,20050,cluster13
0,5,0,1,20040,cluster13
0,5,0,1,20030,cluster13
0,0,0,0,19290,cluster13
0,0,0,0,19280,cluster13
0,0,0,0,19270,cluster13
0,0,0,0,19260,cluster13
0,0,0,0,19250,cluster13
0,0,0,0,19240,cluster13
0,0,0,0,19230,cluster13
0,0,0,0,19220,cluster13
0.074386,0,0,0,19210,cluster13
0.8235,0,0,0,19200,cluster13
0.059,3,3,1,9200,cluster13
0.0055,3,3,1,9190,cluster13
0,3,3,1,9180,cluster13
0,3,3,1,9170,cluster13
0,3,3,1,9160,cluster13
0,3,3,1,9150,cluster13
0.02682,3,3,1,9140,cluster13
0.124166,3,3,1,9130,cluster13
0.133682,3,3,1,9120,cluster13
0.103883,3,3,1,9110,cluster13
0.25795,0,0,0,19190,cluster13
0.035166,0,0,0,19180,cluster13
0.176832,0,0,0,19170,cluster13
0.225833,0,0,0,19160,cluster13
0.117134,0,0,0,19150,cluster13
0.119217,0,0,0,19140,cluster13
0.121299,0,0,0,19130,cluster13
0.122583,0,0,0,19120,cluster13
0.122266,0,0,0,19110,cluster13
0.123049,0,0,0,19100,cluster13
0,0,0,0,19090,cluster13
0,0,0,0,19080,cluster13
0,0,0,0,19070,cluster13
0,0,0,0,19060,cluster13
0,0,0,0,19050,cluster13
0,0,0,0,19040,cluster13
0,0,0,0,19030,cluster13
0,0,0,0,19020,cluster13
0,0,0,0,19010,cluster13
0,0,0,0,19000,cluster13
0,0,0,0,18590,cluster13
0,0,0,0,18580,cluster13
0,0,0,0,18570,cluster13
0,0,0,0,18560,cluster13
0,0,0,0,18550,cluster13
0,0,0,0,18540,cluster13
0,0,0,0,18530,cluster13
0,0,0,0,18520,cluster13
0,0,0,0,18510,cluster13
0,0,0,0,18500,cluster13
0,0,0,0,18490,cluster13
0,0,0,0,18480,cluster13
0,0,0,0,18470,cluster13
0,0,0,0,18460,cluster13
0,0,0,0,18450,cluster13
0.018582,0,0,0,18440,cluster13
0.060883,0,0,0,18430,cluster13
0.055183,0,0,0,18420,cluster13
0.02535,0,0,0,18410,cluster13
0,0,0,0,18400,cluster13
0.21337,4,0,1,22210,cluster13
0.13354,4,0,1,22200,cluster13
0.130174,4,0,1,22190,cluster13
0.141683,4,0,1,22180,cluster13
0.142067,4,0,1,22170,cluster13
0.12432,4,0,1,22160,cluster13
0.125456,4,0,1,22150,cluster13
0.12665,4,0,1,22140,cluster13
0.132956,4,0,1,22130,cluster13
0.146801,4,0,1,22120,cluster13
0,6,0,0,18070,cluster13
0,6,0,0,18020,cluster13
0,6,0,0,18010,cluster13
0.194919,4,0,1,22110,cluster13
0.21502,4,0,1,22100,cluster13
0.203317,4,0,1,22090,cluster13
0.20285,4,0,1,22080,cluster13
0,4,0,1,22070,cluster13
0,4,0,1,22060,cluster13
0.020917,4,0,1,22050,cluster13
0.047836,4,0,1,22040,cluster13
0.040733,4,0,1,22030,cluster13
0.059717,4,0,1,22020,cluster13
0,6,0,0,18000,cluster13
0,6,0,0,17590,cluster13
0,6,0,0,17580,cluster13
0.04955,6,0,0,17570,cluster13
0.043791,4,0,1,22010,cluster13
0.059286,4,0,1,22000,cluster13
0.038154,4,0,1,21590,cluster13
0.04544,4,0,1,21580,cluster13
0.071699,4,0,1,21570,cluster13
0.027137,4,0,1,21560,cluster13
0,4,0,1,21550,cluster13
0,4,0,1,21540,cluster13
0.012512,4,0,1,21530,cluster13
0.036903,4,0,1,21520,cluster13
0.01385,6,0,0,17470,cluster13
0.019467,6,0,0,17460,cluster13
0.03157,4,0,1,21510,cluster13
0.008587,4,0,1,21500,cluster13
0,4,0,1,21490,cluster13
0,4,0,1,21480,cluster13
0,4,0,1,21470,cluster13
0.508437,4,0,1,21460,cluster13
0.905387,4,0,1,21450,cluster13
0.1051,4,0,1,21440,cluster13
0.105001,4,0,1,21430,cluster13
0.105124,4,0,1,21420,cluster13
0.108907,4,0,1,21410,cluster13
0.097433,4,0,1,21400,cluster13
0.10795,4,0,1,21390,cluster13
0.1037,4,0,1,21380,cluster13
0.104088,4,0,1,21370,cluster13
0.104187,4,0,1,21360,cluster13
0.111057,4,0,1,21350,cluster13
0.103286,4,0,1,21340,cluster13
0.104922,4,0,1,21330,cluster13
0.059466,4,0,1,21320,cluster13
0.020783,5,1,1,2410,cluster13
0.019221,5,1,1,2400,cluster13
0.036637,5,1,1,2390,cluster13
0.051403,5,1,1,2380,cluster13
0.036723,5,1,1,2370,cluster13
0.020286,5,1,1,2360,cluster13
0.02123,5,1,1,2350,cluster13
0.02914,5,1,1,2340,cluster13
0.038393,5,1,1,2330,cluster13
0.050567,5,1,1,2320,cluster13
0,4,0,1,21310,cluster13
0,4,0,1,21300,cluster13
0.012457,4,0,1,21290,cluster13
0.017656,4,0,1,21280,cluster13
0.020399,4,0,1,21270,cluster13
0,4,0,1,21260,cluster13
0.152323,4,0,1,21250,cluster13
0.09397,4,0,1,21240,cluster13
0.03895,4,0,1,21230,cluster13
0.039036,4,0,1,21220,cluster13
0.00321,5,1,1,2310,cluster13
0.017984,5,1,1,2300,cluster13
0.032567,5,1,1,2290,cluster13
0,5,1,1,2280,cluster13
0,5,1,1,2270,cluster13
0,5,1,1,2260,cluster13
0.464507,5,1,1,2250,cluster13
0.86969,5,1,1,2240,cluster13
0.06772,5,1,1,2230,cluster13
0.079613,5,1,1,2220,cluster13
0.032524,4,0,1,21210,cluster13
0.034253,4,0,1,21200,cluster13
0.034219,4,0,1,21190,cluster13
0.056667,4,0,1,21180,cluster13
0.057067,4,0,1,21170,cluster13
0.033724,4,0,1,21160,cluster13
0.033323,4,0,1,21150,cluster13
0.033691,4,0,1,21140,cluster13
0.046517,4,0,1,21130,cluster13
0.045267,4,0,1,21120,cluster13
0.084727,5,1,1,2210,cluster13
0.087076,5,1,1,2200,cluster13
0.066906,5,1,1,2190,cluster13
0.102723,5,1,1,2180,cluster13
0.21782,5,1,1,2170,cluster13
0.130367,5,1,1,2160,cluster13
0.098924,5,1,1,2150,cluster13
0.013503,5,1,1,2140,cluster13
0,5,1,1,2130,cluster13
0.013751,5,1,1,2120,cluster13
0.059004,4,0,1,21110,cluster13
0.101283,4,0,1,21100,cluster13
0.137151,4,0,1,21090,cluster13
0.124183,4,0,1,21080,cluster13
0.11949,4,0,1,21070,cluster13
0,4,0,1,21060,cluster13
0,4,0,1,21050,cluster13
0,4,0,1,21040,cluster13
0,4,0,1,21030,cluster13
0,4,0,1,21020,cluster13
0.242034,1,3,1,7200,cluster13
0.218317,1,3,1,7190,cluster13
0.253117,1,3,1,7180,cluster13
0.2521,1,3,1,7170,cluster13
0.250783,1,3,1,7160,cluster13
0.25525,1,3,1,7150,cluster13
0.237234,1,3,1,7140,cluster13
0.261567,1,3,1,7130,cluster13
0.2294,1,3,1,7120,cluster13
0.243417,1,3,1,7110,cluster13
0,5,1,1,2110,cluster13
0,5,1,1,2100,cluster13
0.05799,5,1,1,2090,cluster13
0.061486,5,1,1,2080,cluster13
0.063317,5,1,1,2070,cluster13
