'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0,5,0,1,20400,1.428917,cluster5
0.437633,5,0,1,23310,0.8175,cluster15
0,5,0,1,20390,1.435367,cluster5
0,5,0,1,20380,1.438633,cluster5
0,5,0,1,20370,1.43075,cluster5
0,5,0,1,20360,1.4418,cluster5
0,5,0,1,20350,1.45885,cluster5
0,5,0,1,20340,1.451117,cluster5
0,5,0,1,20330,1.47065,cluster5
0,5,0,1,20320,1.485067,cluster5
0,5,0,1,20310,1.5109,cluster5
0.130934,1,0,1,22410,0.3105,cluster12
0.133187,1,0,1,22400,0.310733,cluster12
0.157189,1,0,1,22390,0.31465,cluster12
0.164556,1,0,1,22380,0.315233,cluster12
0.151318,1,0,1,22370,0.310767,cluster12
0.15224,1,0,1,22360,0.307867,cluster12
0.146571,1,0,1,22350,0.310117,cluster12
0.18192,1,0,1,22340,0.310333,cluster12
0.224687,1,0,1,22330,0.307183,cluster12
0.215433,1,0,1,22320,0.29785,cluster12
0.136851,5,0,1,19400,0.994767,cluster13
0.154099,5,0,1,19390,0.999183,cluster13
0.153484,5,0,1,19380,1.002333,cluster13
0.150566,5,0,1,19370,1.002933,cluster13
0.135451,5,0,1,19360,0.996367,cluster13
0.135383,5,0,1,19350,0.998,cluster13
0.1476,5,0,1,19340,0.992617,cluster13
0.139584,5,0,1,19330,1.00915,cluster13
0.158784,5,0,1,19320,1.001117,cluster13
0.169533,5,0,1,19310,0.9959,cluster13
0.842634,2,1,1,300,1.1147,cluster15
0.799051,2,1,1,290,1.0714,cluster15
0.689768,2,1,1,280,1.319067,cluster15
0.624667,2,1,1,270,1.4932,cluster15
0.626851,2,1,1,260,1.429533,cluster15
0.640584,2,1,1,250,1.333117,cluster15
0.618801,2,1,1,240,1.764,cluster15
0.668484,2,1,1,230,1.7926,cluster15
0.672883,2,1,1,220,1.803667,cluster15
0.414151,2,1,1,210,1.55325,cluster15
0.073387,1,3,1,9390,1.25907,cluster13
0.150366,1,3,1,9380,1.25905,cluster13
0.15992,1,3,1,9370,1.26182,cluster13
0,3,1,1,3410,1.01043,cluster12
0.138513,1,3,1,9360,1.24168,cluster13
0.044551,3,1,1,3400,1.42715,cluster12
0.109419,1,3,1,9350,1.24242,cluster13
0.040094,3,1,1,3390,1.42802,cluster12
0.151214,1,3,1,9340,1.25808,cluster13
0.062457,3,1,1,3380,1.44305,cluster12
0,1,3,1,9330,1.2446,cluster13
0.054879,3,1,1,3370,1.43653,cluster12
0,1,3,1,9320,1.4192,cluster13
0.043133,3,1,1,3360,1.42275,cluster12
0.000617,1,3,1,9310,1.68,cluster13
0,3,1,1,3350,1.44492,cluster12
0.099551,1,3,1,9300,1.6942,cluster13
0,3,1,1,3340,1.4094,cluster12
0,3,1,1,3330,1.85438,cluster12
0.13394,3,1,1,3320,1.87022,cluster12
0.488367,5,0,1,23300,0.871633,cluster15
0.4879,5,0,1,23290,0.87205,cluster15
0.488266,5,0,1,23280,0.8722,cluster15
0.487251,5,0,1,23270,0.871217,cluster15
