refinedUse,' dow',' phase',' dType',' Time',' Cluster'
1.69218,3,3,1,7400,cluster4
1.71877,3,3,1,7390,cluster4
1.76782,3,3,1,7380,cluster4
1.8315,4,1,1,3200,cluster4
2.2011,4,1,1,3190,cluster4
2.21252,4,1,1,3180,cluster4
2.28912,4,1,1,3170,cluster4
1.84433,2,3,1,10400,cluster4
1.63923,2,3,1,10390,cluster4
2.76247,2,3,1,10380,cluster4
2.94047,2,3,1,10370,cluster4
3.3304,2,3,1,10360,cluster4
2.98007,2,3,1,10350,cluster4
1.59418,2,3,1,10340,cluster4
1.4467,2,3,1,10330,cluster4
1.51892,2,3,1,10320,cluster4
1.55205,2,3,1,10310,cluster4
1.50065,2,3,1,10300,cluster4
1.6227,2,3,1,10290,cluster4
1.98368,2,3,1,10280,cluster4
1.9422,2,3,1,10270,cluster4
1.88523,2,3,1,10260,cluster4
1.5507,2,3,1,10250,cluster4
1.53685,2,3,1,10240,cluster4
1.55083,2,3,1,10230,cluster4
1.58102,2,3,1,10220,cluster4
1.5738,2,3,1,10210,cluster4
1.57972,2,3,1,10200,cluster4
1.7311,2,3,1,10190,cluster4
1.97582,2,3,1,10180,cluster4
1.9787,2,3,1,10170,cluster4
2.00183,2,3,1,10160,cluster4
1.82747,2,3,1,10150,cluster4
1.58597,2,3,1,10140,cluster4
1.58687,2,3,1,10130,cluster4
1.58025,2,3,1,10120,cluster4
1.5995,2,3,1,10110,cluster4
1.60843,2,3,1,10100,cluster4
1.79938,2,3,1,10090,cluster4
2.02067,2,3,1,10080,cluster4
2.01102,2,3,1,10070,cluster4
1.91718,2,3,1,10060,cluster4
1.61518,2,3,1,10050,cluster4
1.62317,2,3,1,10040,cluster4
1.62353,2,3,1,10030,cluster4
1.61032,2,3,1,10020,cluster4
1.73953,2,3,1,10010,cluster4
2.01395,2,3,1,10000,cluster4
1.97048,2,3,1,9590,cluster4
1.73923,2,3,1,9580,cluster4
1.09742,2,3,1,9570,cluster4
1.64645,2,3,1,9540,cluster4
1.79458,2,3,1,9530,cluster4
2.06225,2,3,1,9520,cluster4
2.0197,2,3,1,9510,cluster4
2.02342,2,3,1,9500,cluster4
1.91295,2,3,1,9490,cluster4
1.62688,2,3,1,9480,cluster4
1.61945,2,3,1,9470,cluster4
1.61253,2,3,1,9460,cluster4
1.52688,2,3,1,9450,cluster4
1.54407,2,3,1,9440,cluster4
1.54395,2,3,1,9430,cluster4
1.55512,2,3,1,9420,cluster4
1.76993,2,3,1,9410,cluster4
2.31655,4,2,1,6400,cluster4
2.32008,4,2,1,6390,cluster4
2.3193,4,2,1,6380,cluster4
2.30488,4,2,1,6370,cluster4
2.35322,4,2,1,6340,cluster4
2.37955,4,2,1,6330,cluster4
2.36285,4,2,1,6320,cluster4
2.36038,4,2,1,6310,cluster4
1.99215,2,3,1,9400,cluster4
1.98065,2,3,1,9390,cluster4
1.97677,2,3,1,9380,cluster4
1.83557,2,3,1,9370,cluster4
1.55695,2,3,1,9360,cluster4
1.55727,2,3,1,9350,cluster4
1.54877,2,3,1,9340,cluster4
1.55417,2,3,1,9330,cluster4
1.64357,2,3,1,9320,cluster4
2.00892,2,3,1,9310,cluster4
2.36232,4,2,1,6300,cluster4
2.321,4,2,1,6290,cluster4
2.3014,4,2,1,6280,cluster4
2.31652,4,2,1,6270,cluster4
2.30973,4,2,1,6260,cluster4
2.3219,4,2,1,6250,cluster4
2.31292,4,2,1,6240,cluster4
2.28475,4,2,1,6230,cluster4
2.272,4,2,1,6220,cluster4
2.24448,4,2,1,6210,cluster4
2.08803,2,3,1,9300,cluster4
1.97975,2,3,1,9290,cluster4
1.69294,2,3,1,9280,cluster4
1.69255,2,3,1,9270,cluster4
1.66657,2,3,1,9260,cluster4
1.67293,2,3,1,9250,cluster4
1.62095,2,3,1,9240,cluster4
1.53743,2,3,1,9230,cluster4
1.79218,4,2,1,6200,cluster4
1.67095,4,2,1,6190,cluster4
1.65818,4,2,1,6180,cluster4
1.63788,4,2,1,6170,cluster4
1.66362,4,2,1,6160,cluster4
1.65993,4,2,1,6150,cluster4
1.63222,4,2,1,6140,cluster4
1.61165,4,2,1,6130,cluster4
1.6108,4,2,1,6120,cluster4
1.60533,4,2,1,6110,cluster4
1.56238,2,3,1,9200,cluster4
1.73842,2,3,1,9190,cluster4
1.64915,2,3,1,9180,cluster4
1.65333,2,3,1,9170,cluster4
1.65565,2,3,1,9160,cluster4
1.66105,2,3,1,9150,cluster4
1.85352,2,3,1,9140,cluster4
2.07962,2,3,1,9130,cluster4
2.05718,2,3,1,9120,cluster4
2.04095,2,3,1,9110,cluster4
0.997267,5,2,0,6110,cluster4
1.61232,4,2,1,6100,cluster4
1.61182,4,2,1,6090,cluster4
1.62233,4,2,1,6080,cluster4
1.60727,4,2,1,6060,cluster4
1.61203,4,2,1,6050,cluster4
1.74063,4,2,1,6040,cluster4
2.10647,4,2,1,6030,cluster4
2.11517,4,2,1,6020,cluster4
2.11855,4,2,1,6010,cluster4
1.68228,2,3,1,9100,cluster4
1.65363,2,3,1,9090,cluster4
1.64943,2,3,1,9080,cluster4
1.65565,2,3,1,9070,cluster4
1.64403,2,3,1,9060,cluster4
1.78753,2,3,1,9050,cluster4
2.07763,2,3,1,9040,cluster4
2.0785,2,3,1,9030,cluster4
1.52822,5,2,0,6100,cluster4
1.93058,2,3,1,9020,cluster4
1.45005,5,2,0,6090,cluster4
1.64653,2,3,1,9010,cluster4
1.06652,5,2,0,6050,cluster4
1.30512,5,2,0,6040,cluster4
1.29453,5,2,0,6030,cluster4
2.10518,4,2,1,6000,cluster4
2.21532,4,2,1,5580,cluster4
2.2095,4,2,1,5570,cluster4
2.18463,4,2,1,5560,cluster4
2.1078,4,2,1,5550,cluster4
1.40718,4,2,1,5520,cluster4
2.2212,4,2,1,5510,cluster4
2.21428,4,2,1,5500,cluster4
2.18283,4,2,1,5490,cluster4
2.21875,4,2,1,5480,cluster4
2.25153,4,2,1,5470,cluster4
2.30183,4,2,1,5460,cluster4
2.29637,4,2,1,5450,cluster4
2.24755,4,2,1,5440,cluster4
2.16218,4,2,1,5430,cluster4
2.14453,4,2,1,5420,cluster4
2.10983,4,2,1,5410,cluster4
1.07258,1,3,1,8330,cluster4
2.09713,4,2,1,5400,cluster4
1.66803,1,3,1,8320,cluster4
1.27807,4,2,1,5390,cluster4
1.77535,1,3,1,8310,cluster4
1.60362,4,2,1,5360,cluster4
1.67473,4,2,1,5350,cluster4
1.69403,4,2,1,5340,cluster4
1.6699,4,2,1,5330,cluster4
1.6867,4,2,1,5320,cluster4
1.6532,4,2,1,5310,cluster4
1.54012,1,3,1,8300,cluster4
1.61243,4,2,1,5300,cluster4
1.71442,4,2,1,5260,cluster4
1.70992,4,2,1,5250,cluster4
1.71115,4,2,1,5240,cluster4
1.70487,4,2,1,5230,cluster4
1.70538,4,2,1,5220,cluster4
1.70455,4,2,1,5210,cluster4
1.11305,1,3,1,8200,cluster4
1.39113,1,3,1,8190,cluster4
1.3659,1,3,1,8180,cluster4
1.16822,1,3,1,8140,cluster4
1.32913,1,3,1,8130,cluster4
1.72408,4,2,1,5200,cluster4
1.29732,1,3,1,8120,cluster4
2.09647,4,2,1,5190,cluster4
2.0337,4,2,1,5180,cluster4
2.0187,4,2,1,5170,cluster4
2.03371,4,2,1,5160,cluster4
2.01992,4,2,1,5150,cluster4
2.02382,4,2,1,5140,cluster4
2.0221,4,2,1,5130,cluster4
2.02693,4,2,1,5120,cluster4
2.02575,4,2,1,5110,cluster4
1.43517,1,3,1,8080,cluster4
1.86027,1,3,1,8070,cluster4
1.39793,1,3,1,8060,cluster4
2.01952,4,2,1,5100,cluster4
2.12992,1,3,1,8020,cluster4
2.03247,4,2,1,5090,cluster4
1.67787,1,3,1,8010,cluster4
2.02035,4,2,1,5080,cluster4
2.01035,4,2,1,5070,cluster4
1.93933,4,2,1,5060,cluster4
1.93448,4,2,1,5050,cluster4
1.90803,4,2,1,5040,cluster4
1.88522,4,2,1,5030,cluster4
1.88337,4,2,1,5020,cluster4
1.64405,4,2,1,5010,cluster4
2.14195,3,3,1,7200,cluster4
2.17093,3,3,1,7190,cluster4
2.17967,3,3,1,7180,cluster4
2.21612,3,3,1,7170,cluster4
2.23597,3,3,1,7160,cluster4
2.23563,3,3,1,7150,cluster4
2.19315,3,3,1,7140,cluster4
2.24905,3,3,1,7130,cluster4
2.05717,3,3,1,7120,cluster4
1.4436,3,3,1,7110,cluster4
1.44938,3,3,1,7100,cluster4
1.45327,3,3,1,7090,cluster4
1.45665,3,3,1,7080,cluster4
2.06312,3,3,1,7070,cluster4
1.45865,3,3,1,7060,cluster4
2.04127,3,3,1,7050,cluster4
1.59608,3,3,1,7040,cluster4
2.19252,3,3,1,7030,cluster4
1.5322,3,3,1,7020,cluster4
1.9351,3,3,1,7010,cluster4
1.9173,3,3,1,7000,cluster4
1.71232,3,2,1,6590,cluster4
2.01143,3,2,1,6580,cluster4
1.79083,3,2,1,6570,cluster4
2.03888,3,2,1,6560,cluster4
1.8605,3,2,1,6550,cluster4
2.01228,3,2,1,6540,cluster4
1.87685,3,2,1,6530,cluster4
2.0306,3,2,1,6520,cluster4
2.11272,3,2,1,6510,cluster4
1.88243,3,2,1,6500,cluster4
1.88878,3,2,1,6490,cluster4
2.41467,3,2,1,6480,cluster4
1.46687,3,2,1,6470,cluster4
1.72502,3,2,1,6460,cluster4
1.55422,3,2,1,6450,cluster4
1.77735,3,2,1,6440,cluster4
1.54045,3,2,1,6430,cluster4
1.8442,3,2,1,6420,cluster4
1.58378,3,2,1,6410,cluster4
1.92912,3,2,1,6400,cluster4
2.21312,3,2,1,6390,cluster4
1.86458,3,2,1,6380,cluster4
1.96157,3,2,1,6370,cluster4
2.01363,3,2,1,6360,cluster4
2.038,3,2,1,6350,cluster4
2.01363,3,2,1,6340,cluster4
2.21167,3,2,1,6330,cluster4
2.53572,3,2,1,6320,cluster4
2.23672,3,2,1,6310,cluster4
2.25307,3,2,1,6300,cluster4
2.45337,3,2,1,6290,cluster4
2.33693,3,2,1,6280,cluster4
2.38834,3,2,1,6270,cluster4
2.38833,3,2,1,6260,cluster4
2.41618,3,2,1,6250,cluster4
2.36057,3,2,1,6240,cluster4
2.37017,3,2,1,6230,cluster4
2.37675,3,2,1,6220,cluster4
2.4056,3,2,1,6210,cluster4
2.42312,3,2,1,6200,cluster4
2.36685,3,2,1,6190,cluster4
2.41577,3,2,1,6180,cluster4
1.72082,3,2,1,6170,cluster4
1.61865,3,2,1,6160,cluster4
1.66688,3,2,1,6150,cluster4
2.05452,3,2,1,6140,cluster4
2.19543,3,2,1,6130,cluster4
2.15387,3,2,1,6120,cluster4
2.18383,3,2,1,6110,cluster4
2.17082,3,2,1,6100,cluster4
2.16238,3,2,1,6090,cluster4
2.179,3,2,1,6080,cluster4
2.16578,3,2,1,6070,cluster4
2.2392,3,2,1,6060,cluster4
2.19782,3,2,1,6050,cluster4
2.20727,3,2,1,6040,cluster4
2.22352,3,2,1,6030,cluster4
2.19758,3,2,1,6020,cluster4
2.20945,3,2,1,6010,cluster4
2.27895,3,2,1,6000,cluster4
2.24757,3,2,1,5590,cluster4
2.24307,3,2,1,5580,cluster4
2.22742,3,2,1,5570,cluster4
2.30548,3,2,1,5560,cluster4
2.25073,3,2,1,5550,cluster4
2.12265,3,2,1,5540,cluster4
2.1233,3,2,1,5530,cluster4
2.12247,3,2,1,5520,cluster4
2.32947,3,2,1,5510,cluster4
2.20965,3,2,1,5500,cluster4
2.08628,3,2,1,5490,cluster4
2.09333,3,2,1,5480,cluster4
2.37395,3,2,1,5470,cluster4
1.88945,3,2,1,5460,cluster4
1.87918,3,2,1,5450,cluster4
2.34195,3,2,1,5440,cluster4
2.34925,3,2,1,5430,cluster4
2.40262,3,2,1,5420,cluster4
2.29238,3,2,1,5410,cluster4
1.983,1,3,1,7000,cluster4
1.98108,1,2,1,6590,cluster4
2.01323,1,2,1,6580,cluster4
1.97165,1,2,1,6570,cluster4
1.98643,1,2,1,6560,cluster4
1.99605,1,2,1,6550,cluster4
1.96605,1,2,1,6540,cluster4
1.9811,1,2,1,6530,cluster4
1.90212,1,2,1,6520,cluster4
1.76233,1,2,1,6510,cluster4
1.79783,4,1,1,2000,cluster4
1.62228,4,1,1,1590,cluster4
0.795967,4,1,1,1580,cluster4
0.9719,4,1,1,1550,cluster4
1.3671,4,1,1,1540,cluster4
1.37277,4,1,1,1530,cluster4
1.67948,4,1,1,1520,cluster4
1.69908,4,1,1,1510,cluster4
1.71913,1,2,1,6500,cluster4
1.75387,1,2,1,6490,cluster4
1.7537,1,2,1,6480,cluster4
2.00697,1,2,1,6470,cluster4
2.0123,1,2,1,6460,cluster4
2.01757,1,2,1,6450,cluster4
2.01502,1,2,1,6440,cluster4
2.0054,1,2,1,6430,cluster4
1.62903,1,2,1,6420,cluster4
1.58035,1,2,1,6410,cluster4
1.55627,4,1,1,1500,cluster4
1.30745,4,1,1,1490,cluster4
1.3644,4,1,1,1450,cluster4
1.41617,4,1,1,1440,cluster4
1.74772,4,1,1,1430,cluster4
1.70257,4,1,1,1420,cluster4
1.37767,4,1,1,1410,cluster4
1.59045,1,2,1,6400,cluster4
1.58495,1,2,1,6390,cluster4
1.59847,1,2,1,6380,cluster4
1.58513,1,2,1,6370,cluster4
1.59255,1,2,1,6360,cluster4
1.58114,1,2,1,6350,cluster4
1.58602,1,2,1,6340,cluster4
1.58935,1,2,1,6330,cluster4
1.5702,1,2,1,6320,cluster4
1.59927,1,2,1,6310,cluster4
