'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0,1,3,1,7300,0.618467,cluster13
2.37185,4,3,1,9220,3.112233,cluster17
0,3,1,1,3280,1.1256,cluster5
0.513183,4,0,1,18250,1.594367,cluster13
2.35235,4,3,1,9210,3.117883,cluster17
0,3,1,1,3270,1.130733,cluster5
2.51118,2,3,1,12300,3.455533,cluster17
0.5133,4,0,1,18240,1.59255,cluster13
0,3,1,1,3260,1.13325,cluster5
2.50712,2,3,1,12290,3.448667,cluster17
0.503767,4,0,1,18230,1.591233,cluster13
0,3,1,1,3250,1.13555,cluster5
2.35977,2,3,1,12280,3.3155,cluster17
0.4951,4,0,1,18220,1.58635,cluster13
0.00635,3,1,1,3240,1.133583,cluster5
2.1214,2,3,1,12270,3.09585,cluster17
0.495217,4,0,1,18210,1.572183,cluster13
0.100266,3,1,1,3230,1.2432,cluster5
2.13413,2,3,1,12260,3.078533,cluster17
1.04525,1,0,1,23200,1.80705,cluster13
0.243249,3,1,1,3220,1.387883,cluster5
2.17923,2,3,1,12250,3.166167,cluster17
0.955016,1,0,1,23190,1.902133,cluster13
0.231351,3,1,1,3210,1.388317,cluster5
2.37695,2,3,1,12240,3.527383,cluster17
0.956067,1,0,1,23180,1.924317,cluster13
2.42378,2,3,1,12230,3.909967,cluster17
0.946951,1,0,1,23170,1.912017,cluster13
1.53827,5,3,0,9300,2.02435,cluster19
0.908667,0,3,0,8200,1.7698,cluster15
2.53853,2,3,1,12220,4.086717,cluster17
0.944099,1,0,1,23160,1.906483,cluster13
1.56168,5,3,0,9290,2.020067,cluster19
1.21175,0,3,0,8190,2.03915,cluster15
2.52812,2,3,1,12210,4.094967,cluster17
0.936167,1,0,1,23150,1.916967,cluster13
1.58025,5,3,0,9280,2.016517,cluster19
1.19437,0,3,0,8180,2.050767,cluster15
0.927684,1,0,1,23140,1.9153,cluster13
1.57555,5,3,0,9270,2.012467,cluster19
1.1907,0,3,0,8170,2.0442,cluster15
0.910649,1,0,1,23130,1.925933,cluster13
1.55633,5,3,0,9260,2.024417,cluster19
1.18945,0,3,0,8160,2.07015,cluster15
0.621785,1,0,1,23120,1.685617,cluster13
1.57175,5,3,0,9250,2.017733,cluster19
1.1826,0,3,0,8150,2.153983,cluster15
0.7009,1,0,1,23110,1.169183,cluster13
1.57345,5,3,0,9240,2.016867,cluster19
1.22985,0,3,0,8140,2.095967,cluster15
1.56865,5,3,0,9230,2.01825,cluster19
1.39935,0,3,0,8130,2.181817,cluster15
1.5635,5,3,0,9220,2.022417,cluster19
1.4927,0,3,0,8120,2.267917,cluster15
1.55035,5,3,0,9210,2.026117,cluster19
1.49987,0,3,0,8110,2.277467,cluster15
0,5,1,1,2300,1.06765,cluster5
0,5,1,1,2290,1.0643,cluster5
0,5,1,1,2280,1.06642,cluster5
0,2,3,1,12410,-0.009517,cluster5
0,5,1,1,2270,1.06082,cluster5
0,2,3,1,12400,-0.009517,cluster5
0,5,1,1,2260,1.05608,cluster5
0,2,3,1,12390,-0.009517,cluster5
0,5,1,1,2250,1.05558,cluster5
0,2,3,1,12380,-0.009517,cluster5
0,5,1,1,2240,1.0233,cluster5
0,2,3,1,12370,-0.009517,cluster5
0,5,1,1,2230,1.39563,cluster5
0.0116,5,0,1,23300,0.504217,cluster5
0,2,3,1,12360,-0.009517,cluster5
0,5,1,1,2220,1.48658,cluster5
0.011934,5,0,1,23290,0.503467,cluster5
0,2,3,1,12350,-0.009517,cluster5
0,5,1,1,2210,1.48802,cluster5
0.0115,5,0,1,23280,0.50165,cluster5
0,2,3,1,12340,-0.009517,cluster5
0.008567,5,0,1,23270,0.49725,cluster5
0,2,3,1,12330,-0.009517,cluster5
1.51737,4,3,1,8300,2.49695,cluster3
0.010667,5,0,1,23260,0.497717,cluster5
0,2,3,1,12320,-0.009517,cluster5
1.48578,4,3,1,8290,2.4896,cluster3
0.011701,5,0,1,23250,0.50045,cluster5
1.47235,4,3,1,8280,2.494133,cluster3
0.012801,5,0,1,23240,0.498167,cluster5
0.818067,4,3,1,8270,1.83605,cluster3
0.538117,4,0,1,17300,1.386933,cluster15
0.016482,5,0,1,23230,0.498133,cluster5
0.629533,4,3,1,8260,1.662583,cluster3
0.5507,4,0,1,17290,1.364017,cluster15
0.010817,5,0,1,23220,0.500867,cluster5
0.636467,4,3,1,8250,1.6813,cluster3
0.574949,4,0,1,17280,1.4101,cluster15
0.010883,5,0,1,23210,0.502617,cluster5
1.47068,4,3,1,8240,2.249217,cluster3
0.734083,4,0,1,17270,1.563583,cluster15
0.041767,6,1,0,2300,0.605933,cluster12
1.63152,4,3,1,8230,2.011,cluster3
0.735432,4,0,1,17260,1.57465,cluster15
0.054349,6,1,0,2290,0.60045,cluster12
1.51217,2,2,1,4200,2.502817,cluster3
1.632,4,3,1,8220,1.983083,cluster3
0.729783,4,0,1,17250,1.565183,cluster15
0.038684,6,1,0,2280,0.602967,cluster12
1.52475,2,2,1,4190,2.48345,cluster3
1.33513,4,3,1,8210,1.723233,cluster3
0.714184,4,0,1,17240,1.589767,cluster15
0.057249,6,1,0,2270,0.5975,cluster12
1.49078,2,2,1,4180,2.451367,cluster3
0.934266,4,0,1,17230,1.969017,cluster15
0.032333,6,1,0,2260,0.609917,cluster12
1.46498,2,2,1,4170,2.422083,cluster3
1.19834,6,0,0,14300,2.125017,cluster15
0.947534,4,0,1,17220,1.964367,cluster15
1.98798,1,3,1,13200,3.171483,cluster55
0.058466,6,1,0,2250,0.601433,cluster12
1.40753,2,2,1,4160,2.439017,cluster3
1.2049,6,0,0,14290,2.164117,cluster15
2.00343,4,0,1,17210,3.039717,cluster15
2.12132,1,3,1,13190,3.301883,cluster55
0.058217,6,1,0,2240,0.60255,cluster12
0.737333,2,2,1,4150,1.800633,cluster3
1.19592,6,0,0,14280,2.138317,cluster15
2.12708,1,3,1,13180,3.3003,cluster55
0.009016,6,1,0,2230,0.70835,cluster12
0.549783,2,2,1,4140,1.615783,cluster3
1.20588,6,0,0,14270,2.1393,cluster15
0.310517,1,0,1,22200,0.811933,cluster13
0.099816,6,0,0,23300,0.378333,cluster5
2.12573,1,3,1,13170,3.296117,cluster55
0,6,1,0,2220,1.053,cluster12
0.5546,2,2,1,4130,1.620983,cluster3
1.20993,6,0,0,14260,2.141933,cluster15
0.310433,1,0,1,22190,0.81785,cluster13
0.100367,6,0,0,23290,0.37985,cluster5
2.10968,1,3,1,13160,3.287483,cluster55
0,6,1,0,2210,1.06682,cluster12
0.488701,2,2,1,4120,1.747483,cluster3
1.2069,6,0,0,14250,2.115433,cluster15
0.539618,1,0,1,22180,1.04635,cluster13
0.101183,6,0,0,23280,0.383167,cluster5
2.19655,1,3,1,13150,3.3735,cluster54
0.3861,2,2,1,4110,1.94425,cluster3
1.20615,6,0,0,14240,2.189033,cluster15
0.133334,5,3,1,8300,0.39925,cluster5
0.606001,1,0,1,22170,1.113383,cluster13
0.189982,0,3,0,7200,0.330633,cluster13
0.009384,6,0,0,23270,0.5877,cluster5
2.33057,1,3,1,13140,3.505617,cluster54
1.16557,6,0,0,14230,2.102983,cluster15
0.121967,5,3,1,8290,0.3985,cluster5
0.480467,1,0,1,22160,0.861367,cluster13
0.620783,0,3,0,7190,0.76415,cluster13
0,6,0,0,23260,0.795967,cluster5
2.16927,1,3,1,13130,3.35095,cluster54
