'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0.494834,6,0,0,14180,0.9593,cluster15
0.350837,4,3,1,13080,2.05232,cluster15
0.503583,6,0,0,14170,0.957533,cluster15
0.1208,2,0,1,23190,0.477383,cluster13
0.347683,4,3,1,13070,2.0587,cluster15
0.50015,6,0,0,14160,0.961217,cluster15
0.170034,2,0,1,23180,0.52815,cluster13
0.359533,4,3,1,13060,2.05475,cluster15
0.492183,6,0,0,14150,0.964833,cluster15
0.1695,2,0,1,23170,0.525683,cluster13
0.35362,4,3,1,13050,2.06177,cluster15
0.5173,6,0,0,14140,0.9587,cluster15
0.16545,2,0,1,23160,0.5235,cluster13
0.362836,4,3,1,13040,2.06587,cluster15
0.553834,6,0,0,14130,0.94775,cluster15
0.162583,2,0,1,23150,0.5224,cluster13
0.348118,4,3,1,13030,2.06785,cluster15
0.556115,6,0,0,14120,0.949633,cluster15
0,4,3,1,10100,0.8957,cluster5
0.167051,2,0,1,23140,0.524117,cluster13
0.360887,4,3,1,13020,2.05122,cluster15
0.556583,6,0,0,14110,0.951217,cluster15
0,4,3,1,10090,0.886517,cluster5
0.17265,2,0,1,23130,0.525317,cluster13
0.361853,4,3,1,13010,2.04047,cluster15
0,4,3,1,10080,0.970567,cluster5
0.178849,2,0,1,23120,0.524367,cluster13
0,4,3,1,10070,0.9899,cluster5
0.182217,2,0,1,23110,0.525717,cluster13
0.543368,4,0,1,19100,1.894567,cluster13
0,4,3,1,10060,0.991817,cluster5
0.1748,2,0,1,23100,0.524883,cluster13
0.3982,4,0,1,19090,1.731017,cluster13
0,4,3,1,10050,0.9914,cluster5
0.385717,4,0,1,19080,1.775017,cluster13
0,4,3,1,10040,0.995433,cluster5
0.400968,4,0,1,19070,1.805917,cluster13
0,3,2,1,4100,1.61865,cluster15
0,4,3,1,10030,0.995817,cluster5
0.432634,4,0,1,19060,1.833467,cluster13
0,3,2,1,4090,1.63375,cluster15
0,4,3,1,10020,0.993867,cluster5
0.472967,4,0,1,19050,1.3597,cluster13
0,3,2,1,4080,1.627183,cluster15
0,4,3,1,10010,0.99045,cluster5
0.474817,4,0,1,19040,1.360633,cluster13
0,3,2,1,4070,1.61855,cluster15
0.46287,5,3,1,13100,1.42902,cluster4
0.486433,4,0,1,19030,1.361383,cluster13
0,3,2,1,4060,1.6244,cluster15
0.557981,5,3,1,13090,1.46713,cluster4
1.39485,1,0,1,15000,1.836733,cluster55
0.483766,4,0,1,19020,1.359383,cluster13
0,3,2,1,4050,1.629,cluster15
0.51108,5,3,1,13080,1.37253,cluster4
0.718634,1,0,1,14590,1.114467,cluster15
0.4742,4,0,1,19010,1.360383,cluster13
0,3,2,1,4040,1.651067,cluster15
0.541953,5,3,1,13070,1.39437,cluster4
0.663166,1,0,1,14580,1.056933,cluster15
0,3,2,1,4030,1.645283,cluster15
0.541086,5,3,1,13060,1.39852,cluster4
0.690867,1,0,1,14570,1.08495,cluster15
0.705382,6,1,0,1100,1.700633,cluster9
0,3,2,1,4020,1.6212,cluster15
0.889199,1,1,1,0,1.16585,cluster15
0.575383,5,3,1,13050,1.4363,cluster4
1.47613,1,0,1,14560,1.869683,cluster55
0.879583,6,1,0,1090,1.874217,cluster9
0,3,2,1,4010,1.633267,cluster15
1.27829,1,0,1,23590,1.544917,cluster15
0.582137,5,3,1,13040,1.43447,cluster4
1.48553,1,0,1,14550,1.881417,cluster55
0.705367,6,1,0,1080,1.688867,cluster9
0.947083,1,0,1,23580,1.16525,cluster15
0.5706,5,3,1,13030,1.4356,cluster4
1.43292,1,0,1,14540,1.922433,cluster55
0.584584,6,1,0,1070,1.571267,cluster9
0.4203,0,3,0,9000,1.051317,cluster15
0,5,3,1,10100,1.051367,cluster5
0.843183,1,0,1,23570,0.9895,cluster15
0.569179,5,3,1,13020,1.43488,cluster4
1.32557,1,0,1,14530,2.280717,cluster55
0.623449,6,1,0,1060,1.621883,cluster9
0.413166,0,3,0,8590,1.0425,cluster15
0,5,3,1,10090,1.155017,cluster5
0.62945,1,0,1,23560,0.77675,cluster13
0.58705,5,3,1,13010,1.43865,cluster4
1.293,1,0,1,14520,2.2472,cluster55
0.466982,6,1,0,1050,1.466233,cluster9
0.4323,0,3,0,8580,1.042017,cluster15
0,5,3,1,10080,1.382133,cluster5
0.629517,1,0,1,23550,0.78405,cluster13
1.47485,1,0,1,14510,2.450683,cluster55
0.655832,6,1,0,1040,1.638533,cluster9
0.4338,0,3,0,8570,1.045267,cluster15
0,5,3,1,10070,1.381517,cluster5
0.785934,1,0,1,23540,0.94115,cluster13
0.463568,6,1,0,1030,1.446367,cluster9
0.435132,0,3,0,8560,1.0557,cluster15
0,5,3,1,10060,1.398333,cluster5
0.805883,1,0,1,23530,0.945333,cluster13
0.652299,6,1,0,1020,1.64305,cluster9
0.437901,0,3,0,8550,1.056067,cluster15
0,5,3,1,10050,1.419783,cluster5
0.619051,1,0,1,23520,0.761517,cluster13
0.45575,6,1,0,1010,1.453883,cluster9
0.4415,0,3,0,8540,1.064467,cluster15
0,5,3,1,10040,1.438117,cluster5
0.790849,1,0,1,23510,0.953583,cluster13
0.413433,0,3,0,8530,1.058067,cluster15
0,5,3,1,10030,1.46175,cluster5
0.432351,0,3,0,8520,1.064967,cluster15
0,5,0,1,18510,1.23995,cluster3
0,5,3,1,10020,1.3969,cluster5
0.426716,0,3,0,8510,1.0717,cluster15
0.001623,5,0,1,18500,1.23655,cluster3
0,5,3,1,10010,1.305083,cluster5
0.02569,5,0,1,18490,1.21232,cluster3
2.38245,2,0,1,15000,2.8543,cluster55
0,5,0,1,18480,1.07323,cluster3
2.14985,2,0,1,14590,2.620767,cluster55
0,5,0,1,18470,1.07568,cluster3
1.95797,2,0,1,14580,2.4211,cluster55
0,5,0,1,18460,1.07768,cluster3
1.94102,2,0,1,14570,2.4344,cluster55
0,5,0,1,18450,1.07562,cluster3
1.95395,2,0,1,14560,2.435933,cluster55
0,5,0,1,18440,1.07912,cluster3
1.95722,2,0,1,14550,2.424183,cluster55
0,5,0,1,18430,1.08148,cluster3
1.94612,2,0,1,14540,2.429883,cluster55
0,5,0,1,18420,1.07782,cluster3
1.95827,2,0,1,14530,2.429383,cluster55
1.94278,2,0,1,14520,2.4365,cluster55
1.9359,2,0,1,14510,2.435267,cluster55
0.245549,4,3,1,9100,0.414683,cluster12
