'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0.070566,4,2,1,5260,0.5278,cluster12
0,0,0,0,19130,1.08,cluster4
1.3152,2,0,1,15010,2.1372,cluster15
1.46573,2,1,1,1370,1.936383,cluster3
0.062254,4,2,1,5250,0.527117,cluster12
0,0,0,0,19120,1.08245,cluster4
1.11892,2,0,1,15000,1.95022,cluster15
1.48053,2,1,1,1360,1.937267,cluster3
0.035607,4,2,1,5240,0.5325,cluster12
1.04918,2,0,1,14590,1.9011,cluster15
1.4778,2,1,1,1350,1.936033,cluster3
0.197067,4,2,1,5230,0.53915,cluster12
0.885836,2,0,1,14580,1.71637,cluster13
1.46425,2,1,1,1340,1.938633,cluster3
0.212883,4,2,1,5220,0.496983,cluster12
0.850303,2,0,1,14570,1.66652,cluster13
1.47717,2,1,1,1330,1.940083,cluster3
0.85077,2,0,1,14560,1.69107,cluster13
1.47313,2,1,1,1320,1.940917,cluster3
0.813867,2,0,1,14550,1.66205,cluster13
1.46793,2,1,1,1310,1.940617,cluster3
0.793996,2,0,1,14540,1.74113,cluster13
0.797804,2,0,1,14530,1.77662,cluster15
0.79103,2,0,1,14520,1.77933,cluster15
0.008832,4,0,1,19500,1.17725,cluster15
0,4,0,1,19490,1.18195,cluster15
0,4,0,1,19480,1.184567,cluster15
0,4,0,1,19470,1.179933,cluster15
0.136346,6,2,0,4500,1.46968,cluster4
0.025883,4,0,1,19460,1.192217,cluster15
0.125216,6,2,0,4490,1.4821,cluster4
0.342816,4,0,1,19450,1.497017,cluster15
0.156221,6,2,0,4480,1.51162,cluster4
0.196449,4,0,1,19440,1.373433,cluster15
0.194853,6,2,0,4470,1.60112,cluster4
0.010367,4,0,1,19430,1.175767,cluster15
0.25163,6,2,0,4460,1.60578,cluster4
1.02457,6,0,0,16500,1.362667,cluster13
0.025867,4,0,1,19420,1.1735,cluster15
1.4834,1,0,1,15400,1.949117,cluster15
0.863033,6,2,0,4450,1.4653,cluster4
0.228074,6,0,0,16010,0.595667,cluster4
1.01028,6,0,0,16490,1.359133,cluster13
0.067016,4,0,1,19410,1.160733,cluster15
2.01818,1,0,1,15390,2.461417,cluster17
1.03027,6,2,0,4440,1.5831,cluster4
0.237367,6,0,0,16000,0.593533,cluster4
1.03628,6,0,0,16480,1.3478,cluster13
2.20642,1,0,1,15380,2.685633,cluster17
0.956554,6,2,0,4430,1.80787,cluster4
0.233216,6,0,0,15590,0.59425,cluster4
1.06698,6,0,0,16470,1.34355,cluster13
0.0269,6,1,0,1500,0.394667,cluster5
1.94727,1,0,1,15370,2.197433,cluster17
0.908869,6,2,0,4420,2.02302,cluster4
0.158651,1,1,1,400,1.211417,cluster12
0.232574,6,0,0,15580,0.5952,cluster4
1.0706,6,0,0,16460,1.348083,cluster13
0.036717,6,1,0,1490,0.396217,cluster5
1.89392,1,0,1,15360,2.182667,cluster17
0.922769,6,2,0,4410,2.04207,cluster4
0.245834,1,1,1,390,1.286517,cluster12
0.24602,6,0,0,15570,0.59465,cluster4
1.06385,6,0,0,16450,1.342367,cluster13
0.027933,6,1,0,1480,0.43145,cluster5
1.86615,1,0,1,15350,2.164617,cluster17
0.09685,1,1,1,380,1.186283,cluster12
0.265471,6,0,0,15560,0.617417,cluster4
1.06145,6,0,0,16440,1.346483,cluster13
0.024883,6,1,0,1470,0.5066,cluster5
1.64918,1,0,1,15340,1.939883,cluster17
1.2463,5,3,1,10500,1.594383,cluster15
0.302183,1,1,1,370,1.411933,cluster12
1.90358,0,3,0,9400,2.767183,cluster17
0.233,6,0,0,15550,0.6259,cluster4
1.05472,6,0,0,16430,1.4526,cluster13
0.018833,6,1,0,1460,0.508,cluster5
1.14333,1,0,1,15330,1.441733,cluster15
2.50353,5,3,1,10490,2.920983,cluster15
0.113017,1,1,1,360,1.2254,cluster12
2.0036,0,3,0,9390,2.87775,cluster17
0.160686,6,0,0,15540,0.6316,cluster4
1.05652,6,0,0,16420,1.455083,cluster13
0.01845,6,1,0,1450,0.507583,cluster5
1.17623,1,0,1,15320,1.438017,cluster15
2.4982,5,3,1,10480,2.9262,cluster15
0.27745,1,1,1,350,1.2707,cluster12
1.9592,0,3,0,9380,2.82315,cluster17
0.218217,6,0,0,15530,0.68985,cluster4
1.06745,6,0,0,16410,1.46655,cluster13
0.019251,6,1,0,1440,0.507267,cluster5
1.41968,1,0,1,15310,1.715467,cluster17
2.52335,5,3,1,10470,2.975967,cluster15
1.07563,1,1,1,340,1.580683,cluster12
1.91872,0,3,0,9370,2.797833,cluster17
0.241567,6,0,0,15520,0.705583,cluster4
0.021432,6,1,0,1430,0.507833,cluster5
1.64093,5,3,1,10460,2.072183,cluster15
1.63618,1,1,1,330,2.117517,cluster12
1.93535,0,3,0,9360,2.79945,cluster17
0.019834,6,1,0,1420,0.508267,cluster5
1.01055,5,3,1,10450,1.424183,cluster15
1.84032,1,1,1,320,2.309067,cluster12
2.05715,5,3,1,10310,2.93578,cluster11
2.06813,0,3,0,9350,2.957883,cluster17
0.023632,6,1,0,1410,0.50815,cluster5
1.00328,5,3,1,10440,1.429167,cluster15
1.66088,1,1,1,310,2.143117,cluster12
0.576776,5,3,1,10300,1.42792,cluster11
2.44133,0,3,0,9340,3.317167,cluster17
0.841434,5,3,1,10430,1.266933,cluster15
0.61698,5,3,1,10290,1.47148,cluster11
2.46992,0,3,0,9330,3.357267,cluster17
1.92912,3,2,1,6400,5.737967,cluster13
0.749317,5,3,1,10420,1.165983,cluster15
0.580164,5,3,1,10280,1.43478,cluster11
2.35488,0,3,0,9320,3.231517,cluster17
2.21312,3,2,1,6390,6.643317,cluster13
0.728834,5,3,1,10410,1.165817,cluster15
0.50837,5,3,1,10270,1.4276,cluster11
2.00552,0,3,0,9310,3.448167,cluster17
1.86458,3,2,1,6380,4.749867,cluster13
0.386417,5,3,1,10260,1.42935,cluster11
1.96157,3,2,1,6370,4.85015,cluster13
0.491636,5,3,1,10250,1.53337,cluster11
2.38807,2,0,1,15400,3.021167,cluster15
2.01363,3,2,1,6360,4.916033,cluster13
0.503066,5,3,1,10240,1.5494,cluster11
1.27968,2,0,1,15390,1.825183,cluster15
2.038,3,2,1,6350,4.909,cluster13
0.5106,5,3,1,10230,1.5579,cluster11
1.11472,2,0,1,15380,1.712083,cluster15
2.01363,3,2,1,6340,4.916917,cluster13
0.48467,5,3,1,10220,1.53388,cluster11
1.19795,2,0,1,15370,2.1264,cluster15
2.21167,3,2,1,6330,6.425033,cluster13
1.19782,2,0,1,15360,2.106733,cluster15
2.53572,3,2,1,6320,8.500933,cluster13
1.24085,2,0,1,15350,2.16405,cluster15
2.23672,3,2,1,6310,3.534617,cluster13
1.79967,2,0,1,15340,2.738083,cluster55
2.11778,2,0,1,15330,3.02445,cluster55
0.365287,2,1,1,210,1.3168,cluster13
2.21917,2,0,1,15320,3.147083,cluster55
0.35045,2,1,1,200,1.29005,cluster13
2.35933,2,0,1,15310,3.300033,cluster55
0.33986,2,1,1,190,1.28692,cluster13
0.33499,2,1,1,180,1.29332,cluster13
0.33325,2,1,1,170,1.29403,cluster13
0.337327,2,1,1,160,1.29517,cluster13
0.343253,2,1,1,150,1.28992,cluster13
0.349773,2,1,1,140,1.2798,cluster13
0.482666,2,1,1,130,1.27475,cluster13
0.3769,2,1,1,120,1.17605,cluster13
0.668734,1,0,1,14400,1.03895,cluster15
0.64985,6,0,0,15500,1.4643,cluster15
0.669466,1,0,1,14390,1.042633,cluster15
0.66105,6,0,0,15490,1.5094,cluster15
0.619483,1,0,1,14380,0.990017,cluster15
0.660334,6,0,0,15480,1.51425,cluster15
0.405517,6,1,0,500,1.215017,cluster15
1.37973,1,0,1,14370,1.7435,cluster15
0,4,0,1,23400,0.9899,cluster3
0.668901,6,0,0,15470,1.5035,cluster15
0.405017,6,1,0,490,1.252583,cluster15
2.56837,1,0,1,14360,2.943283,cluster15
0,4,0,1,23390,0.984883,cluster3
0.655367,6,0,0,15460,1.4779,cluster15
0.605101,6,1,0,480,1.438817,cluster15
2.04007,1,0,1,14350,2.40955,cluster15
0,4,0,1,23380,0.939833,cluster3
0.643583,6,0,0,15450,1.491533,cluster15
0.42085,6,1,0,470,1.2482,cluster15
0.5865,1,0,1,14340,0.954117,cluster15
0.009101,4,0,1,23370,0.8946,cluster3
0.653966,6,0,0,15440,1.5045,cluster15
0.607767,6,1,0,460,1.4454,cluster15
0.627167,1,0,1,14330,0.959017,cluster15
0.016733,4,0,1,23360,0.8904,cluster3
0.670667,6,0,0,15430,1.515367,cluster15
1.48157,4,3,1,11400,2.48235,cluster15
0.403217,6,1,0,450,1.255267,cluster15
0.688016,1,0,1,14320,0.977183,cluster15
0.025266,4,0,1,23350,0.944283,cluster3
0.6604,6,0,0,15420,1.52295,cluster15
1.50978,4,3,1,11390,2.505567,cluster13
0.410001,6,1,0,440,1.248533,cluster15
0.689399,1,0,1,14310,0.96165,cluster15
0.034783,4,0,1,23340,0.9973,cluster3
0.730185,6,0,0,15410,1.622067,cluster15
1.44353,4,3,1,11380,2.436567,cluster13
0.733182,6,1,0,430,1.553767,cluster15
0.115251,4,0,1,23330,0.691867,cluster3
1.43283,4,3,1,11370,2.432167,cluster13
0.622401,6,1,0,420,1.47235,cluster15
0.465583,4,0,1,20400,1.6507,cluster13
0.106966,4,0,1,23320,0.40275,cluster3
1.44713,4,3,1,11360,2.4294,cluster13
0.686684,6,1,0,410,1.52615,cluster15
0.467349,4,0,1,20390,1.651217,cluster13
0.103049,4,0,1,23310,0.404117,cluster3
1.50242,4,3,1,11350,2.569317,cluster13
0.464483,4,0,1,20380,1.6497,cluster13
1.49933,4,3,1,11340,2.8548,cluster13
0.464133,4,0,1,20370,1.64725,cluster13
0.044718,3,2,1,5400,1.19005,cluster12
1.49603,4,3,1,11330,2.850367,cluster13
0.464866,4,0,1,20360,1.642133,cluster13
0.030583,3,2,1,5390,1.20365,cluster12
1.49428,4,3,1,11320,2.847733,cluster13
0.465399,4,0,1,20350,1.6394,cluster13
0.043567,3,2,1,5380,1.1849,cluster12
1.49687,4,3,1,11310,2.84995,cluster15
0.465317,4,0,1,20340,1.6372,cluster13
0.046435,3,2,1,5370,1.183517,cluster12
1.28973,2,0,1,14400,2.321167,cluster17
0.512899,4,0,1,20330,1.686617,cluster13
0.029434,3,2,1,5360,1.1915,cluster12
1.2478,2,0,1,14390,2.272667,cluster17
0.855468,4,0,1,20320,2.023567,cluster13
0.031416,3,2,1,5350,1.19555,cluster12
1.17627,2,0,1,14380,2.3212,cluster17
0.848,4,0,1,20310,2.01845,cluster13
0.049649,3,2,1,5340,1.197983,cluster12
1.2525,2,0,1,14370,1.785083,cluster17
0.049784,3,2,1,5330,1.201833,cluster12
0.5758,2,0,1,14360,1.07875,cluster15
0.63015,1,1,1,1300,1.414983,cluster13
0.0535,3,2,1,5320,1.200033,cluster12
0.595284,2,0,1,14350,0.975783,cluster15
0.619066,1,1,1,1290,1.432917,cluster13
0.052266,3,2,1,5310,1.205033,cluster12
0.688235,2,0,1,14340,1.06705,cluster17
0.801933,1,1,1,1280,1.61425,cluster13
1.6068,2,0,1,14330,1.982533,cluster17
0.611467,1,1,1,1270,1.424533,cluster13
0.853166,5,3,0,11400,2.410133,cluster15
1.04785,0,3,0,10300,1.909383,cluster15
1.68303,2,0,1,14320,2.060233,cluster17
1.00562,1,1,1,1260,1.80845,cluster13
0.944351,5,3,0,11390,2.1401,cluster15
1.04515,0,3,0,10290,1.914633,cluster15
1.49165,2,0,1,14310,1.861583,cluster17
0.864717,1,1,1,1250,1.691967,cluster13
0.899483,5,3,0,11380,2.061017,cluster15
1.04227,0,3,0,10280,1.91055,cluster15
0.868167,1,1,1,1240,1.6631,cluster13
0.80535,5,3,0,11370,1.9446,cluster15
1.0419,0,3,0,10270,1.9085,cluster15
1.06145,1,1,1,1230,1.8683,cluster13
0.692099,5,3,0,11360,1.87545,cluster15
1.02805,0,3,0,10260,1.899167,cluster15
0.879733,1,1,1,1220,1.679333,cluster13
0.686051,5,3,0,11350,1.845217,cluster15
0.846433,0,3,0,10250,2.134417,cluster15
1.00893,1,1,1,1210,2.0216,cluster13
0.881383,5,3,0,11340,2.057333,cluster15
0.8296,0,3,0,10240,2.266867,cluster15
1.2628,5,3,0,11330,2.412067,cluster15
0.617384,0,3,0,10230,2.129283,cluster15
0.721667,5,3,0,11320,1.86985,cluster15
0.3767,0,3,0,10220,2.001883,cluster15
0,0,0,0,19110,1.08177,cluster3
1.07555,5,3,0,11310,2.268617,cluster15
0.368267,0,3,0,10210,1.9744,cluster15
0,0,0,0,19100,1.08545,cluster4
0,0,0,0,19090,1.08302,cluster4
0.146291,4,2,1,5210,0.411067,cluster12
0,0,0,0,19080,1.0809,cluster4
0.140102,4,2,1,5200,0.404033,cluster12
0,0,0,0,19070,1.08237,cluster4
0.136269,4,2,1,5190,0.399833,cluster12
0,0,0,0,19060,1.07722,cluster3
1.67957,2,1,1,1300,2.139283,cluster3
0.136368,4,2,1,5180,0.400117,cluster12
0,0,0,0,19050,1.08245,cluster4
1.4693,2,1,1,1290,1.948183,cluster3
0,4,2,1,5170,0.400983,cluster12
0,0,0,0,19040,1.07937,cluster3
1.8193,2,1,1,1280,2.308567,cluster3
0,4,2,1,5160,0.40845,cluster12
0,0,0,0,19030,1.08183,cluster3
0.800879,2,0,1,14510,1.80808,cluster15
1.72625,2,1,1,1270,2.180817,cluster3
0,4,2,1,5150,0.932333,cluster12
0,0,0,0,19020,1.0869,cluster4
0.793221,2,0,1,14500,1.83452,cluster15
1.79092,2,1,1,1260,2.2501,cluster3
0,4,2,1,5140,0.9607,cluster12
0.83235,2,0,1,14490,1.97565,cluster15
1.83713,2,1,1,1250,2.301267,cluster3
0,4,2,1,5130,0.958,cluster12
0.909896,2,0,1,14480,1.37758,cluster15
1.73072,2,1,1,1240,2.175433,cluster3
0,4,2,1,5120,0.967517,cluster12
0.91512,2,0,1,14470,1.38037,cluster15
1.92128,2,1,1,1230,2.3687,cluster3
0.920329,2,0,1,14460,1.38533,cluster15
1.70553,2,1,1,1220,2.21735,cluster3
1.15256,2,0,1,14450,1.61658,cluster15
2.92623,2,1,1,1210,3.426783,cluster3
1.22213,2,0,1,14440,1.6829,cluster15
1.345,2,0,1,14430,1.8143,cluster15
1.3632,4,3,1,10400,3.0299,cluster3
1.4525,2,0,1,14420,1.91615,cluster15
1.35592,4,3,1,10390,3.037183,cluster3
1.33335,4,3,1,10380,3.013683,cluster3
0.067216,4,0,1,19400,1.158233,cluster15
1.29752,4,3,1,10370,2.984267,cluster3
0.068417,4,0,1,19390,1.159617,cluster15
1.09142,4,3,1,10360,2.75435,cluster3
0.016967,4,0,1,19380,1.239467,cluster15
0.501399,4,3,1,10350,2.190883,cluster3
0,4,0,1,19370,1.610617,cluster15
0.9167,6,2,0,4400,2.03385,cluster4
0.495017,4,3,1,10340,2.195617,cluster3
0,4,0,1,19360,1.6038,cluster15
0.907353,6,2,0,4390,2.04427,cluster4
0.768817,4,3,1,10330,2.420667,cluster3
0,4,0,1,19350,1.618383,cluster15
0.781753,6,2,0,4380,1.89942,cluster4
1.35378,4,3,1,10320,3.04735,cluster3
0,4,0,1,19340,1.608217,cluster15
0.683834,6,2,0,4370,1.80195,cluster4
1.33522,4,3,1,10310,3.02225,cluster3
0,4,0,1,19330,1.564867,cluster15
0.663571,6,2,0,4360,1.79377,cluster4
0.970116,6,0,0,16400,1.687517,cluster13
0,4,0,1,19320,1.506417,cluster15
1.90307,1,0,1,15300,2.2126,cluster17
0.66632,6,2,0,4350,1.79742,cluster4
0.24194,6,0,0,15510,0.7067,cluster4
0.9166,6,0,0,16390,1.851683,cluster13
0,4,0,1,19310,1.497833,cluster15
1.8966,1,0,1,15290,2.125133,cluster17
0.674797,6,2,0,4340,1.79983,cluster4
0.247423,6,0,0,15500,0.696017,cluster4
0.8877,6,0,0,16380,1.86625,cluster13
1.90282,1,0,1,15280,2.075217,cluster17
0.667946,6,2,0,4330,1.80373,cluster4
0.22695,6,0,0,15490,0.689467,cluster4
0.880866,6,0,0,16370,1.84425,cluster13
0.024533,6,1,0,1400,0.507317,cluster5
2.07103,1,0,1,15270,2.238583,cluster17
0.723037,6,2,0,4320,1.72997,cluster4
0.988617,1,1,1,300,1.48,cluster12
0.23474,6,0,0,15480,0.6851,cluster4
0.897733,6,0,0,16360,1.84245,cluster13
0.022833,6,1,0,1390,0.5081,cluster5
2.07918,1,0,1,15260,2.24,cluster17
0.750846,6,2,0,4310,1.68733,cluster4
0.158684,1,1,1,290,0.626417,cluster12
0.222001,6,0,0,15470,0.679617,cluster4
0.897766,6,0,0,16350,1.841333,cluster13
0.042549,6,1,0,1380,0.50445,cluster5
1.56332,1,0,1,15250,1.73155,cluster15
0.085935,1,1,1,280,0.554517,cluster5
0.233506,6,0,0,15460,0.690883,cluster4
0.89955,6,0,0,16340,1.853783,cluster13
0.043,6,1,0,1370,0.503017,cluster5
1.56065,1,0,1,15240,1.736,cluster15
0.734633,5,3,1,10400,1.166733,cluster15
0.2953,1,1,1,270,0.757817,cluster5
1.68557,0,3,0,9300,3.568083,cluster17
0.238757,6,0,0,15450,0.6957,cluster4
0.903233,6,0,0,16330,1.844533,cluster13
0.042233,6,1,0,1360,0.505567,cluster5
1.82338,1,0,1,15230,2.003367,cluster17
0.739832,5,3,1,10390,1.166583,cluster15
0.160617,1,1,1,260,0.46925,cluster5
1.66563,0,3,0,9290,3.565467,cluster17
0.216601,6,0,0,15440,0.689067,cluster4
0.894383,6,0,0,16320,1.8535,cluster13
0.020834,6,1,0,1350,0.505483,cluster5
2.32213,1,0,1,15220,2.5034,cluster17
0.74365,5,3,1,10380,1.162,cluster15
0.5484,1,1,1,250,0.862717,cluster5
1.951,0,3,0,9280,4.377433,cluster17
0.227283,6,0,0,15430,0.70935,cluster4
0.8946,6,0,0,16310,1.835083,cluster13
0.088333,6,1,0,1340,0.486417,cluster5
2.31713,1,0,1,15210,2.495367,cluster17
0.736116,5,3,1,10370,1.1701,cluster15
0.484733,1,1,1,240,0.770183,cluster5
2.17248,0,3,0,9270,5.062467,cluster17
0.28544,6,0,0,15420,0.7098,cluster4
0.101199,6,1,0,1330,0.512433,cluster5
0.752733,5,3,1,10360,1.16335,cluster15
0.423883,1,1,1,230,0.7253,cluster5
2.18753,0,3,0,9260,5.673067,cluster17
0.175851,6,1,0,1320,0.3763,cluster5
0.889717,5,3,1,10350,1.418117,cluster15
0.628684,1,1,1,220,0.93145,cluster3
0.53015,5,3,1,10210,1.5347,cluster11
1.95535,0,3,0,9250,5.646,cluster17
0.176567,6,1,0,1310,0.377117,cluster5
0.780934,5,3,1,10340,1.327333,cluster15
0.460616,1,1,1,210,0.661183,cluster3
0.467297,5,3,1,10200,1.52943,cluster11
1.79532,0,3,0,9240,4.099633,cluster17
0.794667,5,3,1,10330,1.314067,cluster15
0.496956,5,3,1,10190,1.53632,cluster11
1.79798,0,3,0,9230,4.098917,cluster17
2.25307,3,2,1,6300,3.16975,cluster13
0.788383,5,3,1,10320,1.324533,cluster15
0.42158,5,3,1,10180,1.45273,cluster11
2.10653,0,3,0,9220,6.165783,cluster17
2.45337,3,2,1,6290,3.375067,cluster13
0.793315,5,3,1,10310,1.333533,cluster15
0.306674,5,3,1,10170,1.33835,cluster11
1.83663,0,3,0,9210,4.140667,cluster17
2.33693,3,2,1,6280,3.291617,cluster13
0.29865,5,3,1,10160,1.33855,cluster11
2.38834,3,2,1,6270,3.134167,cluster13
0.305153,5,3,1,10150,1.34763,cluster11
2.29205,2,0,1,15300,3.206367,cluster17
2.38833,3,2,1,6260,2.763833,cluster13
0.300844,5,3,1,10140,1.34742,cluster11
2.25213,2,0,1,15290,3.1804,cluster17
2.41618,3,2,1,6250,2.79195,cluster13
0.323027,5,3,1,10130,1.35612,cluster11
2.2192,2,0,1,15280,3.1379,cluster17
2.36057,3,2,1,6240,2.732433,cluster13
0.34697,5,3,1,10120,1.38768,cluster11
1.6515,2,0,1,15270,2.571917,cluster17
2.37017,3,2,1,6230,2.752317,cluster13
1.26648,2,0,1,15260,2.208633,cluster15
2.37675,3,2,1,6220,2.757167,cluster13
1.11883,2,0,1,15250,2.05065,cluster15
2.4056,3,2,1,6210,2.7863,cluster13
1.76898,2,0,1,15240,2.706733,cluster17
1.91398,2,0,1,15230,2.847117,cluster17
0.491553,2,1,1,110,1.14133,cluster13
1.90223,2,0,1,15220,2.841833,cluster17
0.916069,2,1,1,100,1.13023,cluster13
1.90482,2,0,1,15210,2.825983,cluster17
0.60215,2,1,1,90,0.81125,cluster13
0.57192,2,1,1,80,0.71525,cluster13
0.628954,2,1,1,70,0.7091,cluster13
0.564307,2,1,1,60,0.64455,cluster13
0.671633,0,3,0,9390,1.78825,cluster13
0.490853,2,1,1,50,0.628283,cluster13
0.102947,0,3,0,9380,1.22998,cluster13
0,2,1,1,40,0.39695,cluster13
0.073604,0,3,0,9370,1.23082,cluster13
0,2,1,1,30,0.6653,cluster13
0.09942,0,3,0,9360,1.22992,cluster13
0.124517,2,1,1,20,0.91025,cluster13
0.098783,0,3,0,9350,1.22525,cluster13
0.093403,0,3,0,9340,1.22697,cluster13
0.109586,0,3,0,9330,1.23807,cluster13
0.079503,0,3,0,9320,1.23672,cluster13
0.105534,0,3,0,9310,1.2278,cluster13
0.09415,0,3,0,9300,1.23265,cluster13
0.716433,1,0,1,14300,0.98895,cluster15
1.01917,6,0,0,15400,1.950283,cluster15
0.9352,1,0,1,14290,1.283167,cluster15
1.0855,6,0,0,15390,1.72255,cluster15
1.04445,1,0,1,14280,1.43255,cluster15
0.868133,6,0,0,15380,1.146567,cluster15
0.7492,6,1,0,400,1.593,cluster15
1.05748,1,0,1,14270,1.44765,cluster15
0.112083,4,0,1,23300,0.40235,cluster3
0.78715,6,0,0,15370,1.0623,cluster15
0.615351,6,1,0,390,1.4434,cluster15
1.05022,1,0,1,14260,1.44285,cluster15
0.106934,4,0,1,23290,0.4039,cluster3
0.788784,6,0,0,15360,1.063017,cluster15
0.807233,6,1,0,380,1.666083,cluster15
0.947683,1,0,1,14250,1.657783,cluster15
0.105983,4,0,1,23280,0.403117,cluster3
0.783467,6,0,0,15350,1.060867,cluster15
0.615416,6,1,0,370,1.463983,cluster15
0.870049,1,0,1,14240,1.867533,cluster15
0.103451,4,0,1,23270,0.404467,cluster3
0.768935,6,0,0,15340,1.062567,cluster15
0.609316,6,1,0,360,1.466317,cluster15
0.85925,1,0,1,14230,1.857117,cluster15
0.104917,4,0,1,23260,0.404117,cluster3
0.75925,6,0,0,15330,1.0483,cluster15
1.49788,4,3,1,11300,2.859433,cluster13
0.788033,6,1,0,350,1.603283,cluster15
0.836001,1,0,1,14220,1.836133,cluster15
0.104117,4,0,1,23250,0.404817,cluster3
0.769434,6,0,0,15320,1.04805,cluster15
1.50115,4,3,1,11290,2.866767,cluster13
0.537684,6,1,0,340,1.471033,cluster15
1.11542,1,0,1,14210,2.0944,cluster15
0.104782,4,0,1,23240,0.4059,cluster3
0.774017,6,0,0,15310,1.0596,cluster15
1.50003,4,3,1,11280,2.865467,cluster15
0.737817,6,1,0,330,1.65705,cluster15
0.104851,4,0,1,23230,0.408567,cluster3
1.34922,4,3,1,11270,3.159217,cluster13
0.550283,6,1,0,320,1.46145,cluster15
0.836033,4,0,1,20300,2.01685,cluster13
0.099567,4,0,1,23220,0.420533,cluster3
1.33487,4,3,1,11260,3.186367,cluster13
0.549783,6,1,0,310,1.516483,cluster15
0.743482,4,0,1,20290,1.918333,cluster13
0.113199,4,0,1,23210,0.295067,cluster3
1.3249,4,3,1,11250,3.167533,cluster13
0.4763,4,0,1,20280,1.648983,cluster13
1.3335,4,3,1,11240,3.179267,cluster13
0.486333,4,0,1,20270,1.647483,cluster13
0.045101,3,2,1,5300,1.211567,cluster12
1.32785,4,3,1,11230,3.19555,cluster13
0.463434,4,0,1,20260,1.646567,cluster13
0.052049,3,2,1,5290,1.210083,cluster12
1.32797,4,3,1,11220,3.206783,cluster13
0.4716,4,0,1,20250,1.638167,cluster13
0.042134,3,2,1,5280,1.210783,cluster12
1.33165,4,3,1,11210,3.179483,cluster13
0.480534,4,0,1,20240,1.634883,cluster13
0.028067,3,2,1,5270,1.21315,cluster12
0.712633,2,0,1,14300,1.0866,cluster15
0.486367,4,0,1,20230,1.633867,cluster13
0.051934,3,2,1,5260,1.207783,cluster12
0.478166,2,0,1,14290,0.852667,cluster15
0.532017,4,0,1,20220,1.624117,cluster13
0.033817,3,2,1,5250,1.208567,cluster12
0.758967,2,0,1,14280,1.127833,cluster17
0.543866,4,0,1,20210,1.62385,cluster13
0.038533,3,2,1,5240,1.215417,cluster12
1.33963,2,0,1,14270,1.715717,cluster17
0.030851,3,2,1,5230,1.2104,cluster12
1.25405,2,0,1,14260,1.6279,cluster17
1.04452,1,1,1,1200,2.296083,cluster13
0.037833,3,2,1,5220,1.219133,cluster12
