refinedUse,' dow',' phase',' dType',' Time',' Cluster'
1.60977,3,0,1,16210,cluster10
1.63418,3,0,1,16200,cluster10
1.18405,3,0,1,16190,cluster10
0.081774,3,0,1,16180,cluster10
0.062333,3,0,1,16170,cluster10
0.088243,3,0,1,16160,cluster10
0.077054,3,0,1,16150,cluster10
0.09257,3,0,1,16140,cluster10
0.0696,3,0,1,16130,cluster10
0.052254,3,0,1,16120,cluster10
0.350204,3,0,1,16070,cluster10
0.227972,3,0,1,16060,cluster10
0.244403,3,0,1,16050,cluster10
0.247607,3,0,1,16040,cluster10
0.272919,3,0,1,16030,cluster10
0.321183,3,0,1,16020,cluster10
0.369518,1,1,1,2200,cluster10
0.373534,1,1,1,2190,cluster10
0.36575,1,1,1,2180,cluster10
0.291067,1,1,1,2170,cluster10
0.157367,1,1,1,2160,cluster10
0.238433,1,1,1,2150,cluster10
0.257567,1,1,1,2140,cluster10
0.232533,1,1,1,2130,cluster10
0.252851,1,1,1,2120,cluster10
0.271234,1,1,1,2110,cluster10
0.242183,3,0,1,16010,cluster10
0.200516,3,0,1,16000,cluster10
0,3,0,1,15590,cluster10
0,3,0,1,15580,cluster10
0.06923,3,0,1,15570,cluster10
0.127486,3,0,1,15560,cluster10
0.070687,3,0,1,15550,cluster10
0.10274,3,0,1,15540,cluster10
0.028787,3,0,1,15530,cluster10
0.140666,3,0,1,15520,cluster10
0.236965,1,1,1,2100,cluster10
0.250349,1,1,1,2090,cluster10
0.162433,1,1,1,2080,cluster10
0.20075,1,1,1,2070,cluster10
0.167901,1,1,1,2060,cluster10
0.1628,1,1,1,2050,cluster10
0.172783,1,1,1,2040,cluster10
0.25165,1,1,1,2030,cluster10
0.196917,1,1,1,2020,cluster10
0.044384,1,1,1,2010,cluster10
0.149127,3,0,1,15510,cluster10
0.132117,3,0,1,15500,cluster10
0.278997,3,0,1,15490,cluster10
0.180233,3,0,1,15480,cluster10
0.195287,3,0,1,15470,cluster10
0.204669,3,0,1,15460,cluster10
0.177796,3,0,1,15450,cluster10
0.160267,3,0,1,15440,cluster10
0.144823,3,0,1,15430,cluster10
0.16587,3,0,1,15420,cluster10
0.058465,1,1,1,2000,cluster10
0.052917,1,1,1,1590,cluster10
0.070432,1,1,1,1580,cluster10
0.137416,1,1,1,1570,cluster10
0.216866,1,1,1,1560,cluster10
0.199267,1,1,1,1550,cluster10
0.212916,1,1,1,1540,cluster10
0.230784,1,1,1,1530,cluster10
0.267933,1,1,1,1520,cluster10
0.258766,1,1,1,1510,cluster10
0.254417,1,1,1,1500,cluster10
0.25325,1,1,1,1490,cluster10
0.253649,1,1,1,1480,cluster10
0.25395,1,1,1,1470,cluster10
0.132316,1,1,1,1460,cluster10
0.076683,1,1,1,1450,cluster10
0.080066,1,1,1,1440,cluster10
0.0852,1,1,1,1430,cluster10
0.079867,1,1,1,1420,cluster10
0.084749,1,1,1,1410,cluster10
0.072799,1,1,1,1400,cluster10
0.077683,1,1,1,1390,cluster10
0.0926,1,1,1,1380,cluster10
0.089333,1,1,1,1370,cluster10
0.090966,1,1,1,1360,cluster10
0.0743,1,1,1,1350,cluster10
0,6,0,0,19200,cluster10
0,6,0,0,19190,cluster10
0,6,0,0,19180,cluster10
0,6,0,0,19170,cluster10
0,6,0,0,19160,cluster10
0,6,0,0,19150,cluster10
0,6,0,0,19140,cluster10
0,6,0,0,19130,cluster10
0,6,0,0,19120,cluster10
0,6,0,0,19110,cluster10
0,6,0,0,19100,cluster10
0,6,0,0,19090,cluster10
0,6,0,0,19080,cluster10
0,6,0,0,19070,cluster10
0,6,0,0,19060,cluster10
0,6,0,0,19050,cluster10
0,6,0,0,19040,cluster10
0,6,0,0,19030,cluster10
0,6,0,0,19020,cluster10
0,6,0,0,19010,cluster10
0.67775,3,0,1,14000,cluster10
0.668401,3,3,1,13590,cluster10
0.77182,3,3,1,13580,cluster10
0.778087,3,3,1,13570,cluster10
0.63592,3,3,1,13560,cluster10
0.533436,3,3,1,13550,cluster10
0.540597,3,3,1,13540,cluster10
0.547836,3,3,1,13530,cluster10
0.536913,3,3,1,13520,cluster10
0.552853,3,3,1,13510,cluster10
0,6,0,0,19000,cluster10
0,6,0,0,18590,cluster10
0,6,0,0,18580,cluster10
0,6,0,0,18570,cluster10
0.028167,6,0,0,18560,cluster10
