'refinedUse ',' dow ',' phase ',Day,' Time','use [kW]',Cluster
0.236484,1,0,1,21370,1.128567,cluster13
1.95808,1,3,1,12330,3.598767,cluster17
0.4355,6,0,0,22460,0.706783,cluster13
0.258283,1,0,1,21360,1.076283,cluster13
2.02313,1,3,1,12320,3.618933,cluster17
0.433017,6,0,0,22450,0.709317,cluster13
0.252549,1,0,1,21350,1.0729,cluster13
1.99895,1,3,1,12310,3.655483,cluster17
0.418734,6,0,0,22440,0.706817,cluster13
0.252199,1,0,1,21340,1.06415,cluster13
0.431534,6,0,0,22430,0.709217,cluster13
0.467165,1,0,1,21330,1.305633,cluster13
0.438117,6,0,0,22420,0.70645,cluster13
0.577849,1,0,1,21320,1.3939,cluster13
0.430233,6,0,0,22410,0.708017,cluster13
0.4778,1,0,1,21310,1.29335,cluster13
0.83028,5,0,1,15500,1.22463,cluster15
0.77147,5,0,1,15490,1.34302,cluster15
0.601904,5,0,1,15480,1.61982,cluster15
0.54933,5,0,1,15470,1.58568,cluster15
0.577454,5,0,1,15460,1.59422,cluster15
0.589334,5,0,1,15450,1.6336,cluster15
0.220821,5,0,1,15440,1.22992,cluster4
0.183367,5,0,1,15430,1.20305,cluster4
0.18438,5,0,1,15420,1.21763,cluster4
0.188421,5,0,1,15410,1.20167,cluster4
0.030517,5,0,1,21500,1.068833,cluster13
0.03365,5,0,1,21490,1.074967,cluster13
0.140249,5,0,1,21480,1.1748,cluster13
0.326967,5,0,1,21470,1.372117,cluster13
0,4,2,1,6500,0.824583,cluster5
0.2603,5,0,1,21460,1.313383,cluster13
0,4,2,1,6490,0.8616,cluster5
0.031834,5,0,1,21450,1.082317,cluster13
0,4,2,1,6480,0.8305,cluster5
0.613567,6,0,0,15500,0.9774,cluster15
0.043251,5,0,1,21440,1.124317,cluster13
0,4,2,1,6470,0.83335,cluster5
0.606549,6,0,0,15490,0.971833,cluster15
0.051951,5,0,1,21430,1.179333,cluster13
0,4,2,1,6460,0.8493,cluster5
1.27638,6,0,0,15480,1.62565,cluster15
0.12455,5,0,1,21420,1.007767,cluster13
0,4,2,1,6450,0.8375,cluster5
1.85475,6,0,0,15470,2.19568,cluster15
0.146316,5,0,1,21410,0.576717,cluster13
0,4,2,1,6440,0.928783,cluster5
0.433233,6,0,0,15460,0.792933,cluster15
0,4,2,1,6430,0.943267,cluster5
0,2,1,1,2400,1.119317,cluster5
0.6485,6,0,0,15450,1.0044,cluster15
0,4,2,1,6420,0.942717,cluster5
0.002717,2,1,1,2390,1.118967,cluster5
