refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.489034,3,0,1,16110,cluster3
0.86214,3,0,1,16100,cluster3
0.327,3,0,1,16090,cluster3
0.499616,3,0,1,16080,cluster3
0.662516,4,0,1,14390,cluster3
0.6549,4,0,1,14380,cluster3
0.628966,4,0,1,14370,cluster3
0.649517,4,0,1,14360,cluster3
1.13788,5,1,0,2400,cluster3
0.639349,4,0,1,14350,cluster3
1.1418,5,1,0,2390,cluster3
0.644817,4,0,1,14340,cluster3
1.12402,5,1,0,2380,cluster3
0.665366,4,0,1,14330,cluster3
1.12367,5,1,0,2370,cluster3
0.66475,4,0,1,14320,cluster3
0.48245,5,1,0,2360,cluster3
0.660216,4,0,1,14310,cluster3
0.423566,5,1,0,2350,cluster3
0.420833,5,1,0,2340,cluster3
1.11363,5,1,0,2330,cluster3
1.16848,5,1,0,2320,cluster3
1.16333,5,1,0,2310,cluster3
0.6607,4,0,1,14300,cluster3
0.644301,4,0,1,14290,cluster3
0.656867,4,0,1,14280,cluster3
0.659216,4,0,1,14270,cluster3
0.657716,4,0,1,14260,cluster3
1.15895,5,1,0,2300,cluster3
0.668117,4,0,1,14250,cluster3
1.18033,5,1,0,2290,cluster3
0.642433,4,0,1,14240,cluster3
1.03173,5,1,0,2280,cluster3
0.638883,4,0,1,14230,cluster3
1.0379,5,1,0,2270,cluster3
0.6575,4,0,1,14220,cluster3
1.0829,5,1,0,2260,cluster3
0.634567,4,0,1,14210,cluster3
1.06542,5,1,0,2250,cluster3
1.08203,5,1,0,2240,cluster3
1.06678,5,1,0,2230,cluster3
1.05202,5,1,0,2220,cluster3
1.04445,5,1,0,2210,cluster3
0.208356,5,0,1,20020,cluster3
0.692066,4,0,1,14200,cluster3
0.677983,4,0,1,14190,cluster3
0.629483,4,0,1,14180,cluster3
0.671869,4,0,1,14170,cluster3
1.03078,5,1,0,2200,cluster3
1.04802,5,1,0,2190,cluster3
0.342501,5,1,0,2180,cluster3
0.314901,5,1,0,2170,cluster3
0.330417,5,1,0,2160,cluster3
1.07642,5,1,0,2150,cluster3
1.10473,5,1,0,2140,cluster3
1.86553,5,1,0,2130,cluster3
1.08892,5,1,0,2120,cluster3
1.08553,5,1,0,2110,cluster3
1.30923,5,1,0,2100,cluster3
1.30747,5,1,0,2090,cluster3
1.3107,5,1,0,2080,cluster3
1.2902,5,1,0,2070,cluster3
1.32063,5,1,0,2060,cluster3
1.33138,5,1,0,2050,cluster3
1.34613,5,1,0,2040,cluster3
1.32012,5,1,0,2030,cluster3
1.31033,5,1,0,2020,cluster3
1.30905,5,1,0,2010,cluster3
1.26865,5,1,0,2000,cluster3
0.514286,4,3,1,13480,cluster3
0.090459,5,1,1,1080,cluster3
0.051599,5,1,1,1070,cluster3
1.0122,3,1,1,1330,cluster3
1.05055,3,1,1,1320,cluster3
1.18362,3,1,1,1310,cluster3
1.25823,3,1,1,530,cluster3
1.33062,3,1,1,410,cluster3
0.374436,3,1,1,1190,cluster3
0.763481,3,1,1,1180,cluster3
0.748137,3,1,1,1170,cluster3
0.183607,3,1,1,1160,cluster3
0.20329,3,1,1,1150,cluster3
0.09382,3,1,1,550,cluster3
0,6,0,0,16300,cluster3
0,6,0,0,16290,cluster3
0,3,1,1,510,cluster3
0,3,1,1,500,cluster3
0,3,1,1,490,cluster3
0.876984,3,1,1,480,cluster3
1.70962,3,1,1,470,cluster3
0.935819,3,1,1,460,cluster3
0.9563,3,1,1,450,cluster3
0.700417,3,1,1,440,cluster3
0,3,1,1,430,cluster3
0,3,1,1,420,cluster3
0.95858,6,0,0,16160,cluster3
0.683803,6,0,0,16150,cluster3
0.38149,6,0,0,16140,cluster3
0.791849,4,3,1,9550,cluster3
0.56033,5,0,1,15520,cluster3
