refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.474483,6,1,0,2400,cluster2
0.7091,6,1,0,2390,cluster2
0.71095,6,1,0,2380,cluster2
0.754283,6,1,0,2370,cluster2
0.686967,6,1,0,2360,cluster2
0.687434,6,1,0,2350,cluster2
0.6879,6,1,0,2340,cluster2
0.701102,6,1,0,2330,cluster2
0.715716,6,1,0,2320,cluster2
0.69245,6,1,0,2310,cluster2
0.704999,1,1,1,1200,cluster2
0.836583,6,1,0,2300,cluster2
0.696601,1,1,1,1190,cluster2
0.952201,6,1,0,2290,cluster2
0.693883,1,1,1,1180,cluster2
0.955299,6,1,0,2280,cluster2
0.692468,1,1,1,1170,cluster2
0.962134,6,1,0,2270,cluster2
0.693916,1,1,1,1160,cluster2
0.958201,6,1,0,2260,cluster2
0.678834,1,1,1,1150,cluster2
0.958799,6,1,0,2250,cluster2
0.8117,1,1,1,1140,cluster2
0.806684,6,1,0,2240,cluster2
1.25458,1,1,1,1130,cluster2
0.71295,6,1,0,2230,cluster2
1.19,1,1,1,1120,cluster2
0.714366,6,1,0,2220,cluster2
1.01928,1,1,1,1110,cluster2
0.768551,6,1,0,2210,cluster2
0.73615,1,1,1,1100,cluster2
0.6701,6,1,0,2200,cluster2
0.781483,1,1,1,1090,cluster2
0.527884,6,1,0,2190,cluster2
0.761035,1,1,1,1080,cluster2
0.5368,6,1,0,2180,cluster2
0.709816,1,1,1,1070,cluster2
0.746099,6,1,0,2170,cluster2
0.618683,1,1,1,1060,cluster2
0.537933,6,1,0,2160,cluster2
0.622451,1,1,1,1050,cluster2
0.630449,6,1,0,2150,cluster2
0.62655,1,1,1,1040,cluster2
0.857201,6,1,0,2140,cluster2
0.613366,1,1,1,1030,cluster2
0.722534,6,1,0,2130,cluster2
0.60475,1,1,1,1020,cluster2
0.899334,6,1,0,2120,cluster2
0.618099,1,1,1,1010,cluster2
0.706033,6,1,0,2110,cluster2
0.621916,1,1,1,1000,cluster2
0.70605,6,1,0,2100,cluster2
0.560382,1,1,1,590,cluster2
0.905717,6,1,0,2090,cluster2
0.666117,1,1,1,580,cluster2
0.756784,6,1,0,2080,cluster2
0.91725,1,1,1,570,cluster2
0.898183,6,1,0,2070,cluster2
0.1426,1,1,1,560,cluster2
0.724684,6,1,0,2060,cluster2
0,1,1,1,550,cluster2
0.7387,6,1,0,2050,cluster2
0,1,1,1,540,cluster2
0.933801,6,1,0,2040,cluster2
0.31975,1,1,1,530,cluster2
0.7225,6,1,0,2030,cluster2
0.3543,1,1,1,520,cluster2
0.871084,6,1,0,2020,cluster2
0.353799,1,1,1,510,cluster2
0.7538,6,1,0,2010,cluster2
0.69435,4,3,1,11000,cluster2
0.7539,4,3,1,10590,cluster2
0.610701,4,3,1,10580,cluster2
0.611066,4,3,1,10570,cluster2
0.620583,4,3,1,10560,cluster2
0.614916,4,3,1,10550,cluster2
0.610266,4,3,1,10540,cluster2
0.596816,4,3,1,10530,cluster2
0.605317,4,3,1,10520,cluster2
0.598201,4,3,1,10510,cluster2
0.354533,1,1,1,500,cluster2
0.730634,6,1,0,2000,cluster2
0.34735,1,1,1,490,cluster2
0.9285,6,1,0,1590,cluster2
0.358533,1,1,1,480,cluster2
0.752884,6,1,0,1580,cluster2
0.357383,1,1,1,470,cluster2
0.77415,6,1,0,1570,cluster2
0.5573,1,1,1,460,cluster2
0.9279,6,1,0,1560,cluster2
0.489949,1,1,1,450,cluster2
0.499834,1,1,1,440,cluster2
0.773383,1,1,1,430,cluster2
1.05245,1,1,1,420,cluster2
1.34705,1,1,1,410,cluster2
0.588433,4,3,1,10500,cluster2
0.597366,4,3,1,10490,cluster2
0.6018,4,3,1,10480,cluster2
0.598966,4,3,1,10470,cluster2
0.673068,4,3,1,10460,cluster2
0.64615,4,3,1,10450,cluster2
0.660299,4,3,1,10440,cluster2
0.642584,4,3,1,10430,cluster2
0.606499,4,3,1,10420,cluster2
1.34477,1,1,1,400,cluster2
1.04357,1,1,1,390,cluster2
0.878482,1,1,1,380,cluster2
0.844516,1,1,1,370,cluster2
0.650084,6,1,0,1470,cluster2
0.839483,1,1,1,360,cluster2
0.8532,6,1,0,1460,cluster2
0.84245,1,1,1,350,cluster2
0.841834,1,1,1,340,cluster2
0.579133,1,1,1,330,cluster2
0.678216,1,1,1,320,cluster2
1.36107,1,1,1,310,cluster2
1.35438,1,1,1,300,cluster2
1.41708,1,1,1,290,cluster2
1.88005,1,1,1,280,cluster2
1.934,1,1,1,270,cluster2
2.11505,1,1,1,260,cluster2
2.49748,1,1,1,250,cluster2
2.3003,1,1,1,240,cluster2
2.54088,1,1,1,230,cluster2
2.27423,1,1,1,220,cluster2
1.18567,1,1,1,210,cluster2
0.548284,0,1,0,1200,cluster2
0.556133,0,1,0,1190,cluster2
0.530417,0,1,0,1180,cluster2
0.542816,0,1,0,1170,cluster2
0.600551,0,1,0,1160,cluster2
0.591251,0,1,0,1150,cluster2
0.591116,0,1,0,1140,cluster2
0.529384,0,1,0,1130,cluster2
0.419818,0,1,0,1120,cluster2
0.423916,0,1,0,1110,cluster2
1.19635,1,1,1,200,cluster2
1.19137,1,1,1,190,cluster2
1.18047,1,1,1,180,cluster2
1.20857,1,1,1,170,cluster2
1.26575,1,1,1,160,cluster2
1.27728,1,1,1,150,cluster2
1.40932,1,1,1,140,cluster2
1.32415,1,1,1,130,cluster2
1.48003,1,1,1,120,cluster2
1.45653,1,1,1,110,cluster2
0.420182,0,1,0,1100,cluster2
0.413718,0,1,0,1090,cluster2
0.407868,0,1,0,1080,cluster2
0.4171,0,1,0,1070,cluster2
0.423666,0,1,0,1060,cluster2
0.421018,0,1,0,1050,cluster2
0.424134,0,1,0,1040,cluster2
0.427617,0,1,0,1030,cluster2
0.42325,0,1,0,1020,cluster2
0.418217,0,1,0,1010,cluster2
1.87703,1,1,1,100,cluster2
1.63927,1,1,1,90,cluster2
1.29725,1,1,1,80,cluster2
1.25025,1,1,1,70,cluster2
0.5754,6,1,0,1170,cluster2
0.560417,6,1,0,1160,cluster2
0.765583,6,1,0,1150,cluster2
0.558783,6,1,0,1140,cluster2
0.748534,6,1,0,1130,cluster2
0.4135,0,1,0,1000,cluster2
0.408567,0,1,0,590,cluster2
0.338951,0,1,0,580,cluster2
0.338918,0,1,0,570,cluster2
0.33025,0,1,0,560,cluster2
0.350716,0,1,0,550,cluster2
0.339634,0,1,0,540,cluster2
0.349883,0,1,0,530,cluster2
0.403966,0,1,0,520,cluster2
0.432949,0,1,0,510,cluster2
0.434784,0,1,0,500,cluster2
0.496184,0,1,0,490,cluster2
0.577499,0,1,0,480,cluster2
1.95357,0,1,0,470,cluster2
1.9214,0,1,0,460,cluster2
0.756634,0,1,0,450,cluster2
0.597383,1,2,1,6030,cluster2
0.6243,1,2,1,6020,cluster2
0.638367,1,2,1,6010,cluster2
0.616683,1,2,1,6000,cluster2
0.506216,1,2,1,5590,cluster2
0.544484,1,2,1,5580,cluster2
0.542867,1,2,1,5570,cluster2
0.540799,1,2,1,5560,cluster2
0.4906,1,2,1,5550,cluster2
0.404784,1,2,1,5540,cluster2
0.4064,1,2,1,5530,cluster2
0.337367,1,2,1,5520,cluster2
0.248634,1,2,1,5510,cluster2
0.788133,6,1,0,70,cluster2
0.800367,6,1,0,60,cluster2
1.1067,4,1,1,510,cluster2
0.236216,1,2,1,5500,cluster2
0.236984,1,2,1,5490,cluster2
0.24025,1,2,1,5480,cluster2
0.2414,1,2,1,5470,cluster2
0.24695,1,2,1,5460,cluster2
0.239716,1,2,1,5450,cluster2
0.239549,1,2,1,5440,cluster2
0.238599,1,2,1,5430,cluster2
0.235032,1,2,1,5420,cluster2
0.235317,1,2,1,5410,cluster2
1.02163,6,3,0,11000,cluster2
1.0611,6,3,0,10590,cluster2
1.05563,6,3,0,10580,cluster2
1.28113,6,3,0,10570,cluster2
1.55218,6,3,0,10560,cluster2
1.12422,6,3,0,10550,cluster2
1.06172,6,3,0,10540,cluster2
1.0714,6,3,0,10530,cluster2
1.37847,6,3,0,10520,cluster2
1.33267,6,3,0,10510,cluster2
1.14307,4,1,1,500,cluster2
1.34117,4,1,1,490,cluster2
1.15307,4,1,1,480,cluster2
1.35777,4,1,1,470,cluster2
1.17588,4,1,1,460,cluster2
0.990067,4,1,1,450,cluster2
1.12412,4,1,1,440,cluster2
0.9427,4,1,1,430,cluster2
0.680138,4,1,1,280,cluster2
1.36973,4,1,1,420,cluster2
0.445736,4,1,1,270,cluster2
1.6679,4,1,1,410,cluster2
0.440804,4,1,1,260,cluster2
0.451136,4,1,1,250,cluster2
2.11965,6,3,0,11470,cluster2
2.15905,6,3,0,11460,cluster2
0.819667,6,3,0,11450,cluster2
0.722585,6,3,0,11440,cluster2
0.548016,6,3,0,11430,cluster2
0.480267,6,3,0,11420,cluster2
0.530417,6,3,0,11410,cluster2
0.907418,6,3,0,10500,cluster2
1.02065,6,3,0,10490,cluster2
1.36935,6,3,0,10480,cluster2
1.37897,6,3,0,10470,cluster2
1.16562,6,3,0,10460,cluster2
0.857834,6,3,0,10450,cluster2
1.30102,6,3,0,10440,cluster2
1.32162,6,3,0,10430,cluster2
1.32213,6,3,0,10420,cluster2
1.33142,6,3,0,10410,cluster2
0.493917,6,3,0,11400,cluster2
0.529432,6,3,0,11390,cluster2
0.523017,6,3,0,11380,cluster2
0.5253,6,3,0,11370,cluster2
0.48735,6,3,0,11360,cluster2
0.44845,6,3,0,11350,cluster2
0.411667,6,3,0,11340,cluster2
0.270849,6,3,0,11330,cluster2
1.1113,3,1,1,280,cluster2
0.924601,3,1,1,270,cluster2
0.900734,3,1,1,260,cluster2
1.10553,3,1,1,250,cluster2
0.935166,3,1,1,240,cluster2
1.11322,3,1,1,230,cluster2
0.91475,3,1,1,220,cluster2
0.989651,3,1,1,210,cluster2
1.10788,3,1,1,200,cluster2
0.956534,3,1,1,190,cluster2
1.10482,3,1,1,180,cluster2
0.98615,3,1,1,170,cluster2
0.781984,3,1,1,160,cluster2
0.656584,5,0,1,23200,cluster2
0.685521,5,0,1,23190,cluster2
0.982483,3,3,1,13510,cluster2
1.02905,3,3,1,13500,cluster2
1.04317,3,3,1,13490,cluster2
1.00253,3,3,1,13480,cluster2
0.995817,3,3,1,13470,cluster2
0.984783,3,3,1,13460,cluster2
0.979151,3,3,1,13450,cluster2
0.991617,3,3,1,13440,cluster2
0.968833,3,3,1,13430,cluster2
0.919799,3,3,1,13420,cluster2
0.935233,3,3,1,13410,cluster2
0.835483,3,3,1,13400,cluster2
0.772599,3,3,1,13390,cluster2
0.640967,3,3,1,13380,cluster2
0.619133,3,3,1,13370,cluster2
0.609017,3,3,1,13360,cluster2
0.592967,3,3,1,13350,cluster2
0.63135,3,3,1,13340,cluster2
0.661918,3,3,1,13330,cluster2
0.64905,3,3,1,13320,cluster2
0.32692,2,1,1,1040,cluster2
0.305629,2,1,1,1030,cluster2
1.52315,2,1,1,1020,cluster2
0.940534,0,3,0,11200,cluster2
0.935317,0,3,0,11190,cluster2
0.925899,0,3,0,11180,cluster2
0.925417,0,3,0,11170,cluster2
0.926549,0,3,0,11160,cluster2
0.915749,0,3,0,11150,cluster2
0.874033,0,3,0,11140,cluster2
0.525133,0,3,0,11130,cluster2
0.53245,0,3,0,11120,cluster2
1.71316,2,1,1,1010,cluster2
1.74206,2,1,1,1000,cluster2
1.73746,2,1,1,590,cluster2
0.685953,2,1,1,580,cluster2
0.278443,2,1,1,570,cluster2
0.337816,2,1,1,560,cluster2
0.334824,2,1,1,550,cluster2
0.370504,2,1,1,540,cluster2
0.359254,2,1,1,530,cluster2
0.347637,2,1,1,520,cluster2
0.341147,2,1,1,510,cluster2
0.327343,2,1,1,500,cluster2
0.402503,2,1,1,490,cluster2
0.490683,2,1,1,480,cluster2
0.36598,2,1,1,470,cluster2
0.793803,2,1,1,460,cluster2
0.69593,2,1,1,450,cluster2
1.33308,2,1,1,440,cluster2
0.844317,6,1,0,1130,cluster2
0.61875,6,1,0,1120,cluster2
0.731983,6,1,0,1110,cluster2
0.97765,5,3,0,12050,cluster2
0.97465,5,3,0,12040,cluster2
0.865383,5,3,0,12030,cluster2
0.728516,5,3,0,12020,cluster2
0.633667,5,3,0,12010,cluster2
0.747716,6,1,0,1100,cluster2
0.629,6,1,0,1090,cluster2
0.848616,6,1,0,1080,cluster2
0.634567,6,1,0,1070,cluster2
0.655467,6,1,0,1060,cluster2
0.893333,6,1,0,1050,cluster2
0.711051,6,1,0,1040,cluster2
0.8273,6,1,0,1030,cluster2
0.81555,6,1,0,1020,cluster2
0.727201,6,1,0,1010,cluster2
0.567401,5,3,0,12000,cluster2
0.556,5,3,0,11590,cluster2
0.55025,5,3,0,11580,cluster2
0.481283,5,3,0,11570,cluster2
0.398484,5,3,0,11560,cluster2
0.39705,5,3,0,11550,cluster2
0.393049,5,3,0,11540,cluster2
0.398133,5,3,0,11530,cluster2
0.396567,5,3,0,11520,cluster2
0.394533,5,3,0,11510,cluster2
0.915117,6,1,0,1000,cluster2
0.690949,6,1,0,590,cluster2
0.744617,6,1,0,580,cluster2
0.946367,6,1,0,570,cluster2
0.900682,6,1,0,560,cluster2
0.595167,6,1,0,550,cluster2
0.722884,6,1,0,540,cluster2
0.66185,6,1,0,530,cluster2
0.598183,6,1,0,520,cluster2
0.789866,6,1,0,510,cluster2
0.402967,5,3,0,11500,cluster2
0.411567,5,3,0,11490,cluster2
0.426682,5,3,0,11480,cluster2
0.43275,5,3,0,11470,cluster2
0.427999,5,3,0,11460,cluster2
0.404983,5,3,0,11450,cluster2
0.520733,5,3,0,11440,cluster2
0.568466,5,3,0,11430,cluster2
0.762018,5,3,0,11420,cluster2
0.749916,5,3,0,11410,cluster2
1.3152,2,0,1,15010,cluster2
1.11892,2,0,1,15000,cluster2
1.04918,2,0,1,14590,cluster2
0.885836,2,0,1,14580,cluster2
0.850303,2,0,1,14570,cluster2
0.85077,2,0,1,14560,cluster2
0.813867,2,0,1,14550,cluster2
0.793996,2,0,1,14540,cluster2
0.797804,2,0,1,14530,cluster2
0.79103,2,0,1,14520,cluster2
0.405517,6,1,0,500,cluster2
0.405017,6,1,0,490,cluster2
0.605101,6,1,0,480,cluster2
0.42085,6,1,0,470,cluster2
0.607767,6,1,0,460,cluster2
1.48157,4,3,1,11400,cluster2
0.403217,6,1,0,450,cluster2
1.50978,4,3,1,11390,cluster2
0.410001,6,1,0,440,cluster2
