refinedUse,' dow',' phase',' dType',' Time',' Cluster'
0.778156,1,3,1,10310,cluster15
0.575643,1,3,1,10300,cluster15
0.885886,1,3,1,10290,cluster15
1.9175,1,3,1,10280,cluster15
1.92416,1,3,1,10270,cluster15
1.89496,1,3,1,10260,cluster15
2.4997,1,3,1,10250,cluster15
1.27365,1,3,1,10240,cluster15
0.738236,1,3,1,10230,cluster15
0.734593,1,3,1,10220,cluster15
0.354733,4,3,1,10370,cluster15
0.292382,4,3,1,10360,cluster15
0.240632,4,3,1,10350,cluster15
1.07148,1,1,1,390,cluster15
1.08,1,1,1,380,cluster15
1.09193,1,1,1,370,cluster15
1.0938,1,1,1,360,cluster15
1.07345,1,1,1,350,cluster15
1.05505,1,1,1,340,cluster15
0.679716,1,1,1,330,cluster15
0.52023,1,1,1,320,cluster15
0.663096,1,1,1,310,cluster15
0.631703,1,1,1,300,cluster15
0.680333,1,1,1,290,cluster15
0.650883,1,1,1,280,cluster15
0.551269,1,1,1,270,cluster15
0.552966,1,1,1,260,cluster15
0.807415,1,1,1,250,cluster15
0.56113,1,1,1,240,cluster15
0.50725,1,1,1,230,cluster15
0.508499,1,1,1,220,cluster15
0.243317,1,1,1,210,cluster15
0,1,1,1,200,cluster15
0.254834,1,1,1,190,cluster15
0.483534,1,1,1,180,cluster15
0.409866,1,1,1,170,cluster15
0.347513,1,1,1,160,cluster15
0.376087,1,1,1,150,cluster15
0.37462,1,1,1,140,cluster15
0.390752,1,1,1,130,cluster15
0.335569,1,1,1,120,cluster15
0.377653,1,1,1,110,cluster15
0.326017,1,1,1,100,cluster15
0.383183,1,1,1,90,cluster15
0.3798,1,1,1,80,cluster15
1.16973,1,1,1,70,cluster15
0.324367,1,1,1,60,cluster15
0.330283,1,1,1,50,cluster15
0.288671,1,1,1,40,cluster15
0.489682,1,1,1,30,cluster15
0.943986,1,1,1,20,cluster15
2.25305,1,1,1,10,cluster15
2.29703,1,1,1,0,cluster15
0.4323,1,1,1,470,cluster15
0.499117,1,1,1,460,cluster15
3.00602,1,0,1,23590,cluster15
1.37787,1,0,1,23580,cluster15
0.406433,1,0,1,23570,cluster15
0.414183,1,0,1,23560,cluster15
0.415416,1,0,1,23550,cluster15
0.412699,1,0,1,23540,cluster15
0.417133,1,0,1,23530,cluster15
0.412533,1,0,1,23520,cluster15
0.847168,6,3,0,12010,cluster15
0.400033,1,0,1,23510,cluster15
0.856766,6,3,0,12000,cluster15
0.4465,1,0,1,23500,cluster15
0.341949,1,0,1,23490,cluster15
0.337583,1,0,1,23480,cluster15
0.410184,1,0,1,23470,cluster15
0.402134,1,0,1,23460,cluster15
0.414817,1,0,1,23450,cluster15
0.4059,1,0,1,23440,cluster15
0.389,1,0,1,23430,cluster15
0.414766,1,0,1,23420,cluster15
0.392101,1,0,1,23410,cluster15
0.402034,1,0,1,23400,cluster15
0.415233,1,0,1,23390,cluster15
0.404883,1,0,1,23380,cluster15
0.404783,1,0,1,23370,cluster15
0.424884,1,0,1,23360,cluster15
0.411267,1,0,1,23350,cluster15
0.413099,1,0,1,23340,cluster15
0.461167,1,0,1,23330,cluster15
0.4312,1,0,1,23320,cluster15
0.5719,1,0,1,23310,cluster15
2.04917,1,0,1,23300,cluster15
1.98905,1,0,1,23290,cluster15
1.97987,1,0,1,23280,cluster15
0.064493,6,3,0,11210,cluster15
0.16567,6,3,0,11200,cluster15
0.321157,6,3,0,11190,cluster15
0.288558,6,3,0,11180,cluster15
0.325314,6,3,0,11170,cluster15
0.315723,6,3,0,11160,cluster15
0.364437,6,3,0,11150,cluster15
0.33218,6,3,0,10480,cluster15
0.35801,6,3,0,10470,cluster15
0.354623,6,3,0,10460,cluster15
0.32262,6,3,0,10450,cluster15
0.338957,6,3,0,10440,cluster15
0.368713,6,3,0,10430,cluster15
0.337033,6,3,0,10420,cluster15
0.356353,6,3,0,10410,cluster15
1.26806,6,3,0,10400,cluster15
0.91867,6,3,0,10390,cluster15
0.344912,6,3,0,10380,cluster15
0.372533,6,3,0,10370,cluster15
0.922737,6,3,0,10360,cluster15
1.93296,6,3,0,10350,cluster15
2.07414,6,3,0,10340,cluster15
2.16755,6,3,0,10330,cluster15
1.4206,6,3,0,10320,cluster15
0.410857,6,3,0,10310,cluster15
0.405574,6,3,0,10300,cluster15
0,6,3,0,10290,cluster15
0,6,3,0,10280,cluster15
0.266624,6,3,0,10270,cluster15
0.2482,6,3,0,10260,cluster15
0.196316,6,3,0,10250,cluster15
0.182279,6,3,0,10240,cluster15
0.235804,6,3,0,10230,cluster15
0.253463,6,3,0,10220,cluster15
0.218216,0,0,0,15580,cluster15
0.364551,0,0,0,15570,cluster15
0.447083,0,0,0,15560,cluster15
0.516534,0,0,0,15550,cluster15
0.475,0,0,0,15540,cluster15
0.442583,0,0,0,15380,cluster15
0.34064,0,0,0,15240,cluster15
0.258334,0,0,0,15230,cluster15
0.487684,0,0,0,15220,cluster15
0.471115,0,0,0,15210,cluster15
0.362504,0,0,0,15200,cluster15
0.8641,4,1,1,1330,cluster15
0.523566,4,1,1,1320,cluster15
0.518534,4,1,1,1310,cluster15
0.722617,4,1,1,1300,cluster15
0.559334,4,1,1,1290,cluster15
1.09843,4,1,1,1280,cluster15
1.66908,4,1,1,1270,cluster15
1.49798,4,1,1,1260,cluster15
1.6759,4,1,1,1250,cluster15
1.40817,4,1,1,1240,cluster15
2.14645,4,1,1,1230,cluster15
2.40065,4,1,1,1220,cluster15
2.1372,4,1,1,1210,cluster15
2.11367,4,1,1,1200,cluster15
0.757616,4,1,1,1190,cluster15
1.11937,4,1,1,1170,cluster15
0.926466,4,1,1,1160,cluster15
1.59255,4,1,1,1150,cluster15
1.6232,4,1,1,1130,cluster15
1.87078,4,1,1,1120,cluster15
1.68368,4,1,1,1110,cluster15
0.435167,6,1,0,200,cluster15
0.411083,6,1,0,190,cluster15
0.401767,6,1,0,180,cluster15
0.368116,6,1,0,170,cluster15
0.386066,6,1,0,160,cluster15
0.459867,6,1,0,150,cluster15
0.856066,4,1,1,1100,cluster15
1.0678,4,1,1,1090,cluster15
0.772,3,1,1,530,cluster15
1.02222,5,3,1,10470,cluster15
0.855349,5,3,1,10460,cluster15
1.92058,5,3,1,10450,cluster15
1.07397,5,3,1,10440,cluster15
0.559644,5,3,1,10430,cluster15
1.27995,5,3,1,10420,cluster15
1.82516,5,3,1,10410,cluster15
0.882391,5,3,1,10400,cluster15
0.801391,5,3,1,10390,cluster15
1.61635,5,3,1,10380,cluster15
1.42304,5,3,1,10370,cluster15
1.17426,5,3,1,10360,cluster15
2.45785,5,3,1,10350,cluster15
2.07325,5,3,1,10340,cluster15
2.09204,5,3,1,10330,cluster15
2.03456,5,3,1,10320,cluster15
2.05715,5,3,1,10310,cluster15
0.576776,5,3,1,10300,cluster15
0.61698,5,3,1,10290,cluster15
0.580164,5,3,1,10280,cluster15
0.50837,5,3,1,10270,cluster15
0.386417,5,3,1,10260,cluster15
0.491636,5,3,1,10250,cluster15
0.503066,5,3,1,10240,cluster15
0.5106,5,3,1,10230,cluster15
